"16U BOYS D3 HOT! RESULTS A","30 TEAMS GOOGLE SCHEDULES LIVE STREAMS B","75 GAMES SUBMIT SCORES LOGIN C","30+30+15 TICKETS D","7 minute quarters OFFICIAL MERCHANDISE E","CUSTOM SUITS F","G","H","","","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","BUENA PARK HS","16BD328","W#E1/E4-BACK BAY","13","W#E2/E3-ROUTE 66","11","1st/2ndE","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","GOLDEN WEST COLLEGE","16BD302","C1-VANGUARD B","16","C4-PATRIOT RED","10","W/L C1/C4","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","GOLDEN WEST COLLEGE","16BD305","C2-DEVILS GATE","5","C3-OLYMPUS","18","W/L C2/C3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","GOLDEN WEST COLLEGE","16BD308","B1-SAN DIEGO SHORES B","16","B3-RAIN CITY","7","B bracket B1,B3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","GOLDEN WEST COLLEGE","16BD311","F1-SOUTH COAST WHITE","12","F4-BIG VALLEY","2","W/L F1/F4","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","GOLDEN WEST COLLEGE","16BD314","F2-SAN FRANCISCO","4","F3-TRILOGY","21","W/L F2/F3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","GOLDEN WEST COLLEGE","16BD317","B2-CMAC","6","B3-RAIN CITY","11","B bracket B2,B3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","GOLDEN WEST COLLEGE","16BD320","W#C1/C4-VANGUARD B","5","W#C2/C3-OLYMPUS","3","1st/2ndC","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","GOLDEN WEST COLLEGE","16BD323","L#F1/F4-BIG VALLEY","15","L#F2/F3-SAN FRANCISCO","11","3rd/4thF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","GOLDEN WEST COLLEGE","16BD326","B1-SAN DIEGO SHORES B","11","B2-CMAC","5","B bracket B1,B2","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","GOLDEN WEST COLLEGE","16BD329","W#F1/F4-SOUTH COAST WHITE","11","W#F2/F3-TRILOGY","10","1st/2ndF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","YORBA LINDA HS","16BD303","G1-AMERICAN RIVER B","6","G4-OVAC B","4","W/L G1/G4","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","YORBA LINDA HS","16BD306","G2-TEMPLE CITY A","15","G3-RANCHO TSUNAMI","9","W/L G2/G3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","YORBA LINDA HS","16BD309","H1-SACRAMENTO","19","H4-TEMPLE CITY B","4","W/L H1/H4","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","YORBA LINDA HS","16BD312","H2-VIPER PIGEON","16","H3-FOOTHILL CLUB B","1","W/L H2/H3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","YORBA LINDA HS","16BD315","L#G1/G4-OVAC B","8","L#G2/G3-RANCHO TSUNAMI","12","3rd/4thG","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","YORBA LINDA HS","16BD318","W#G1/G4-AMERICAN RIVER B","9","W#G2/G3-TEMPLE CITY A","18","1st/2ndG","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","YORBA LINDA HS","16BD321","L#H1/H4-TEMPLE CITY B","13","L#H2/H3-FOOTHILL CLUB B","10","3rd/4thH","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","YORBA LINDA HS","16BD324","W#H1/H4-SACRAMENTO","6","W#H2/H3-VIPER PIGEON","16","1st/2ndH","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","YORBA LINDA HS","16BD327","L#D1/D4-CARMEL","9","L#D2/D3-680 B","5","3rd/4thD","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","YORBA LINDA HS","16BD330","L#C1/C4-PATRIOT RED","13","L#C2/C3-DEVILS GATE","17","3rd/4thC","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","BUENA PARK HS","16BD331","J4(1stD)(4)-SUPREME","12","J5(1stE)(5)-BACK BAY","9","4v5 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","BUENA PARK HS","16BD334","J1(1stA)(1)-ASPHALT GREEN","12","J8(1stH)(8)-VIPER PIGEON","8","1v8 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","BUENA PARK HS","16BD337","J2(1stB)(2)-SAN DIEGO SHORES B","7","J7(1stG)(7)-TEMPLE CITY A","9","2v7 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","BUENA PARK HS","16BD340","J3(1stC)(3)-VANGUARD B","11","J6(1stF)(6)-SOUTH COAST WHITE","6","3v6 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","BUENA PARK HS","16BD343","N2(4thE)(28)-SOVA","5","N3(4thD)(29)-680 B","15","25th-30th N2,N3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","BUENA PARK HS","16BD346","P2(4thF)(27)-SAN FRANCISCO","9","P3(4thC)(30)-PATRIOT RED","12","25th-30th P2,P3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","BUENA PARK HS","16BD349","L#J4/J5-BACK BAY","9","L#J1/J8-VIPER PIGEON","13","5v8 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","BUENA PARK HS","16BD352","W#J1/J8-ASPHALT GREEN","8","W#J4/J5-SUPREME","10","1v4 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","BUENA PARK HS","16BD355","L#J3/J6-SOUTH COAST WHITE","5","L#J2/J7-SAN DIEGO SHORES B","10","6v7 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","BUENA PARK HS","16BD358","W#J2/J7-TEMPLE CITY A","6","W#J3/J6-VANGUARD B","8","2v3 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","GOLDEN WEST COLLEGE","16BD332","N1(4thH)(25)-FOOTHILL CLUB B","9","N3(4thD)(29)-680 B","14","25th-30th N1,N3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","GOLDEN WEST COLLEGE","16BD335","P1(4thG)(26)-OVAC B","6","P3(4thC)(30)-PATRIOT RED","7","25th-30th P1,P3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","GOLDEN WEST COLLEGE","16BD338","M4(3rdD)(20)-CARMEL","12","M5(3rdE)(21)-DAVIS B","7","20v21 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","GOLDEN WEST COLLEGE","16BD341","M1(3rdA)(17)-SAN JOSE EXPRESS B","10","M8(3rdH)(24)-TEMPLE CITY B","2","17v24 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","GOLDEN WEST COLLEGE","16BD344","M2(3rdB)(18)-CMAC","9","M7(3rdG)(23)-RANCHO TSUNAMI","8","18v23 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","GOLDEN WEST COLLEGE","16BD347","M3(3rdC)(19)-DEVILS GATE","14","M6(3rdF)(22)-BIG VALLEY","6","19v22 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","GOLDEN WEST COLLEGE","16BD350","L#M4/M5-DAVIS B","19","L#M1/M8-TEMPLE CITY B","3","21v24 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","GOLDEN WEST COLLEGE","16BD353","W#M1/M8-SAN JOSE EXPRESS B","8","W#M4/M5-CARMEL","14","17v20 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","GOLDEN WEST COLLEGE","16BD356","L#M3/M6-BIG VALLEY","6","L#M2/M7-RANCHO TSUNAMI","12","22v23 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","GOLDEN WEST COLLEGE","16BD359","W#M2/M7-CMAC","8","W#M3/M6-DEVILS GATE","12","18v19 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","YORBA LINDA HS","16BD333","K4(2ndE)(12)-ROUTE 66","7","K5(2ndD)(13)-THUNDER B","10","12v13 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","YORBA LINDA HS","16BD336","K1(2ndH)(9)-SACRAMENTO","20","K8(2ndA)(16)]-MID PEN","8","9v16 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","YORBA LINDA HS","16BD339","K2(2ndG)(10)-AMERICAN RIVER B","9","K7(2ndB)(15)-RAIN CITY","17","10v15 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","YORBA LINDA HS","16BD342","K3(2ndF)(11)-TRILOGY","15","K6(2ndC)(14)-OLYMPUS","14","11v14 QF","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","YORBA LINDA HS","16BD345","L#K4/K5-ROUTE 66","14","L#K1/K8-MID PEN","6","13v16 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","YORBA LINDA HS","16BD348","W#K1/K8-SACRAMENTO","7","W#K4/K5-THUNDER B","10","9v12 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","YORBA LINDA HS","16BD351","L#K3/K6-OLYMPUS","8","L#K2/K7-AMERICAN RIVER B","6","14v15 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","YORBA LINDA HS","16BD354","W#K2/K7-RAIN CITY","12","W#K3/K6-TRILOGY","11","10v11 semi","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","YORBA LINDA HS","16BD357","N1(4thH)(25)-FOOTHILL CLUB B","10","N2(4thE)(28)-SOVA","8","25th-30th N1,N2","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","YORBA LINDA HS","16BD360","P1(4thG)(26)-OVAC B","11.2","P2(4thF)(27)-SAN FRANCISCO","11.4","25th-30th P1,P2","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","CORONA DEL MAR HS","16BD371","L#58-TEMPLE CITY A","12","L#52-ASPHALT GREEN","8","3rd","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","CORONA DEL MAR HS","16BD373","W#52-SUPREME","8","W#58-VANGUARD B","4","1st","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","GOLDEN WEST COLLEGE","16BD361","W#45-ROUTE 66","5","W#51-OLYMPUS","10","13th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","GOLDEN WEST COLLEGE","16BD363","L#54-TRILOGY","12","L#48-SACRAMENTO","13","11th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","GOLDEN WEST COLLEGE","16BD365","W#48-THUNDER B","6","W#54-RAIN CITY","10","9th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","GOLDEN WEST COLLEGE","16BD367","L#55-SOUTH COAST WHITE","9","L#49-BACK BAY","11","7th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","GOLDEN WEST COLLEGE","16BD369","W#49-VIPER PIGEON","13","W#55-SAN DIEGO SHORES B","9","5th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","BUENA PARK HS","16BD362","3rdN-SOVA","7","3rdP-OVAC B","11","29th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","BUENA PARK HS","16BD364","2ndP-SAN FRANCISCO","11","2ndN-FOOTHILL CLUB B","9","27th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","BUENA PARK HS","16BD366","1stN-680 B","9","1stP-PATRIOT RED","6","25th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","BUENA PARK HS","16BD368","L#56-BIG VALLEY","10","L#50-TEMPLE CITY B","9","23rd","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","BUENA PARK HS","16BD370","W#50-DAVIS B","8","W#56-RANCHO TSUNAMI","6","21st","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","BUENA PARK HS","16BD372","L#59-CMAC","14","L#53-SAN JOSE EXPRESS B","5","19th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","BUENA PARK HS","16BD374","W#53-CARMEL","17","W#59-DEVILS GATE","9","17th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"28-Jun","3:00 PM","BUENA PARK HS","16BD375","L#51-AMERICAN RIVER B","13","L#45-MID PEN","5","15th","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","","","","","SUPREME","","","","","","","","","","","","","","","","","","",""
"","","","","","","VANGUARD B","","","","","","","","","","","","","","","","","","",""
"","","","","","","TEMPLE CITY A","","","","","","","","","","","","","","","","","","",""
"","","","","","","ASPHALT GREEN","","","","","","","","","","","","","","","","","","",""
"","","","","","","VIPER PIGEON","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN DIEGO SHORES B","","","","","","","","","","","","","","","","","","",""
"","","","","","","BACK BAY","","","","","","","","","","","","","","","","","","",""
"","","","","","","SOUTH COAST WHITE","","","","","","","","","","","","","","","","","","",""
"","","","","","","RAIN CITY","","","","","","","","","","","","","","","","","","",""
"","","","","","","THUNDER B","","","","","","","","","","","","","","","","","","",""
"","","","","","","SACRAMENTO","","","","","","","","","","","","","","","","","","",""
"","","","","","","TRILOGY","","","","","","","","","","","","","","","","","","",""
"","","","","","","OLYMPUS","","","","","","","","","","","","","","","","","","",""
"","","","","","","ROUTE 66","","","","","","","","","","","","","","","","","","",""
"","","","","","","AMERICAN RIVER B","","","","","","","","","","","","","","","","","","",""
"","","","","","","MID PEN","","","","","","","","","","","","","","","","","","",""
"","","","","","","CARMEL","","","","","","","","","","","","","","","","","","",""
"","","","","","","DEVILS GATE","","","","","","","","","","","","","","","","","","",""
"","","","","","","CMAC","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN JOSE EXPRESS B","","","","","","","","","","","","","","","","","","",""
"","","","","","","DAVIS B","","","","","","","","","","","","","","","","","","",""
"","","","","","","RANCHO TSUNAMI","","","","","","","","","","","","","","","","","","",""
"","","","","","","BIG VALLEY","","","","","","","","","","","","","","","","","","",""
"","","","","","","TEMPLE CITY B","","","","","","","","","","","","","","","","","","",""
"","","","","","","680 B","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT RED","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN FRANCISCO","","","","","","","","","","","","","","","","","","",""
"","","","","","","FOOTHILL CLUB B","","","","","","","","","","","","","","","","","","",""
"","","","","","","OVAC B","","","","","","","","","","","","","","","","","","",""
"","","","","","","SOVA","","","","","","","","","","","","","","","","","","",""
