group,quiksilver_team,quiksilver_place,canonical_team,canonical_team_slug,canonical_club,canonical_club_slug,current_cpi_rank,current_cpi_team,mapping_status,alias_confidence,recommended_action,notes,resolution_note
16U Boys,Rose Bowl,9,Rose Bowl,rose-bowl-16u-boys,Rose Bowl,rose-bowl,16,Rose Bowl,mapped,high,add evidence; no rank order change in 7.28,Beat Sand Canyon 12–10 for 9th,Existing 7.28 mapping retained.
16U Boys,Sand Canyon,10,Sand Canyon A,sand-canyon-a-16u-boys,Sand Canyon,sand-canyon,30,Sand Canyon A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
16U Boys,Trojan,11,Trojan,trojan-16u-boys,Trojan,trojan,4,Trojan,mapped,high,add evidence; no rank order change in 7.28,Beat 680 12–11 for 11th,Existing 7.28 mapping retained.
16U Boys,680,12,680 A,680-a-16u-boys,680,680,27,680 A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
16U Boys,CC United,13,CC United,cc-united-16u-boys,CC United,cc-united,31,CC United,mapped,high,add evidence; no rank order change in 7.28,Beat SD Shores Gold 10–7 for 13th,Existing 7.28 mapping retained.
16U Boys,SD Shores Gold,14,San Diego Shores Gold 16U Boys,san-diego-shores-gold-16u-boys,San Diego Shores,san-diego-shores,,San Diego Shores Gold 16U Boys,new_team_candidate,high,add/validate as San Diego Shores depth-team candidate; do not merge into San Diego Shores Black/A,,"Source also has SD Shores Black as runner-up, so Gold should remain separate."
16U Boys,LA Premier,15,LA Premier,la-premier-16u-boys,LA Premier,la-premier,8,LA Premier,mapped,high,add evidence; no rank order change in 7.28,Beat LB Shore 13–7 for 15th,Existing 7.28 mapping retained.
16U Boys,LB Shore,16,Long Beach Shore 16U Boys,long-beach-shore-16u-boys,Long Beach Shore,long-beach-shore,,Long Beach Shore 16U Boys,new_team_candidate,high,add/validate Long Beach Shore 16U Boys candidate,,Short source label LB Shore resolved to Long Beach Shore club.
16U Boys,Commerce,17,Commerce,commerce-16u-boys,Commerce,commerce,22,Commerce,mapped,high,add evidence; no rank order change in 7.28,Beat NSD Stars 9–8 for 17th,Existing 7.28 mapping retained.
16U Boys,NSD Stars,18,NSD Stars 16U Boys,nsd-stars-16u-boys,NSD Stars,nsd-stars,,NSD Stars 16U Boys,new_team_candidate,high,add/validate NSD Stars 16U Boys candidate,,"Club exists in CPI, age/gender team not currently ranked."
16U Girls,LB Viking,1,LB Viking / Viking 16U Girls,viking-16u-girls-quiksilver,Viking,viking,,LB Viking / Viking 16U Girls,new_team_candidate,medium,create/validate a 16U Girls Viking A-level candidate before rank movement; do not merge into Viking White without confirmation,Champion; beat OVAC 5–3,Current CPI has Viking White for 16U Girls; Quiksilver champion appears to be an A/Blue-level team.
16U Girls,OVAC,2,OVAC 16U Girls,ovac-16u-girls,OVAC,ovac,,OVAC 16U Girls,new_team_candidate,high,add/validate OVAC 16U Girls as Quiksilver runner-up candidate before rank movement,Runner-up,"Club exists in CPI, age/gender team not currently ranked."
16U Girls,Rancho Tsunami,3,Tsunami,tsunami-16u-girls,Rancho Tsunami,rancho-tsunami,14,Tsunami,mapped,high,add evidence; no rank order change in 7.28,Beat Legacy 14–4 for 3rd,Existing 7.28 mapping retained.
16U Girls,Legacy,4,Legacy,legacy-16u-girls,Legacy,legacy,23,Legacy,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
16U Girls,Mid Valley,5,Mid Valley 16U Girls,mid-valley-16u-girls,Mid Valley,mid-valley,,Mid Valley 16U Girls,new_team_candidate,high,add/validate Mid Valley 16U Girls candidate before rank movement,Beat Commerce 13–3 for 5th,"Club exists in CPI, age/gender team not currently ranked."
16U Girls,Commerce,6,Commerce,commerce-16u-girls,Commerce,commerce,17,Commerce,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Boys,Greenwich,5,Greenwich 18U Boys,greenwich-18u-boys,Greenwich,greenwich,,Greenwich 18U Boys,new_team_candidate,high,add/validate Greenwich 18U Boys candidate,Beat SD Shores 12–10 for 5th,"Club exists in CPI, age/gender team not currently ranked."
18U Boys,SD Shores,6,San Diego Shores,san-diego-shores-18u-boys,San Diego Shores,san-diego-shores,24,San Diego Shores,resolved_alias,high,keep mapped to existing San Diego Shores 18U Boys entry,,Short source label resolved to San Diego Shores.
18U Boys,Imperial,7,Imperial,imperial-18u-boys,Imperial,imperial,4,Imperial,mapped,high,add evidence; no rank order change in 7.28,Beat CIU 10–7 for 7th,Existing 7.28 mapping retained.
18U Boys,CIU,8,CIU 18U Boys,ciu-18u-boys,CIU,ciu,,CIU 18U Boys,new_team_candidate,high,add/validate CIU 18U Boys candidate,,"Club exists in CPI, age/gender team not currently ranked."
18U Boys,LB Shore,9,Long Beach Shore 18U Boys,long-beach-shore-18u-boys,Long Beach Shore,long-beach-shore,,Long Beach Shore 18U Boys,new_team_candidate,high,add/validate Long Beach Shore 18U Boys candidate,Beat Diablo Alliance by shootout notation 14.4–14.2 for 9th,Short source label LB Shore resolved to Long Beach Shore club.
18U Boys,Diablo Alliance,10,Diablo Alliance A,diablo-alliance-a-18u-boys,Diablo Alliance,diablo-alliance,30,Diablo Alliance A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Boys,Olympus,11,Olympus 18U Boys,olympus-18u-boys,Olympus,olympus,,Olympus 18U Boys,new_club_candidate,medium,add/validate Olympus club/team identity before ranking import,Beat Sand Canyon 8–4 for 11th,Not currently represented as an active CPI club/team in the ranking list.
18U Boys,Sand Canyon,12,Sand Canyon Black,sand-canyon-black-18u-boys,Sand Canyon,sand-canyon,15,Sand Canyon Black,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Boys,Foothill,13,Foothill 18U Boys,foothill-18u-boys,Foothill,foothill,,Foothill 18U Boys,new_team_candidate,high,add/validate Foothill 18U Boys candidate,Beat Commerce 10–9 for 13th,"Foothill club exists in CPI, but 18U Boys is not currently ranked."
18U Boys,Commerce,14,Commerce,commerce-18u-boys,Commerce,commerce,20,Commerce,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Boys,Alameda WPC,15,Alameda WPC 18U Boys,alameda-wpc-18u-boys,Alameda,alameda,,Alameda WPC 18U Boys,new_team_candidate,medium,add/validate Alameda WPC 18U Boys candidate,Beat Supreme 20–11 for 15th,Source uses Alameda WPC; CPI currently has Alameda A in 14U Boys only.
18U Boys,Supreme,16,Supreme,supreme-18u-boys,Supreme,supreme,12,Supreme,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Boys,CC United,,CC United,cc-united-18u-boys,CC United,cc-united,2,CC United,pending_final_score,high_identity_pending_score,hold rank movement until 18U Boys final/placement scores are confirmed,Finalist; championship score not visible in source export,"Team identity is mapped, but final score / placement value is incomplete."
18U Boys,La Jolla United,,La Jolla United B,la-jolla-united-b-18u-boys,La Jolla United,la-jolla-united,33,La Jolla United B,pending_final_score,high_identity_pending_score,hold rank movement until 18U Boys final/placement scores are confirmed,3rd-place score not visible in source export,"Team identity is mapped, but final score / placement value is incomplete."
18U Boys,Mission,,Mission,mission-18u-boys,Mission,mission,3,Mission,pending_final_score,high_identity_pending_score,hold rank movement until 18U Boys final/placement scores are confirmed,Finalist; championship score not visible in source export,"Team identity is mapped, but final score / placement value is incomplete."
18U Boys,North Irvine,,North Irvine,north-irvine-18u-boys,North Irvine,north-irvine,5,North Irvine,pending_final_score,high_identity_pending_score,hold rank movement until 18U Boys final/placement scores are confirmed,3rd-place score not visible in source export,"Team identity is mapped, but final score / placement value is incomplete."
18U Girls,LB Viking,1,LB Viking Blue,lb-viking-blue-18u-girls,Viking,viking,15,LB Viking Blue,resolved_alias,high,keep mapped to existing LB Viking Blue 18U Girls entry,Champion; beat 680 by shootout notation 12.4–12.1,CPI already carries this as the 18U Girls Viking primary team.
18U Girls,680,2,680 18U Girls,680-18u-girls,680,680,,680 18U Girls,new_team_candidate,high,add/validate 680 18U Girls candidate before rank movement,Runner-up,"Club exists in CPI, age/gender team not currently ranked."
18U Girls,SD Shores,3,San Diego Shores 18U Girls,san-diego-shores-18u-girls,San Diego Shores,san-diego-shores,,San Diego Shores 18U Girls,new_team_candidate,high,add/validate San Diego Shores 18U Girls candidate before rank movement,Beat Mission 7–4 for 3rd,Short source label resolved to San Diego Shores club.
18U Girls,Mission,4,Mission,mission-18u-girls,Mission,mission,9,Mission,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Girls,Mid Valley,5,Mid Valley 18U Girls,mid-valley-18u-girls,Mid Valley,mid-valley,,Mid Valley 18U Girls,new_team_candidate,high,add/validate Mid Valley 18U Girls candidate before rank movement,Beat Rancho Tsunami 13–7 for 5th,"Club exists in CPI, age/gender team not currently ranked."
18U Girls,Rancho Tsunami,6,Tsunami,tsunami-18u-girls,Rancho Tsunami,rancho-tsunami,18,Tsunami,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Girls,Legacy,7,Legacy,legacy-18u-girls,Legacy,legacy,10,Legacy,mapped,high,add evidence; no rank order change in 7.28,Beat Seaside 20–5 for 7th,Existing 7.28 mapping retained.
18U Girls,Seaside,8,Seaside,seaside-18u-girls,Seaside,seaside,19,Seaside,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Girls,Foothill,9,Foothill,foothill-18u-girls,Foothill,foothill,8,Foothill,mapped,high,add evidence; no rank order change in 7.28,9th-12th bracket winner,Existing 7.28 mapping retained.
18U Girls,Bulldog,10,Bulldog,bulldog-18u-girls,Bulldog,bulldog,24,Bulldog,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Girls,Patriot,11,Patriot,patriot-18u-girls,Patriot,patriot,26,Patriot,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
18U Girls,North Irvine,12,North Irvine,north-irvine-18u-girls,North Irvine,north-irvine,32,North Irvine,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
