group,initialRank,proposedRank,joDerivedRank,sourceTeam,club,mappedInitialIdentity,assignedClubLevel,joDivision,joSubdivision,subdivisionFinish,divisionFinish,joRecord,reviewFlags
12U Girls,24,17,16,Los Alamitos,Los Alamitos,Los Alamitos Opal,A,Championship,Platinum,16,16,4-4,Identity / color mapping
12U Girls,20,18,18,CHAWP,CHAWP,CHAWP,A,Championship,Platinum,18,18,4-4,
12U Girls,11,19,19,LB Shore,Long Beach Shore,Long Beach Shore,A,Championship,Platinum,19,19,4-3,Identity / color mapping
12U Girls,22,20,20,Lamorinda B,Lamorinda,Lamorinda B,B,Championship,Platinum,20,20,3-4,3-team club depth
12U Girls,21,21,21,Foothill,Foothill,Foothill,A,Championship,Platinum,21,21,5-4,
12U Girls,14,22,22,Arroyo Grande,Arroyo Grande,Arroyo Grande,A,Championship,Platinum,22,22,3-5,
12U Girls,18,23,23,Tsunami,Rancho Tsunami,Tsunami,A,Championship,Platinum,23,23,4-5,
12U Girls,34,24,24,Lamorinda C,Lamorinda,Lamorinda C,C,Championship,Platinum,24,24,2-6,3-team club depth
12U Girls,17,25,25,SHAQ,SHAQ,SHAQ,A,Championship,Gold,1,25,7-2,
12U Girls,12,26,26,Temple City,Temple City,Temple City,A,Championship,Gold,2,26,6-3,
12U Girls,28,27,27,South Coast Red,South Coast,South Coast Red,A,Championship,Gold,3,27,6-4,
12U Girls,33,28,28,Diablo Alliance A,Diablo Alliance,Diablo Alliance A,A,Championship,Gold,4,28,5-5,
12U Girls,30,29,29,Laguna Beach,Laguna Beach,Laguna Beach,A,Championship,Gold,5,29,4-4,
12U Girls,25,30,30,North Irvine,North Irvine,North Irvine,A,Championship,Gold,6,30,5-5,
12U Girls,NR,31,31,North Idaho,North Idaho,,A,Championship,Gold,7,31,4-4,New / previously unranked
12U Girls,23,32,33,Newport Beach White,Newport Beach,Newport Beach White,B,Championship,Gold,9,33,4-3,
12U Girls,35,33,32,Stanford B,Stanford,Stanford B,B,Championship,Gold,8,32,2-5,
12U Girls,NR,34,34,Lyons Aquatics,Lyons Aquatics,,A,Championship,Gold,10,34,3-4,New / previously unranked
12U Girls,NR,35,35,American River,American River,,A,Championship,Gold,11,35,3-4,New / previously unranked
12U Girls,NR,36,36,Brooklyn Hustle,Brooklyn Hustle,,A,Championship,Gold,12,36,3-5,New / previously unranked
12U Girls,19,37,37,Davis,Davis,Davis,A,Championship,Gold,13,37,5-4,
12U Girls,38,38,38,San Clemente Black,San Clemente,San Clemente Black,B,Championship,Gold,14,38,3-5,
12U Girls,NR,39,39,San Jose Express,San Jose Express,,A,Championship,Gold,15,39,3-5,New / previously unranked
12U Girls,32,40,40,Santa Barbara WPC B,Santa Barbara,SBWPC B,B,Championship,Gold,16,40,1-6,Identity / color mapping
12U Girls,27,41,41,Back Bay Black,Back Bay,Back Bay Black,B,Championship,Gold,17,41,4-4,
12U Girls,NR,42,42,Southside,Southside,,A,Championship,Gold,18,42,3-5,New / previously unranked
12U Girls,NR,43,43,Chicago Park,Chicago Park,,A,Championship,Gold,19,43,3-5,New / previously unranked
12U Girls,NR,44,44,Seaside,Seaside,,A,Championship,Gold,20,44,2-5,New / previously unranked
12U Girls,36,45,45,CMAC,CMAC,CMAC,A,Championship,Gold,21,45,4-5,
12U Girls,NR,46,46,Central Coast,Central Coast,,A,Championship,Gold,22,46,3-5,New / previously unranked
12U Girls,NR,47,47,Norcal Black,NorCal,,A,Championship,Gold,23,47,2-6,New / previously unranked
12U Girls,NR,48,48,680 Blue,680,,B,Championship,Gold,24,48,1-7,New / previously unranked
12U Girls,31,49,49,CIU,CIU,CIU,A,Championship,Gold,25,49,2-5,
12U Girls,NR,50,50,Cal Republic,Cal Rep,,A,Championship,Gold,26,50,1-6,New / previously unranked
12U Girls,37,51,51,Whittier,Whittier,Whittier,A,Championship,Gold,27,51,1-7,
12U Girls,NR,52,52,Punahou,Punahou,,A,Championship,Gold,28,52,0-8,New / previously unranked
14U Girls,11,1,1,Newport Beach Blue,Newport Beach,Newport Blue,A,Championship,Platinum,1,1,7-0,Identity / color mapping
14U Girls,6,2,2,Diablo Alliance A,Diablo Alliance,Diablo Alliance A,A,Championship,Platinum,2,2,6-2,
14U Girls,1,3,3,Patriot Navy,Patriot,Patriot Navy,A,Championship,Platinum,3,3,7-2,
14U Girls,3,4,4,908,908,908,A,Championship,Platinum,4,4,5-2,
14U Girls,2,5,5,Stanford A,Stanford,Stanford A,A,Championship,Platinum,5,5,6-2,3-team club depth
14U Girls,8,6,6,San Clemente Red,San Clemente,San Clemente Red,A,Championship,Platinum,6,6,3-4,
14U Girls,12,7,7,CHAWP White,CHAWP,CHAWP Blue,A,Championship,Platinum,7,7,5-2,Identity / color mapping
14U Girls,7,8,8,Santa Barbara WPC A,Santa Barbara,SBWPC A,A,Championship,Platinum,8,8,4-3,Identity / color mapping
14U Girls,10,9,9,Santa Cruz,Santa Cruz,Santa Cruz,A,Championship,Platinum,9,9,6-2,
14U Girls,4,10,10,Lamorinda A,Lamorinda,Lamorinda A,A,Championship,Platinum,10,10,4-4,
14U Girls,5,11,11,SD Shores Black,San Diego Shores,San Diego Shores Black,A,Championship,Platinum,11,11,4-4,Identity / color mapping; 3-team club depth
14U Girls,32,12,12,Greenwich,Greenwich,Greenwich,A,Championship,Platinum,12,12,3-5,Large movement from initial WPI
14U Girls,39,13,13,Texas Thunder,Thunder,Thunder,A,Championship,Platinum,13,13,6-3,Identity / color mapping; Large movement from initial WPI
14U Girls,13,14,14,Commerce,Commerce,Commerce,A,Championship,Platinum,14,14,5-4,
14U Girls,16,15,15,LB Shore,Long Beach Shore,Long Beach Shore A,A,Championship,Platinum,15,15,5-3,Identity / color mapping
14U Girls,17,16,16,Laguna Beach,Laguna Beach,Laguna Beach,A,Championship,Platinum,16,16,5-4,
14U Girls,34,17,17,Stanford B,Stanford,Stanford B,B,Championship,Platinum,17,17,5-3,3-team club depth
14U Girls,20,18,19,South Coast Red,South Coast,South Coast Red,A,Championship,Platinum,19,19,4-4,
14U Girls,55,19,18,Honolulu A,Honolulu Water Polo,Honolulu Water Polo,A,Championship,Platinum,18,18,5-4,Identity / color mapping; Large movement from initial WPI
14U Girls,15,20,20,CC United,CC United,CC United,A,Championship,Platinum,20,20,3-5,
14U Girls,37,21,21,Mavericks,Mavericks,Mavericks,A,Championship,Platinum,21,21,5-3,
14U Girls,18,22,22,Arroyo Grande,Arroyo Grande,Arroyo Grande,A,Championship,Platinum,22,22,4-4,
14U Girls,56,23,24,Innes Arden,Innis Arden,Innis Arden,A,Championship,Platinum,24,24,3-5,Identity / color mapping; Large movement from initial WPI
14U Girls,24,24,23,San Clemente Black,San Clemente,San Clemente Black,B,Championship,Platinum,23,23,4-4,
14U Girls,9,25,25,SD Dons,SD Dons,SD Dons,A,Championship,Gold,1,25,6-2,
14U Girls,29,26,26,680 Red,680,680 Red,A,Championship,Gold,2,26,5-4,
14U Girls,19,27,27,Davis,Davis,Davis,A,Championship,Gold,3,27,5-3,
14U Girls,21,28,29,SD Shores Gold,San Diego Shores,San Diego Shores Gold,B,Championship,Gold,5,29,5-4,Identity / color mapping; 3-team club depth
14U Girls,31,29,28,Rogue 619,Rogue 619,Rogue 619,A,Championship,Gold,4,28,4-5,
14U Girls,35,30,30,Lamorinda B,Lamorinda,Lamorinda B,B,Championship,Gold,6,30,4-5,
14U Girls,40,31,31,Clovis A,Clovis,Clovis A,A,Championship,Gold,7,31,4-5,
14U Girls,49,32,32,Elite,Elite,Elite,A,Championship,Gold,8,32,4-4,
14U Girls,53,33,33,LA Jolla United,La Jolla United,La Jolla United,A,Championship,Gold,9,33,4-5,Large movement from initial WPI
14U Girls,14,34,34,CDM,CDM,CDM,A,Championship,Gold,10,34,3-5,Large movement from initial WPI
14U Girls,62,35,35,SHAQ,SHAQ,SHAQ,A,Championship,Gold,11,35,3-5,Large movement from initial WPI
14U Girls,30,36,37,Temple City,Temple City,Temple City,A,Championship,Gold,13,37,5-3,
14U Girls,43,37,36,Big Valley,Big Valley,Big Valley,A,Championship,Gold,12,36,2-7,
14U Girls,NR,38,38,Brooklyn Hustle,Brooklyn Hustle,,A,Championship,Gold,14,38,3-4,New / previously unranked
14U Girls,NR,39,39,Kearns,Kearns,,A,Championship,Gold,15,39,3-4,New / previously unranked
14U Girls,68,40,40,Northwest,Northwest,Northwest,A,Championship,Gold,16,40,3-5,Large movement from initial WPI
14U Girls,NR,41,41,Norco,Norco,,A,Championship,Gold,17,41,3-6,New / previously unranked
14U Girls,NR,42,42,Southside,Southside,,A,Championship,Gold,18,42,3-5,New / previously unranked
14U Girls,45,43,43,Central Coast,Central Coast,Central Coast,A,Championship,Gold,19,43,2-5,
14U Girls,44,44,44,American River,American River,American River,A,Championship,Gold,20,44,1-6,
14U Girls,60,45,45,LOWPO,LOWPO,LOWPO,A,Championship,Gold,21,45,3-4,
14U Girls,NR,46,46,Chicago Park,Chicago Park,,A,Championship,Gold,22,46,2-5,New / previously unranked
14U Girls,NR,47,47,Punahou,Punahou,,A,Championship,Gold,23,47,1-6,New / previously unranked
14U Girls,NR,48,48,Topaz Tsunami,Topaz Tsunami,,A,Championship,Gold,24,48,0-7,New / previously unranked
14U Girls,22,49,49,Rose Bowl,Rose Bowl,Rose Bowl,A,Classic,Silver,1,1,6-1,Large movement from initial WPI
14U Girls,58,50,50,Santa Barbara WPC B,Santa Barbara,SBWPC B,B,Classic,Silver,2,2,6-1,Identity / color mapping
14U Girls,NR,51,51,Palos Verdes,Palos Verdes,,A,Classic,Silver,3,3,6-2,New / previously unranked
14U Girls,26,52,53,Viking,Viking,Viking,A,Classic,Silver,5,5,6-2,Large movement from initial WPI
14U Girls,38,53,52,Pac Premier,PAC Premier,PAC Premier,A,Classic,Silver,4,4,6-3,
14U Girls,33,54,55,San Jose Express Blue,San Jose Express,San Jose Express,A,Classic,Silver,7,7,5-2,Identity / color mapping; Large movement from initial WPI
14U Girls,54,55,54,SET,SET,SET,A,Classic,Silver,6,6,4-3,
14U Girls,46,56,57,Gold Coast,Gold Coast,Gold Coast,A,Classic,Silver,9,9,6-2,
14U Girls,71,57,56,Los Alamitos,Los Alamitos,Los Alamitos,A,Classic,Silver,8,8,4-3,
14U Girls,23,58,58,Foothill Red,Foothill Club,Foothill Red,A,Classic,Silver,10,10,6-3,Large movement from initial WPI
14U Girls,57,59,59,Newport Beach White,Newport Beach,Newport White,B,Classic,Silver,11,11,6-3,Identity / color mapping
14U Girls,41,60,60,Sharks,Sharks,Sharks,A,Classic,Silver,12,12,3-5,
14U Girls,NR,61,61,680 Blue,680,,B,Classic,Silver,13,13,5-3,New / previously unranked
14U Girls,47,62,62,Seaside,Seaside,Seaside,A,Classic,Silver,14,14,6-3,
14U Girls,65,63,63,Mid Valley,Mid Valley,Mid Valley,A,Classic,Silver,15,15,6-3,
14U Girls,67,64,64,Socal,SoCal,SoCal,A,Classic,Silver,16,16,3-5,
14U Girls,48,65,65,Back Bay,Back Bay,Back Bay,A,Classic,Silver,17,17,5-3,
14U Girls,52,66,66,Norcal,NorCal,NorCal,A,Classic,Silver,18,18,4-4,
14U Girls,50,67,67,ECA,ECA,ECA,A,Classic,Silver,19,19,4-4,
14U Girls,51,68,68,North Irvine,North Irvine,North Irvine,A,Classic,Silver,20,20,3-5,
14U Girls,NR,69,69,Ct Premier,CT Premier,,A,Classic,Silver,21,21,5-3,New / previously unranked
14U Girls,NR,70,70,Honolulu,Honolulu Water Polo,,B,Classic,Silver,22,22,3-5,New / previously unranked
14U Girls,NR,71,71,Placer,Placer,,A,Classic,Silver,23,23,3-5,New / previously unranked
14U Girls,36,72,72,Asphalt Green,Asphalt Green,Asphalt Green,A,Classic,Silver,24,24,2-6,Large movement from initial WPI
14U Girls,61,73,73,SD Shores White,San Diego Shores,San Diego Shores White,C,Classic,Bronze,1,25,5-3,Identity / color mapping; 3-team club depth
14U Girls,NR,74,74,Stanford C,Stanford,,C,Classic,Bronze,2,26,4-4,New / previously unranked; 3-team club depth
14U Girls,NR,75,75,Bulldog,Bulldog,,A,Classic,Bronze,3,27,5-5,New / previously unranked
14U Girls,72,76,76,Foothill Black,Foothill Club,Foothill Black,B,Classic,Bronze,4,28,5-5,
14U Girls,74,77,77,Chula Vista Premier,CV Premier,CV Premier,A,Classic,Bronze,5,29,4-4,Identity / color mapping
14U Girls,75,78,78,South Coast White,South Coast,South Coast White,B,Classic,Bronze,6,30,2-6,
14U Girls,NR,79,79,WCAC United,WCAC United,,A,Classic,Bronze,7,31,3-4,New / previously unranked
14U Girls,42,80,80,Praetorian,Praetorian,Praetorian,A,Classic,Bronze,8,32,2-6,Large movement from initial WPI
14U Girls,NR,81,81,CHAWP Blue,CHAWP,,B,Classic,Bronze,9,33,4-4,New / previously unranked
14U Girls,NR,82,82,Turul,Turul,,A,Classic,Bronze,10,34,2-6,New / previously unranked
14U Girls,64,83,83,Patriot Red,Patriot,Patriot Red,B,Classic,Bronze,11,35,3-5,
14U Girls,NR,84,84,Alameda,Alameda,,A,Classic,Bronze,12,36,0-8,New / previously unranked
14U Girls,NR,85,85,San Jose Express Gold,San Jose Express,,B,Classic,Bronze,13,37,3-5,New / previously unranked
14U Girls,NR,86,86,Trojan,Trojan,,A,Classic,Bronze,14,38,1-6,New / previously unranked
14U Girls,73,87,87,Clovis B,Clovis,Clovis B,B,Classic,Bronze,15,39,1-7,
16U Girls,1,1,1,Santa Barbara WPC A,Santa Barbara,SBWPC A,A,Championship,Platinum,1,1,7-0,Identity / color mapping
16U Girls,NR,2,2,680 Red,680,,A,Championship,Platinum,2,2,7-2,New / previously unranked
16U Girls,23,3,3,Legacy,Legacy,Legacy,A,Championship,Platinum,3,3,7-2,Large movement from initial WPI
16U Girls,2,4,4,Mission,Mission,Mission,A,Championship,Platinum,4,4,5-2,
16U Girls,NR,5,5,Santa Cruz,Santa Cruz,,A,Championship,Platinum,5,5,5-2,New / previously unranked
16U Girls,9,6,7,Newport Beach,Newport Beach,Newport Beach,A,Championship,Platinum,7,7,5-2,
16U Girls,27,7,6,Arroyo Grande,Arroyo Grande,Arroyo Grande,A,Championship,Platinum,6,6,3-4,Large movement from initial WPI
16U Girls,8,8,8,Stanford A,Stanford,Stanford A,A,Championship,Platinum,8,8,6-3,
16U Girls,4,9,9,Meridian,Meridian,Meridian,A,Championship,Platinum,9,9,7-2,
16U Girls,14,10,10,Tsunami,Rancho Tsunami,Tsunami,A,Championship,Platinum,10,10,4-3,
16U Girls,7,11,11,SD Shores Black,San Diego Shores,San Diego Shores,A,Championship,Platinum,11,11,6-3,Identity / color mapping
16U Girls,26,12,12,CIU,CIU,CIU,A,Championship,Platinum,12,12,3-5,
16U Girls,NR,13,13,SHAQ Blue,SHAQ,,A,Championship,Platinum,13,13,5-3,New / previously unranked
16U Girls,3,14,14,South Coast Red,South Coast,South Coast,A,Championship,Platinum,14,14,4-4,Identity / color mapping
16U Girls,6,15,15,Diablo Alliance A,Diablo Alliance,Diablo Alliance A,A,Championship,Platinum,15,15,5-3,
16U Girls,5,16,16,Patriot,Patriot,Patriot,A,Championship,Platinum,16,16,4-4,
16U Girls,16,17,17,Lamorinda A,Lamorinda,Lamorinda A,A,Championship,Platinum,17,17,5-3,
16U Girls,NR,18,18,Greenwich,Greenwich,,A,Championship,Platinum,18,18,5-4,New / previously unranked
16U Girls,19,19,19,CHAWP White,CHAWP,CHAWP B,A,Championship,Platinum,19,19,4-4,Identity / color mapping
16U Girls,NR,20,20,LA Jolla United,La Jolla United,,A,Championship,Platinum,20,20,3-5,New / previously unranked
16U Girls,32,21,21,Bulldog,Bulldog,Bulldog,A,Championship,Platinum,21,21,,
16U Girls,25,22,22,Santa Barbara WPC B,Santa Barbara,SBWPC B,B,Championship,Platinum,22,22,,Identity / color mapping
16U Girls,18,23,23,LB Viking,Viking,LB Viking,A,Championship,Platinum,23,23,,
16U Girls,10,24,24,Norco,Norco,Norco,A,Championship,Platinum,24,24,,
16U Girls,33,25,25,Clovis,Clovis,Clovis,A,Championship,Gold,1,25,6-2,
16U Girls,24,26,26,Temple City,Temple City,Temple City,A,Championship,Gold,2,26,5-3,
16U Girls,NR,27,27,Olympus,Olympus,,A,Championship,Gold,3,27,6-4,New / previously unranked
16U Girls,NR,28,28,San Joe Express Blue,San Jose Express,,A,Championship,Gold,4,28,5-5,New / previously unranked
16U Girls,NR,29,29,Norcal Black,NorCal,,A,Championship,Gold,5,29,4-4,New / previously unranked
16U Girls,NR,30,30,Palos Verdes Black,PV WPC,,A,Championship,Gold,6,30,3-5,New / previously unranked
16U Girls,15,31,31,Club Daygo,Club Daygo,Club Daygo,A,Championship,Gold,7,31,4-5,
16U Girls,NR,32,32,Longhorn,Longhorn,,A,Championship,Gold,8,32,3-6,New / previously unranked
16U Girls,NR,33,33,Rain City,Rain City,,A,Championship,Gold,9,33,4-4,New / previously unranked
16U Girls,NR,34,34,Elmhurst,Elmhurst,,A,Championship,Gold,10,34,3-5,New / previously unranked
16U Girls,NR,35,35,Davis,Davis,,A,Championship,Gold,11,35,4-4,New / previously unranked
16U Girls,NR,36,36,Viper Pigeon Hill Country,Viper Pigeon Hill Country,,A,Championship,Gold,12,36,3-5,New / previously unranked
16U Girls,NR,37,37,LOWPO,LOWPO,,A,Championship,Gold,13,37,4-5,New / previously unranked
16U Girls,NR,38,38,Visalia United,Visalia United,,A,Championship,Gold,14,38,4-4,New / previously unranked
16U Girls,NR,39,39,Praetorian,Praetorian,,A,Championship,Gold,15,39,4-4,New / previously unranked
16U Girls,NR,40,40,SD Shores Gold,San Diego Shores,,B,Championship,Gold,16,40,2-7,New / previously unranked
16U Girls,NR,41,41,Viper Pigeon Htown,Viper Pigeon Htown,,A,Championship,Gold,17,41,3-4,New / previously unranked
16U Girls,NR,42,42,Lyons Aquatics,Lyons Aquatics,,A,Championship,Gold,18,42,2-5,New / previously unranked
16U Girls,NR,43,43,Seaside,Seaside,,A,Championship,Gold,19,43,2-5,New / previously unranked
16U Girls,NR,44,44,Colorado,Colorado,,A,Championship,Gold,20,44,1-6,New / previously unranked
16U Girls,NR,45,45,Brooklyn Hustle,Brooklyn Hustle,,A,Championship,Gold,21,45,,New / previously unranked
16U Girls,NR,46,46,Great Lakes Aquatics,Great Lakes Aquatics,,A,Championship,Gold,22,46,,New / previously unranked
16U Girls,NR,47,47,Third Coast,Third Coast,,A,Championship,Gold,23,47,,New / previously unranked
16U Girls,NR,48,48,Nipc,NIPC,,A,Championship,Gold,24,48,,New / previously unranked
16U Girls,13,49,49,San Clemente,San Clemente,San Clemente,A,Classic,Silver,1,1,7-0,Large movement from initial WPI
16U Girls,11,50,50,Regency,Regency,Regency,A,Classic,Silver,2,2,6-1,Large movement from initial WPI
16U Girls,NR,51,51,Legacy Orange,Legacy,,B,Classic,Silver,3,3,9-2,New / previously unranked
16U Girls,36,52,52,Lamorinda B,Lamorinda,Lamorinda B,B,Classic,Silver,4,4,6-3,
16U Girls,NR,53,53,SET,SET,,A,Classic,Silver,5,5,5-2,New / previously unranked
16U Girls,NR,54,54,Stanford B,Stanford,,B,Classic,Silver,6,6,4-3,New / previously unranked
16U Girls,22,55,55,Socal Black,SoCal,SoCal,A,Classic,Silver,7,7,5-2,Identity / color mapping; Large movement from initial WPI
16U Girls,30,56,57,Rose Bowl Red A,Rose Bowl,Rose Bowl,A,Classic,Silver,9,9,5-3,Identity / color mapping; Large movement from initial WPI
16U Girls,28,57,56,Midvalley Blue,Mid Valley,Mid Valley,A,Classic,Silver,8,8,6-3,Identity / color mapping; Large movement from initial WPI
16U Girls,34,58,58,Corona Del Mar,CDM,CDM,A,Classic,Silver,10,10,4-3,Identity / color mapping; Large movement from initial WPI
16U Girls,29,59,59,Asphalt Green,Asphalt Green,Asphalt Green,A,Classic,Silver,11,11,4-3,Large movement from initial WPI
16U Girls,35,60,60,South Coast White,South Coast,South Coast B,B,Classic,Silver,12,12,5-4,Identity / color mapping; Large movement from initial WPI
16U Girls,NR,61,61,LB Shore,Long Beach Shore,,A,Classic,Silver,13,13,6-2,New / previously unranked
16U Girls,NR,62,62,Cal Republic,Cal Rep,,A,Classic,Silver,14,14,6-3,New / previously unranked
16U Girls,12,63,63,Foothill,Foothill,Foothill,A,Classic,Silver,15,15,5-3,Large movement from initial WPI
16U Girls,17,64,64,Commerce,Commerce,Commerce,A,Classic,Silver,16,16,3-5,Large movement from initial WPI
16U Girls,NR,65,65,Trilogy,Trilogy,,A,Classic,Silver,17,17,4-4,New / previously unranked
16U Girls,NR,66,66,Sacramento Black,Sacramento,,A,Classic,Silver,18,18,3-5,New / previously unranked
16U Girls,NR,67,67,680 Blue,680,,B,Classic,Silver,19,19,4-4,New / previously unranked
16U Girls,NR,68,68,Alameda,Alameda,,A,Classic,Silver,20,20,3-5,New / previously unranked
16U Girls,NR,69,69,Surf City,Surf City,,A,Classic,Silver,21,21,5-3,New / previously unranked
16U Girls,NR,70,70,Lamorinda Brentwood,Lamorinda Brentwood,,A,Classic,Silver,22,22,4-4,New / previously unranked
16U Girls,NR,71,71,LA Jolla United,La Jolla United,,B,Classic,Silver,23,23,3-5,New / previously unranked
16U Girls,NR,72,72,CHAWP Blue,CHAWP,,B,Classic,Silver,24,24,1-7,New / previously unranked
16U Girls,NR,73,73,CC United,CC United,,A,Classic,Bronze,1,25,7-3,New / previously unranked
16U Girls,NR,74,74,American River,American River,,A,Classic,Bronze,2,26,5-4,New / previously unranked
16U Girls,NR,75,75,WCAC United A,WCAC United,,A,Classic,Bronze,3,27,5-3,New / previously unranked
16U Girls,NR,76,76,SHAQ White,SHAQ,,B,Classic,Bronze,4,28,4-4,New / previously unranked
16U Girls,NR,77,77,Oahu,Oahu,,A,Classic,Bronze,5,29,3-5,New / previously unranked
16U Girls,NR,78,78,South Valley,South Valley,,A,Classic,Bronze,6,30,3-6,New / previously unranked
16U Girls,NR,79,79,Sharks,Sharks,,A,Classic,Bronze,7,31,4-4,New / previously unranked
16U Girls,NR,80,80,Rose Bowl Black,Rose Bowl,,B,Classic,Bronze,8,32,2-7,New / previously unranked
16U Girls,NR,81,81,Big Valley,Big Valley,,A,Classic,Bronze,9,33,5-3,New / previously unranked
16U Girls,NR,82,82,Loyola Venice,Loyola Venice,,A,Classic,Bronze,10,34,3-5,New / previously unranked
16U Girls,NR,83,83,WCAC United B,WCAC United,,B,Classic,Bronze,11,35,2-7,New / previously unranked
16U Girls,NR,84,84,San Jose Express Gold,San Jose Express,,B,Classic,Bronze,12,36,3-5,New / previously unranked
16U Girls,NR,85,85,Pacific Valley Premier,Pacific Valley Premier,,A,Classic,Bronze,13,37,5-3,New / previously unranked
16U Girls,NR,86,86,San Francisco Warriors,San Francisco,,A,Classic,Bronze,14,38,3-5,New / previously unranked
16U Girls,NR,87,87,Turul,Turul,,A,Classic,Bronze,15,39,3-6,New / previously unranked
16U Girls,NR,88,88,Tri Valley Tritons,Tri Valley Tritons,,A,Classic,Bronze,16,40,3-5,New / previously unranked
16U Girls,NR,89,89,Tri Valley,Tri Valley,,A,Classic,Bronze,17,41,4-4,New / previously unranked
16U Girls,NR,90,90,Mid Valley White,Mid Valley,,B,Classic,Bronze,18,42,2-6,New / previously unranked
16U Girls,NR,91,91,Norcal Teal,NorCal,,B,Classic,Bronze,19,43,2-5,New / previously unranked
16U Girls,NR,92,92,Burlingame,Burlingame,,A,Classic,Bronze,20,44,1-6,New / previously unranked
16U Girls,NR,93,93,Sacramento Orange,Sacramento,,B,Classic,Bronze,21,45,0-7,New / previously unranked
18U Girls,2,1,1,Santa Barbara WPC A,Santa Barbara,SBWPC A,A,Championship,Platinum,1,1,7-0,Identity / color mapping; 3-team club depth
18U Girls,5,2,2,Lamorinda A,Lamorinda,Lamorinda A,A,Championship,Platinum,2,2,6-1,
18U Girls,3,3,3,Regency,Regency,Regency,A,Championship,Platinum,3,3,6-2,
18U Girls,1,4,4,Newport Beach,Newport Beach,Newport Beach,A,Championship,Platinum,4,4,4-4,
18U Girls,4,5,5,Socal Black,SoCal,SoCal,A,Championship,Platinum,5,5,6-3,Identity / color mapping
18U Girls,16,6,6,SD Shores Black,San Diego Shores,San Diego Shores,A,Championship,Platinum,6,6,5-3,Identity / color mapping
18U Girls,NR,7,7,Diablo Alliance A,Diablo Alliance,,A,Championship,Platinum,7,7,5-2,New / previously unranked
18U Girls,9,8,9,LB Viking White,Viking,LB Viking Blue,A,Championship,Platinum,9,9,5-2,Identity / color mapping
18U Girls,17,9,8,Santa Barbara WPC B,Santa Barbara,SBWPC B,B,Championship,Platinum,8,8,6-3,Identity / color mapping; 3-team club depth
18U Girls,8,10,10,Rose Bowl Red,Rose Bowl,Rose Bowl,A,Championship,Platinum,10,10,4-3,Identity / color mapping
18U Girls,7,11,11,Mission,Mission,Mission,A,Championship,Platinum,11,11,5-4,
18U Girls,15,12,12,680 Red,680,680,A,Championship,Platinum,12,12,3-5,Identity / color mapping
18U Girls,11,13,13,Legacy,Legacy,Legacy,A,Championship,Platinum,13,13,6-2,
18U Girls,6,14,14,Corona Del Mar,CDM,CDM,A,Championship,Platinum,14,14,6-3,Identity / color mapping
18U Girls,24,15,15,Clovis,Clovis,Clovis,A,Championship,Platinum,15,15,4-4,
18U Girls,12,16,16,Stanford A,Stanford,Stanford A,A,Championship,Platinum,16,16,5-4,
18U Girls,NR,17,17,LA Jolla United,La Jolla United,,A,Championship,Platinum,17,17,5-3,New / previously unranked
18U Girls,NR,18,18,Greenwich,Greenwich,,A,Championship,Platinum,18,18,4-4,New / previously unranked
18U Girls,NR,19,19,SHAQ Blue,SHAQ,,A,Championship,Platinum,19,19,4-4,New / previously unranked
18U Girls,13,20,20,Santa Cruz,Santa Cruz,Santa Cruz,A,Championship,Platinum,20,20,3-5,
