group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
12U Boys,11,Tsunami,tsunami-12u-boys,Rancho Tsunami,rancho-tsunami,Inland Empire,1,primary/A-level,1763.1,0,30,Quiksilver Cup,6 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged Tsunami and Rancho Tsunami evidence; ranked as a 10–15 range team based on strong win plus mixed latest results.,manual_review_note_present|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rancho-tsunami.webp,team.html?team=tsunami-12u-boys,club.html?club=rancho-tsunami,,,,
12U Boys,12,Rose Bowl,rose-bowl-12u-boys,Rose Bowl,rose-bowl,Los Angeles,1,primary/A-level,1746.3,-2,18,Quiksilver Cup,10 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged Rose Bowl Red and Rose Bowl as one primary 12U Boys team profile.,manual_review_note_present|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rose-bowl.webp,team.html?team=rose-bowl-12u-boys,club.html?club=rose-bowl,,,,
12U Boys,13,SoCal,socal-12u-boys,SOCAL,socal,Orange County,1,primary/A-level,1736.4,-1,23,Quiksilver Cup,11 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged SoCal and SoCal Black for 12U Boys ranking continuity; early D1 win is noted but weighted below later results.,manual_review_note_present|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/socal.webp,team.html?team=socal-12u-boys,club.html?club=socal,,,,
12U Boys,14,Temple City,temple-city,Temple City,temple-city,Los Angeles,1,primary/A-level,1735.5,-1,13,Futures Super Finals,2-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/temple-city.webp,team.html?team=temple-city,club.html?club=temple-city,,,,
12U Boys,15,Patriot Navy,patriot-navy,Patriot,patriot,Orange County,1,primary/A-level,1728.4,0,21,Futures Super Finals,0-5,manual_review_same_team_alias_merge,Merged Patriot Navy and Patriot Navy as the same primary 12U Boys team.,manual_review_note_present,,,,,,,assets/logos/canonical/patriot.webp,team.html?team=patriot-navy,club.html?club=patriot,,,,
12U Boys,16,La Jolla United,la-jolla-united,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,1717.6,1,10,Quiksilver Cup,9 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,La Jolla United Navy #73 (la-jolla-united-navy); La Jolla United Gold #75 (la-jolla-united-gold); La Jolla United B #83 (la-jolla-united-b-12u-boys),La Jolla United Navy #73 depth=1; La Jolla United Gold #75 depth=1; La Jolla United B #83 depth=2,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united,club.html?club=la-jolla-united,,,,
12U Boys,17,Los Alamitos,los-alamitos,Los Alamitos,los-alamitos,Orange County,1,primary/A-level,1715.5,-1,11,Futures Super Finals,4-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,Los Alamitos Opal #66 depth=1,,,,assets/logos/canonical/los-alamitos.webp,team.html?team=los-alamitos,club.html?club=los-alamitos,,,,
12U Boys,18,680 A,680-a-12u-boys,680,680,East Bay,1,primary/A-level,1710.9,0,5,Futures Super Finals,3-2,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 Red #44 (680-red); 680 White #50 (680-white); 680 Blue #72 (680-blue),680 Red #44 depth=1; 680 White #50 depth=1; 680 Blue #72 depth=2,,,,assets/logos/canonical/680.webp,team.html?team=680-a-12u-boys,club.html?club=680,,,,
12U Boys,19,San Diego Shores,san-diego-shores,San Diego Shores,sd-shores,San Diego,1,primary/A-level,1704.1,0,18,Quiksilver Cup,15 of 16,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged San Diego Shores / SD Shores / SD Shores Black naming variants.,manual_review_note_present|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/sd-shores.webp,team.html?team=san-diego-shores,club.html?club=sd-shores,,,,
12U Boys,20,Lamorinda A,lamorinda-a-12u-boys,Lamorinda,lamorinda,East Bay,1,primary/A-level,1693.3,0,19,Quiksilver Cup,14 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-a-12u-boys,club.html?club=lamorinda,,,,
12U Boys,21,ORWP A,orwp-a-12u-boys,ORWP,orwp,Los Angeles,1,primary/A-level,1692.3,0,13,KAP7 International,2-3,manual_review_same_team_alias_merge,Merged ORWP A A and ORWP A as the same primary 12U Boys team.,manual_review_note_present|possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,ORWP Red #78 (orwp-red),ORWP Red #78 depth=1,,,,assets/logos/canonical/orwp.webp,team.html?team=orwp-a-12u-boys,club.html?club=orwp,,,,
12U Boys,22,Carlsbad,carlsbad,Carlsbad,carlsbad,San Diego,1,primary/A-level,1691.9,0,6,Futures Super Finals,3-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/carlsbad.webp,team.html?team=carlsbad,club.html?club=carlsbad,,,,
12U Boys,23,NSD Stars,nsd-stars,Nsd Stars,nsd-stars,San Diego,1,primary/A-level,1690.2,0,7,Quiksilver Cup,16 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/nsd-stars.webp,team.html?team=nsd-stars,club.html?club=nsd-stars,,,,
12U Boys,24,Trojan Cardinal,trojan-cardinal,Trojan,trojan,Los Angeles,1,primary/A-level,1689.1,0,9,CCA JO Qualifier,3-2,,,same_club_depth_collision|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming.,,Trojan #68 depth=1,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan-cardinal,club.html?club=trojan,,,,
12U Boys,25,LA Premier,la-premier,LA Premier,la-premier,Los Angeles,1,primary/A-level,1681.4,0,21,Quiksilver Cup,12 of 16,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged LA Premier and LA Premier as the same primary 12U Boys team.,manual_review_note_present|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/la-premier.webp,team.html?team=la-premier,club.html?club=la-premier,,,,
12U Boys,26,Back Bay,back-bay,Back Bay,back-bay,Orange County,1,primary/A-level,1678.1,0,13,SOPAC JO Qualifier,3-2,lower_division_top_25_review|lower_division_ceiling_review|d1_validation_required,"Kept as a top Gold/D2 profile, but below the D1 core under the lower-division ceiling.",manual_review_note_present,,,,,,,assets/logos/canonical/back-bay.webp,team.html?team=back-bay,club.html?club=back-bay,,,,
12U Boys,27,Newport Beach A,newport-beach-a-12u-boys,Newport Beach,newport-beach,Orange County,1,primary/A-level,1676.9,0,5,Futures Super Finals,1-4,,,same_club_depth_collision|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming.,,Newport White #40 depth=1,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-a-12u-boys,club.html?club=newport-beach,,,,
12U Boys,28,Santa Cruz,santa-cruz,Santa Cruz,santa-cruz,Central Coast,1,primary/A-level,1674.0,0,8,Pacific Zone JO Qualifier,6-1,lower_division_top_25_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/santa-cruz.webp,team.html?team=santa-cruz,club.html?club=santa-cruz,,,,
12U Boys,29,OCWPC Blue,ocwpc-blue,OCWPC,ocwpc,Orange County,1,primary/A-level,1673.0,0,30,SOPAC JO Qualifier,3-3,d2_heavy_elite_validation_review|manual_review_same_team_alias_merge|lower_division_ceiling_review|d1_validation_required,"Merged OCWPC Blue Blue and OCWPC Blue as the same primary 12U Boys team. Kept as a strong Gold/D2 profile, but capped below the D1 core because D1 results were mixed.",manual_review_note_present,,,,,,,assets/logos/canonical/ocwpc.webp,team.html?team=ocwpc-blue,club.html?club=ocwpc,,,,
12U Boys,30,San Mateo,san-mateo,San Mateo,san-mateo,Peninsula / San Francisco,1,primary/A-level,1670.9,0,13,Futures Super Finals,3-1,lower_division_ceiling_review|d1_validation_required,"Moved down under D1/D2/D3 guardrails: strong Gold/D2 profile, but not enough D1 validation to sit in the top-15 band.",manual_review_note_present|official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/san-mateo.webp,team.html?team=san-mateo,club.html?club=san-mateo,,,,
12U Boys,31,Foothill Red,foothill-red,Foothill Club,foothill-club,Orange County,1,primary/A-level,1667.6,0,25,Futures Super Finals,3-2,manual_review_same_team_alias_merge|lower_division_ceiling_review|d1_validation_required,"Merged Foothill Red and Foothill Red as same primary 12U Boys team. Moved down under D1/D2/D3 guardrails: strong Gold/D2 profile, but should not rank ahead of the D1 core without stronger D1 validation.",manual_review_note_present|possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Foothill Black #74 (foothill-black),Foothill Black #74 depth=1,,,,assets/logos/canonical/foothill-club.webp,team.html?team=foothill-red,club.html?club=foothill-club,,,,
12U Boys,32,Shore Aquatics,shore-aquatics,Shore Aquatics,shore-aquatics,Los Angeles,1,primary/A-level,1662.8,0,26,Futures Super Finals,3-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/shore-aquatics.webp,team.html?team=shore-aquatics,club.html?club=shore-aquatics,,,,
12U Boys,33,SMAC Black,smac-black,Smac,smac,Los Angeles,1,primary/A-level,1655.6,0,7,Pacific Zone JO Qualifier,5-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/smac.webp,team.html?team=smac-black,club.html?club=smac,,,,
12U Boys,34,San Jose Foundation Black,san-jose-foundation-black,SJ Foundation,sj-foundation,Peninsula / San Francisco,1,primary/A-level,1650.1,0,12,Futures Super Finals,4-1,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sj-foundation.webp,team.html?team=san-jose-foundation-black,club.html?club=sj-foundation,,,,
12U Boys,35,Commerce,commerce,Commerce,commerce,Los Angeles,1,primary/A-level,1648.6,0,6,CCA JO Qualifier,4-2,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/commerce.webp,team.html?team=commerce,club.html?club=commerce,,,,
12U Boys,36,908,908-12u-boys,908,908,Central Coast,1,primary/A-level,1640.6,0,19,Quiksilver Cup,13 of 16,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged 908 and 908 as the same primary 12U Boys team.,manual_review_note_present|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/908.webp,team.html?team=908-12u-boys,club.html?club=908,,,,
12U Boys,37,SD Dons B,sd-dons-b-12u-boys,SD Dons,sd-dons,San Diego,2,secondary/B-level,1639.2,0,5,Futures Super Finals,4-1,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SD Dons A #3 (sd-dons-a-12u-boys); SD Dons Black #57 (sd-dons-black); SD Dons Gold #64 (sd-dons-gold),SD Dons A #3 depth=1; SD Dons Black #57 depth=1; SD Dons Gold #64 depth=1,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-b-12u-boys,club.html?club=sd-dons,,,,
12U Boys,38,San Jose Wpf,san-jose-wpf,San Jose Wpf,san-jose-wpf,Peninsula / San Francisco,1,primary/A-level,1638.3,0,6,San Diego County Cup,4-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/san-jose-wpf.webp,team.html?team=san-jose-wpf,club.html?club=san-jose-wpf,,,,
12U Boys,39,ECA,eca,SD ECA,sd-eca,San Diego,1,primary/A-level,1637.8,0,6,San Diego County Cup,4-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sd-eca.webp,team.html?team=eca,club.html?club=sd-eca,,,,
12U Boys,40,Newport White,newport-white,Newport Beach,newport-beach,Orange County,1,primary/A-level,1637.7,0,8,SOPAC JO Qualifier,2-3,,,same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,Confirm A/B/C/color team hierarchy and canonical naming.,,Newport Beach A #27 depth=1,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-white,club.html?club=newport-beach,,,,
12U Boys,41,Sharks,sharks,Sharks,sharks,Peninsula / San Francisco,1,primary/A-level,1632.3,0,6,San Diego County Cup,4-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sharks.webp,team.html?team=sharks,club.html?club=sharks,,,,
12U Boys,42,Greenwich White,greenwich-white,Greenwich,greenwich,Out of State,1,primary/A-level,1630.3,0,6,San Diego County Cup,4-2,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Greenwich #4 (greenwich),Greenwich #4 depth=1,,,,assets/logos/canonical/greenwich.webp,team.html?team=greenwich-white,club.html?club=greenwich,,,,
12U Boys,43,Trilogy,trilogy,Trilogy,trilogy,San Diego,1,primary/A-level,1629.8,0,9,San Diego County Cup,2-2-1,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/trilogy.webp,team.html?team=trilogy,club.html?club=trilogy,,,,
12U Boys,44,680 Red,680-red,680,680,East Bay,1,primary/A-level,1629.0,0,13,Pacific Zone JO Qualifier,2-3,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 A #18 (680-a-12u-boys); 680 White #50 (680-white); 680 Blue #72 (680-blue),680 A #18 depth=1; 680 White #50 depth=1; 680 Blue #72 depth=2,,,,assets/logos/canonical/680.webp,team.html?team=680-red,club.html?club=680,,,,
12U Boys,45,SHAQ Blue,shaq-blue,SHAQ,shaq,Peninsula / San Francisco,1,primary/A-level,1622.5,0,5,Pacific Zone JO Qualifier,3-2,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SHAQ White #61 (shaq-white),SHAQ White #61 depth=1,,,,assets/logos/canonical/shaq.webp,team.html?team=shaq-blue,club.html?club=shaq,,,,
12U Boys,46,Mission B,mission-b-12u-boys,Mission,mission,Orange County,2,secondary/B-level,1621.4,0,28,Futures Super Finals,4-0,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Mission A #1 (mission-a-12u-boys),Mission A #1 depth=1,,,,assets/logos/canonical/mission.webp,team.html?team=mission-b-12u-boys,club.html?club=mission,,,,
12U Boys,47,Davis,davis,Davis,davis,Sacramento,1,primary/A-level,1621.0,0,14,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/davis.webp,team.html?team=davis,club.html?club=davis,,,,
12U Boys,48,CC United Blue,cc-united-blue,CC United,cc-united,East Bay,2,secondary/B-level,1618.8,0,18,Pacific Zone JO Qualifier,5-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,CC United #6 (cc-united-12u-boys),CC United #6 depth=1,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-blue,club.html?club=cc-united,,,,
12U Boys,49,Yolo Black,yolo-black,Yolo,yolo,East Bay,1,primary/A-level,1615.6,0,7,San Diego County Cup,0-2,,,official_logo_needed|possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Collect official logo screenshot/source when available.,Yolo #52 (yolo),Yolo #52 depth=1,,,,assets/logos/canonical/yolo.webp,team.html?team=yolo-black,club.html?club=yolo,,,,
12U Boys,50,680 White,680-white,680,680,East Bay,1,primary/A-level,1615.0,0,10,Pacific Zone JO Qualifier,4-2,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 A #18 (680-a-12u-boys); 680 Red #44 (680-red); 680 Blue #72 (680-blue),680 A #18 depth=1; 680 Red #44 depth=1; 680 Blue #72 depth=2,,,,assets/logos/canonical/680.webp,team.html?team=680-white,club.html?club=680,,,,
12U Boys,51,Farallon,farallon,Farallon,farallon,Peninsula / San Francisco,1,primary/A-level,1613.0,0,6,Pacific Zone JO Qualifier,2-4,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/farallon.webp,team.html?team=farallon,club.html?club=farallon,,,,
12U Boys,52,Yolo,yolo,Yolo,yolo,East Bay,1,primary/A-level,1608.2,0,6,Pacific Zone JO Qualifier,3-3,,,official_logo_needed|possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Collect official logo screenshot/source when available.,Yolo Black #49 (yolo-black),Yolo Black #49 depth=1,,,,assets/logos/canonical/yolo.webp,team.html?team=yolo,club.html?club=yolo,,,,
12U Boys,53,CMAC,cmac,Cmac,cmac,Orange County,1,primary/A-level,1606.3,0,21,SOPAC JO Qualifier,2-3,d2_heavy_elite_validation_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/cmac.webp,team.html?team=cmac,club.html?club=cmac,,,,
12U Boys,54,SET,set,Set,set,Orange County,1,primary/A-level,1589.5,0,8,K7 Cup,2-2,coed_only_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/set.webp,team.html?team=set,club.html?club=set,,,,
12U Boys,55,Whittier,whittier,Whittier,whittier,Los Angeles,1,primary/A-level,1586.6,0,6,CCA JO Qualifier,3-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/whittier.webp,team.html?team=whittier,club.html?club=whittier,,,,
12U Boys,56,South Coast Red,south-coast-red,South Coast,south-coast,Orange County,1,primary/A-level,1585.1,0,18,CCA JO Qualifier,3-3,d2_heavy_elite_validation_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-red,club.html?club=south-coast,,,,
12U Boys,57,SD Dons Black,sd-dons-black,SD Dons,sd-dons,San Diego,1,primary/A-level,1582.4,0,5,San Diego County Cup,2-2-1,,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SD Dons A #3 (sd-dons-a-12u-boys); SD Dons B #37 (sd-dons-b-12u-boys); SD Dons Gold #64 (sd-dons-gold),SD Dons A #3 depth=1; SD Dons B #37 depth=2; SD Dons Gold #64 depth=1,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-black,club.html?club=sd-dons,,,,
