club_slug,club_names_seen,display_names_seen,region,ranked_team_count,groups_present,best_ranked_team,best_group,best_rank,logo_paths_seen,website_seen,issue_types,manual_decision,approved_display_name,approved_region,approved_logo_slug,notes
supreme,Supreme,Supreme,Los Angeles,3,14U Boys:1; 16U Boys:1; 18U Boys:1,Supreme,18U Boys,14,assets/logos/canonical/supreme.webp,,no_automated_issue,,,,,
temple-city,Temple City,Temple City,Los Angeles,5,12U Boys:1; 12U Girls:1; 14U Boys:1; 14U Girls:1; 16U Girls:1,Temple City,12U Girls,12,assets/logos/canonical/temple-city.webp,,no_automated_issue,,,,,
titans,Titans,Titans,Los Angeles,2,14U Boys:1; 16U Boys:1,Titans A,14U Boys,59,assets/logos/canonical/titans.webp,,no_automated_issue,,,,,
trojan,Trojan,Trojan,Los Angeles,8,12U Boys:2; 14U Boys:1; 16U Boys:3; 18U Boys:2,Trojan,16U Boys,8,assets/logos/canonical/trojan.webp,,no_automated_issue,,,,,
tsm,TSM,TSM,Los Angeles,1,18U Boys:1,TSM,18U Boys,18,assets/logos/canonical/tsm.webp,,official_logo_needed,,,,,
viking,Viking,Viking,Los Angeles,5,14U Girls:1; 16U Girls:2; 18U Girls:2,LB Viking Blue,18U Girls,9,assets/logos/canonical/viking.webp,,no_automated_issue,,,,,
whittier,Whittier,Whittier,Los Angeles,2,12U Boys:1; 12U Girls:1,Whittier,12U Girls,37,assets/logos/canonical/whittier.webp,,official_logo_needed,,,,,
yeti,Yeti,Yeti,Los Angeles,1,18U Boys:1,Yeti,18U Boys,45,assets/logos/canonical/yeti.webp,,official_logo_needed,,,,,
aetos,Aetos,Aetos,Orange County,2,16U Boys:1; 18U Boys:1,Aetos,18U Boys,9,assets/logos/canonical/aetos.webp,,no_automated_issue,,,,,
back-bay,Back Bay,Back Bay,Orange County,6,12U Boys:1; 12U Girls:2; 14U Boys:1; 14U Girls:1; 16U Boys:1,Back Bay Navy,12U Girls,5,assets/logos/canonical/back-bay.webp,,no_automated_issue,,,,,
boa,BOA,BOA,Orange County,2,14U Boys:1; 16U Boys:1,BOA,16U Boys,40,assets/logos/canonical/boa.webp,,official_logo_needed,,,,,
brea-olinda,Brea Olinda,Brea Olinda,Orange County,1,16U Boys:1,Brea Olinda,16U Boys,64,assets/logos/canonical/brea-olinda.webp,,official_logo_needed,,,,,
brea-olinda-gold,Brea Olinda Gold,Brea Olinda Gold,Orange County,1,14U Boys:1,Brea Olinda Gold,14U Boys,81,assets/logos/canonical/brea-olinda-gold.webp,,official_logo_needed,,,,,
cdm,CDM,CDM,Orange County,7,12U Boys:2; 14U Boys:1; 14U Girls:1; 16U Boys:1; 16U Girls:1; 18U Girls:1,CDM,18U Girls,6,assets/logos/canonical/cdm.webp,,no_automated_issue,,,,,
cmac,CMAC; Cmac,Cmac,Orange County,3,12U Boys:1; 12U Girls:1; 16U Boys:1,CMAC,12U Girls,36,assets/logos/canonical/cmac.webp,,multiple_club_names_for_slug|official_logo_needed,,,,,
foothill,Foothill,Foothill,Orange County,5,12U Girls:1; 16U Boys:1; 16U Girls:1; 18U Boys:1; 18U Girls:1,Foothill,18U Girls,10,assets/logos/canonical/foothill.webp,,no_automated_issue,,,,,
foothill-club,Foothill Club,Foothill Club Water Polo,Orange County,5,12U Boys:2; 14U Boys:1; 14U Girls:2,Foothill Red,14U Girls,23,assets/logos/canonical/foothill-club.webp,https://foothillclubwaterpolo.org/,no_automated_issue,,,,,
hieland,Hieland,Hieland,Orange County,3,14U Boys:1; 16U Boys:1; 18U Boys:1,Hieland,18U Boys,25,assets/logos/canonical/hieland.webp,,official_logo_needed,,,,,
laguna-beach,Laguna Beach,Laguna Beach,Orange County,3,12U Boys:1; 12U Girls:1; 14U Girls:1,Laguna Beach,14U Girls,17,assets/logos/canonical/laguna-beach.webp,,no_automated_issue,,,,,
los-alamitos,Los Alamitos,Los Alamitos,Orange County,6,12U Boys:2; 12U Girls:1; 14U Boys:1; 14U Girls:2,Los Alamitos,12U Boys,17,assets/logos/canonical/los-alamitos.webp,,no_automated_issue,,,,,
mission,Mission,Mission WPC,Orange County,8,12U Boys:2; 14U Boys:2; 16U Boys:1; 16U Girls:1; 18U Boys:1; 18U Girls:1,Mission A,12U Boys,1,assets/logos/canonical/mission.webp,https://missionwpc.com/home,no_automated_issue,,,,,
newport-beach,Newport Beach,Newport Beach Water Polo,Orange County,12,12U Boys:2; 12U Girls:2; 14U Boys:2; 14U Girls:2; 16U Boys:1; 16U Girls:1; 18U Boys:1; 18U Girls:1,Newport Beach A,12U Girls,1,assets/logos/canonical/newport-beach.webp,https://www.newportbeachwaterpolo.com/,no_automated_issue,,,,,
ngen,Ngen,Ngen,Orange County,1,12U Boys:1,NGen,12U Boys,85,assets/logos/canonical/ngen.webp,,official_logo_needed,,,,,
north-irvine,North Irvine,North Irvine WPC,Orange County,8,12U Boys:2; 12U Girls:1; 14U Boys:2; 14U Girls:1; 18U Boys:1; 18U Girls:1,North Irvine,18U Boys,5,assets/logos/canonical/north-irvine.webp,https://www.gomotionapp.com/team/niwpc/page/home,no_automated_issue,,,,,
ocwpc,OCWPC,Orange County Water Polo Club,Orange County,5,12U Boys:1; 12U Girls:1; 14U Boys:2; 16U Boys:1,OCWPC Blue,12U Girls,16,assets/logos/canonical/ocwpc.webp,https://ocwpc.com/,no_automated_issue,,,,,
pac-orange,PAC Orange,PAC Orange,Orange County,2,14U Girls:1; 18U Boys:1,PAC Orange,18U Boys,29,assets/logos/canonical/pac-orange.webp,,official_logo_needed,,,,,
pac-premier,PAC Premier,PAC Premier,Orange County,1,14U Girls:1,PAC Premier,14U Girls,38,assets/logos/canonical/pac-premier.webp,,official_logo_needed,,,,,
patriot,Patriot,Patriot Aquatics,Orange County,9,12U Boys:1; 14U Boys:2; 14U Girls:2; 16U Boys:2; 16U Girls:1; 18U Girls:1,Patriot Navy,14U Girls,1,assets/logos/canonical/patriot.webp,https://patriotaquatics.org/,no_automated_issue,,,,,
patriot-red,Patriot Red,Patriot Aquatics,Orange County,1,14U Boys:1,Patriot Red,14U Boys,78,assets/logos/canonical/patriot-red.webp,https://patriotaquatics.org/,no_automated_issue,,,,,
regency,Regency,Regency,Orange County,2,16U Girls:1; 18U Girls:1,Regency,18U Girls,3,assets/logos/canonical/regency.webp,,no_automated_issue,,,,,
san-clemente,San Clemente,San Clemente,Orange County,10,12U Boys:2; 12U Girls:2; 14U Boys:1; 14U Girls:2; 16U Boys:1; 16U Girls:1; 18U Girls:1,San Clemente Red,12U Girls,4,assets/logos/canonical/san-clemente.webp,,no_automated_issue,,,,,
san-clemente-red,San Clemente Red,San Clemente Red,Orange County,1,14U Boys:1,San Clemente Red,14U Boys,70,assets/logos/canonical/san-clemente-red.webp,,no_automated_issue,,,,,
sand-canyon,Sand Canyon,Sand Canyon,Orange County,7,14U Boys:1; 16U Boys:2; 18U Boys:3; 18U Girls:1,Sand Canyon Black,18U Boys,15,assets/logos/canonical/sand-canyon.webp,,no_automated_issue,,,,,
set,SET; Set,SET Water Polo Club,Orange County,4,12U Boys:1; 14U Boys:1; 14U Girls:1; 18U Boys:1,SET,18U Boys,24,assets/logos/canonical/set.webp,https://www.setwaterpolo.com/,multiple_club_names_for_slug,,,,,
socal,SOCAL; SoCal,SOCAL Water Polo,Orange County,8,12U Boys:1; 14U Boys:1; 14U Girls:1; 16U Boys:1; 16U Girls:1; 18U Boys:1; 18U Girls:2,SoCal,18U Girls,4,assets/logos/canonical/socal.webp,https://www.socalwaterpolo.org/,multiple_club_names_for_slug,,,,,
south-coast,South Coast,South Coast Aquatics,Orange County,14,12U Boys:1; 12U Girls:1; 14U Boys:3; 14U Girls:2; 16U Boys:3; 16U Girls:2; 18U Boys:1; 18U Girls:1,South Coast,16U Girls,3,assets/logos/canonical/south-coast.webp,https://www.southcoastaquatics.com/,no_automated_issue,,,,,
vanguard,Vanguard,Vanguard Aquatics,Orange County,10,12U Boys:1; 14U Boys:3; 16U Boys:4; 18U Boys:2,Vanguard,16U Boys,3,assets/logos/canonical/vanguard.webp,https://vanguardaquatics.com/,no_automated_issue,,,,,
asphalt-green,Asphalt Green,Asphalt Green,Out of State,4,14U Girls:1; 16U Boys:1; 16U Girls:1; 18U Girls:1,Asphalt Green,16U Girls,29,assets/logos/canonical/asphalt-green.webp,,official_logo_needed,,,,,
ct-premier,CT Premier,CT Premier,Out of State,2,14U Boys:1; 16U Boys:1,CT Premier,16U Boys,39,assets/logos/canonical/ct-premier.webp,,official_logo_needed,,,,,
greenwich,Greenwich,Greenwich,Out of State,5,12U Boys:2; 14U Girls:1; 16U Boys:1; 18U Boys:1,Greenwich,12U Boys,4,assets/logos/canonical/greenwich.webp,,no_automated_issue,,,,,
honolulu-blue,Honolulu Blue,Honolulu Blue,Out of State,1,14U Boys:1,Honolulu Blue,14U Boys,100,assets/logos/canonical/honolulu-blue.webp,,official_logo_needed,,,,,
honolulu-green,Honolulu Green,Honolulu Green,Out of State,1,14U Boys:1,Honolulu Green A,14U Boys,98,assets/logos/canonical/honolulu-green.webp,,official_logo_needed,,,,,
honolulu-water-polo,Honolulu Water Polo,Honolulu Water Polo,Out of State,1,14U Girls:1,Honolulu Water Polo,14U Girls,55,assets/logos/canonical/honolulu-water-polo.webp,,official_logo_needed,,,,,
innis-arden,Innis Arden,Innis Arden,Out of State,1,14U Girls:1,Innis Arden,14U Girls,56,assets/logos/canonical/innis-arden.webp,,official_logo_needed,,,,,
lowpo,LOWPO,LOWPO,Out of State,1,14U Girls:1,LOWPO,14U Girls,60,assets/logos/canonical/lowpo.webp,,official_logo_needed,,,,,
northwest,Northwest,Northwest,Out of State,2,14U Boys:1; 14U Girls:1,Northwest A,14U Boys,46,assets/logos/canonical/northwest.webp,,official_logo_needed,,,,,
olympus,Olympus,Olympus,Out of State,1,18U Boys:1,Olympus,18U Boys,35,assets/logos/canonical/olympus.webp,,no_automated_issue,,,,,
thunder,Thunder,Thunder,Out of State,3,14U Girls:1; 16U Boys:1; 18U Girls:1,Thunder,16U Boys,23,assets/logos/canonical/thunder.webp,,official_logo_needed,,,,,
vegas-renegades,Vegas Renegades,Vegas Renegades,Out of State,1,14U Boys:1,Vegas Renegades A,14U Boys,40,assets/logos/canonical/vegas-renegades.webp,,no_automated_issue,,,,,
wcac-united,Wcac United,Wcac United,Out of State,1,16U Boys:1,Wcac United,16U Boys,73,assets/logos/canonical/wcac-united.webp,,official_logo_needed,,,,,
burlingame,Burlingame,Burlingame,Peninsula / San Francisco,1,14U Boys:1,Burlingame A,14U Boys,94,assets/logos/canonical/burlingame.webp,,official_logo_needed,,,,,
farallon,Farallon,Farallon,Peninsula / San Francisco,1,12U Boys:1,Farallon,12U Boys,51,assets/logos/canonical/farallon.webp,,official_logo_needed,,,,,
mavericks,Mavericks,Mavericks,Peninsula / San Francisco,1,14U Girls:1,Mavericks,14U Girls,37,assets/logos/canonical/mavericks.webp,,official_logo_needed,,,,,
mid-pen,Mid Pen,Mid Pen,Peninsula / San Francisco,1,16U Boys:1,Mid Pen,16U Boys,60,assets/logos/canonical/mid-pen.webp,,official_logo_needed,,,,,
midpen,Midpen,Midpen,Peninsula / San Francisco,1,14U Boys:1,Midpen A,14U Boys,102,assets/logos/canonical/midpen.webp,,official_logo_needed,,,,,
norcal,NorCal,NorCal Aquatics,Peninsula / San Francisco,6,12U Boys:1; 14U Boys:3; 14U Girls:1; 18U Boys:1,NorCal A,14U Boys,1,assets/logos/canonical/norcal.webp,https://www.norcal-aquatics.com/,no_automated_issue,,,,,
pegasus,Pegasus,Pegasus,Peninsula / San Francisco,1,14U Boys:1,Pegasus A,14U Boys,37,assets/logos/canonical/pegasus.webp,,official_logo_needed,,,,,
san-francisco,San Francisco,San Francisco,Peninsula / San Francisco,2,14U Boys:1; 18U Boys:1,San Francisco,18U Boys,27,assets/logos/canonical/san-francisco.webp,,official_logo_needed,,,,,
san-jose-express,San Jose Express,San Jose Express,Peninsula / San Francisco,1,14U Girls:1,San Jose Express,14U Girls,33,assets/logos/canonical/san-jose-express.webp,,no_automated_issue,,,,,
san-jose-wpf,San Jose Wpf,San Jose Wpf,Peninsula / San Francisco,1,12U Boys:1,San Jose Wpf,12U Boys,38,assets/logos/canonical/san-jose-wpf.webp,,official_logo_needed,,,,,
san-mateo,San Mateo,San Mateo,Peninsula / San Francisco,1,12U Boys:1,San Mateo,12U Boys,30,assets/logos/canonical/san-mateo.webp,,official_logo_needed,,,,,
shaq,SHAQ,SHAQ,Peninsula / San Francisco,7,12U Boys:2; 12U Girls:1; 14U Boys:2; 14U Girls:1; 16U Boys:1,SHAQ,12U Girls,17,assets/logos/canonical/shaq.webp,,no_automated_issue,,,,,
sharks,Sharks,Sharks,Peninsula / San Francisco,3,12U Boys:1; 14U Boys:1; 14U Girls:1,Sharks,12U Boys,41,assets/logos/canonical/sharks.webp,,official_logo_needed,,,,,
sj-express,SJ Express; San Jose Express,SJ Express,Peninsula / San Francisco,5,12U Boys:1; 14U Boys:1; 16U Boys:2; 18U Boys:1,San Jose Express Blue,12U Boys,8,assets/logos/canonical/sj-express.webp,,multiple_club_names_for_slug,,,,,
sj-foundation,SJ Foundation; Sj Foundation,SJ Foundation,Peninsula / San Francisco,4,12U Boys:1; 14U Boys:2; 16U Boys:1,San Jose Foundation Black,12U Boys,34,assets/logos/canonical/sj-foundation.webp,,multiple_club_names_for_slug|official_logo_needed,,,,,
stanford,Stanford,Stanford Water Polo Club,Peninsula / San Francisco,14,12U Boys:2; 12U Girls:2; 14U Boys:3; 14U Girls:2; 16U Boys:2; 16U Girls:1; 18U Boys:1; 18U Girls:1,Stanford Red,12U Boys,2,assets/logos/canonical/stanford.webp,https://www.stanfordwaterpoloclub.com/,no_automated_issue,,,,,
american-river,American River,American River Water Polo Club,Sacramento,4,14U Boys:2; 14U Girls:1; 18U Boys:1,American River,18U Boys,36,assets/logos/canonical/american-river.webp,https://www.arwpc.com/,no_automated_issue,,,,,
cal-rep,Cal Rep,Cal Rep,Sacramento,1,16U Boys:1,Cal Republic,16U Boys,65,assets/logos/canonical/cal-rep.webp,,official_logo_needed,,,,,
davis,Davis,Davis Water Polo Club,Sacramento,5,12U Boys:1; 12U Girls:1; 14U Boys:1; 14U Girls:1; 18U Girls:1,Davis,12U Girls,19,assets/logos/canonical/davis.webp,https://www.daviswaterpolo.org/,no_automated_issue,,,,,
carlsbad,Carlsbad,Carlsbad,San Diego,2,12U Boys:1; 16U Boys:1,Carlsbad,16U Boys,16,assets/logos/canonical/carlsbad.webp,,no_automated_issue,,,,,
club-daygo,Club Daygo,Club Daygo,San Diego,1,16U Girls:1,Club Daygo,16U Girls,15,assets/logos/canonical/club-daygo.webp,,official_logo_needed,,,,,
cv-premier,CV Premier,CV Premier,San Diego,1,14U Girls:1,CV Premier,14U Girls,74,assets/logos/canonical/cv-premier.webp,,official_logo_needed,,,,,
del-mar,Del Mar,Del Mar,San Diego,2,12U Girls:1; 14U Girls:1,Del Mar Blue,12U Girls,2,assets/logos/canonical/del-mar.webp,,no_automated_issue,,,,,
la-jolla-united,LA Jolla United; La Jolla United,La Jolla United,San Diego,13,12U Boys:4; 12U Girls:1; 14U Boys:2; 14U Girls:1; 16U Boys:4; 18U Boys:1,La Jolla United A,14U Boys,3,assets/logos/canonical/la-jolla-united.webp,https://lajollaunited.com/,multiple_club_names_for_slug,,,,,
nado,Nado,Nado,San Diego,1,14U Boys:1,Nado A,14U Boys,86,assets/logos/canonical/nado.webp,,official_logo_needed,,,,,
