club_slug,display_name,region,ranked_teams,best_rank,average_cpi,website,logo,review_status,notes
greenwich,Greenwich,Out of State,4,3,1822.3,,assets/logos/canonical/greenwich.webp,reviewed_by_user_csv,
honolulu-blue,Honolulu Blue,Out of State,1,100,1464.9,,assets/logos/canonical/honolulu-blue.webp,reviewed_by_user_csv,
honolulu-green,Honolulu Green,Out of State,1,98,1472.9,,assets/logos/canonical/honolulu-green.webp,reviewed_by_user_csv,
honolulu-water-polo,Honolulu Water Polo,Out of State,1,55,1672.5,,assets/logos/canonical/honolulu-water-polo.webp,reviewed_by_user_csv,
innis-arden,Innis Arden,Out of State,1,56,1642.5,,assets/logos/canonical/innis-arden.webp,reviewed_by_user_csv,
lowpo,LOWPO,Out of State,1,60,1590.2,,assets/logos/canonical/lowpo.webp,reviewed_by_user_csv,
northwest,Northwest,Out of State,2,46,1594.2,,assets/logos/canonical/northwest.webp,reviewed_by_user_csv,
thunder,Thunder,Out of State,3,21,1673.6,,assets/logos/canonical/thunder.webp,reviewed_by_user_csv,
vegas-renegades,Vegas Renegades,Out of State,1,40,1740.4,,assets/logos/canonical/vegas-renegades.webp,reviewed_by_user_csv,
wcac-united,Wcac United,Out of State,1,72,1480.2,,assets/logos/canonical/wcac-united.webp,reviewed_by_user_csv,
burlingame,Burlingame,Peninsula / San Francisco,1,94,1476.4,,assets/logos/canonical/burlingame.webp,reviewed_by_user_csv,
farallon,Farallon,Peninsula / San Francisco,1,51,1613.0,,assets/logos/canonical/farallon.webp,reviewed_by_user_csv,
mavericks,Mavericks,Peninsula / San Francisco,1,37,1853.5,,assets/logos/canonical/mavericks.webp,reviewed_by_user_csv,
mid-pen,Mid Pen,Peninsula / San Francisco,1,59,1552.5,,assets/logos/canonical/mid-pen.webp,reviewed_by_user_csv,
midpen,Midpen,Peninsula / San Francisco,1,102,1461.7,,assets/logos/canonical/midpen.webp,reviewed_by_user_csv,
norcal,NorCal Aquatics,Peninsula / San Francisco,6,2,1720.5,https://www.norcal-aquatics.com/,assets/logos/canonical/norcal.webp,reviewed_by_user_csv,
pegasus,Pegasus,Peninsula / San Francisco,1,37,1775.4,,assets/logos/canonical/pegasus.webp,reviewed_by_user_csv,
shaq,SHAQ,Peninsula / San Francisco,7,17,1598.7,,assets/logos/canonical/shaq.webp,reviewed_by_user_csv,
sj-express,SJ Express,Peninsula / San Francisco,5,7,1604.4,,assets/logos/canonical/sj-express.webp,reviewed_by_user_csv,
sj-foundation,SJ Foundation,Peninsula / San Francisco,4,34,1583.6,,assets/logos/canonical/sj-foundation.webp,reviewed_by_user_csv,
san-francisco,San Francisco,Peninsula / San Francisco,2,26,1622.7,,assets/logos/canonical/san-francisco.webp,reviewed_by_user_csv,
san-jose-express,San Jose Express,Peninsula / San Francisco,1,33,1884.1,,assets/logos/canonical/san-jose-express.webp,reviewed_by_user_csv,
san-jose-wpf,San Jose Wpf,Peninsula / San Francisco,1,38,1638.3,,assets/logos/canonical/san-jose-wpf.webp,reviewed_by_user_csv,
san-mateo,San Mateo,Peninsula / San Francisco,1,30,1670.9,,assets/logos/canonical/san-mateo.webp,reviewed_by_user_csv,
sharks,Sharks,Peninsula / San Francisco,3,41,1667.4,,assets/logos/canonical/sharks.webp,reviewed_by_user_csv,
stanford,Stanford Water Polo Club,Peninsula / San Francisco,14,2,1787.9,https://www.stanfordwaterpoloclub.com/,assets/logos/canonical/stanford.webp,reviewed_by_user_csv,
american-river,American River Water Polo Club,Sacramento,4,32,1613.5,https://www.arwpc.com/,assets/logos/canonical/american-river.webp,reviewed_by_user_csv,
cal-rep,Cal Rep,Sacramento,1,64,1512.1,,assets/logos/canonical/cal-rep.webp,reviewed_by_user_csv,
davis,Davis Water Polo Club,Sacramento,5,17,1758.4,https://www.daviswaterpolo.org/,assets/logos/canonical/davis.webp,reviewed_by_user_csv,
cv-premier,CV Premier,San Diego,1,74,1411.6,,assets/logos/canonical/cv-premier.webp,reviewed_by_user_csv,
carlsbad,Carlsbad,San Diego,2,15,1754.7,,assets/logos/canonical/carlsbad.webp,reviewed_by_user_csv,
club-daygo,Club Daygo,San Diego,1,15,1735.9,,assets/logos/canonical/club-daygo.webp,reviewed_by_user_csv,
del-mar,Del Mar,San Diego,2,2,1969.3,,assets/logos/canonical/del-mar.webp,reviewed_by_user_csv,
la-jolla-united,La Jolla United,San Diego,12,1,1624.0,https://lajollaunited.com/,assets/logos/canonical/la-jolla-united.webp,reviewed_by_user_csv,
nado,Nado,San Diego,1,86,1500.1,,assets/logos/canonical/nado.webp,reviewed_by_user_csv,
nsd-stars,Nsd Stars,San Diego,1,23,1690.2,,assets/logos/canonical/nsd-stars.webp,reviewed_by_user_csv,
poway-valley,Poway Valley,San Diego,1,79,1493.0,,assets/logos/canonical/poway-valley.webp,reviewed_by_user_csv,
poway-valley-black,Poway Valley Black,San Diego,1,63,1579.3,,assets/logos/canonical/poway-valley-black.webp,reviewed_by_user_csv,
rogue-619,Rogue 619,San Diego,1,31,1899.4,,assets/logos/canonical/rogue-619.webp,reviewed_by_user_csv,
sd-eca,SD ECA,San Diego,4,39,1630.3,,assets/logos/canonical/sd-eca.webp,reviewed_by_user_csv,
sd-dons,San Diego Dons,San Diego,8,4,1744.9,https://sddonspolo.com/,assets/logos/canonical/sd-dons.webp,reviewed_by_user_csv,
sd-shores,San Diego Shores,San Diego,4,5,1845.2,,assets/logos/canonical/sd-shores.webp,reviewed_by_user_csv,
san-diego-shores,San Diego Shores,San Diego,5,7,1828.9,,assets/logos/canonical/san-diego-shores.webp,reviewed_by_user_csv,
trilogy,Trilogy,San Diego,4,43,1535.7,,assets/logos/canonical/trilogy.webp,reviewed_by_user_csv,
