Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,EL TORO HS 2,37,2nd A-,,3rd B-,,pt_U3,au_N1,10B-037
7/23/2026,6:40 PM,2-3 cross,EL TORO HS 2,40,2nd B-,,3rd A-,,pt_T3,au_M1,10B-040
7/23/2026,7:30 PM,2-3 cross,EL TORO HS 2,43,2nd C-,,3rd D-,,pt_S3,au_O1,10B-043
7/23/2026,8:20 PM,2-3 cross,EL TORO HS 2,46,2nd D-,,3rd C-,,pt_R3,au_N4,10B-046
,,,,,,,,,,,
,,,EL TORO HS 3,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group H,EL TORO HS 3,2,H1(8)-908 YELLOW,,H3(32)-680 WHITE,,,,10B-002
7/23/2026,7:50 AM,Group G,EL TORO HS 3,5,G1(7)-SAN CLEMENTE RED,,G3(31)-STANFORD BLACK,,,,10B-005
7/23/2026,8:40 AM,Group F,EL TORO HS 3,8,F1(6)-CDM BLUE,,F3(30)-CDM WHITE,,,,10B-008
7/23/2026,9:30 AM,Group E,EL TORO HS 3,11,E1(5)-GREENWICH BLUE,,E3(29)-SHAQ,,,,10B-011
7/23/2026,10:20 AM,Group H,EL TORO HS 3,14,H2(17)-STANFORD RED,,H3(32)-680 WHITE,,,,10B-014
7/23/2026,11:10 AM,Group G,EL TORO HS 3,17,G2(18)-ORWP,,G3(31)-STANFORD BLACK,,,,10B-017
7/23/2026,12:00 PM,Group F,EL TORO HS 3,20,F2(19)-LB SHORE,,F3(30)-CDM WHITE,,,,10B-020
7/23/2026,12:50 PM,Group E,EL TORO HS 3,23,E2(20)-LAMORINDA BLUE,,E3(29)-SHAQ,,,,10B-023
7/23/2026,1:40 PM,Group H,EL TORO HS 3,26,H1(8)-908 YELLOW,,H2(17)-STANFORD RED,,,,10B-026
7/23/2026,2:30 PM,Group G,EL TORO HS 3,29,G1(7)-SAN CLEMENTE RED,,G2(18)-ORWP,,,,10B-029
7/23/2026,3:20 PM,Group F,EL TORO HS 3,32,F1(6)-CDM BLUE,,F2(19)-LB SHORE,,,,10B-032
7/23/2026,4:10 PM,Group E,EL TORO HS 3,35,E1(5)-GREENWICH BLUE,,E2(20)-LAMORINDA BLUE,,,,10B-035
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,EL TORO HS 3,38,2nd H-,,3rd G-,,pt_U2,au_N2,10B-038
7/23/2026,6:40 PM,2-3 cross,EL TORO HS 3,41,2nd G-,,3rd H-,,pt_T2,au_M2,10B-041
7/23/2026,7:30 PM,2-3 cross,EL TORO HS 3,44,2nd F-,,3rd E-,,pt_S2,au_O2,10B-044
7/23/2026,8:20 PM,2-3 cross,EL TORO HS 3,47,2nd E-,,3rd F-,,pt_R2,au_O4,10B-047
,,,,,,,,,,,
,,,EL TORO HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group I,EL TORO HS 1,3,I1(9)-LA JOLLA UNITED,,I3(33)-LAMORINDA GOLD,,,,10B-003
7/23/2026,7:50 AM,Group J,EL TORO HS 1,6,J1(10)-SOCAL BLACK,,J3(34)-LAMORINDA WHITE,,,,10B-006
7/23/2026,8:40 AM,Group L,EL TORO HS 1,12,L1(12)-ELITE,,L3(35)-NORTHWEST,,,,10B-012
7/23/2026,9:30 AM,Group I,EL TORO HS 1,15,I2(16)-CC UNITED BLACK,,I3(33)-LAMORINDA GOLD,,,,10B-015
7/23/2026,10:20 AM,Group J,EL TORO HS 1,18,J2(15)-CAL REPUBLIC,,J3(34)-LAMORINDA WHITE,,,,10B-018
7/23/2026,11:10 AM,Group K,EL TORO HS 1,21,K1(11)-680 RED,,K2(14)-TEMPLE CITY BLACK,,pt_O3,45,10B-021
7/23/2026,12:00 PM,Group L,EL TORO HS 1,24,L2(13)-TEMPLE CITY YELLOW,,L3(35)-NORTHWEST,,,,10B-024
7/23/2026,12:50 PM,Group I,EL TORO HS 1,27,I1(9)-LA JOLLA UNITED,,I2(16)-CC UNITED BLACK,,,,10B-027
7/23/2026,1:40 PM,Group J,EL TORO HS 1,30,J1(10)-SOCAL BLACK,,J2(15)-CAL REPUBLIC,,,,10B-030
7/23/2026,2:30 PM,Group L,EL TORO HS 1,36,L1(12)-ELITE,,L2(13)-TEMPLE CITY YELLOW,,,,10B-036
,,,,,,,,,,,
,,,,,,,,,,,
7/23/2026,5:00 PM,2-3 cross,EL TORO HS 1,39,2nd I-,,3rd J-,,pt_U1,au_N3,10B-039
7/23/2026,5:50 PM,2-3 cross,EL TORO HS 1,42,2nd J-,,3rd I-,,pt_T1,au_M3,10B-042
7/23/2026,6:40 PM,2-3 cross,EL TORO HS 1,45,2nd K-,,3rd L-,,pt_S1,au_O3,10B-045
,,,,,,,,,,,
Day 2,,,,,,,,,,,
7/24/2026,,,,,,,,,,,
,Platinum,,,,,,,,,,
,pt_M,pt_N,pt_O,pt_P,,,,,,,
1,1st A-,1st B-,1st C-,1st D-,,,,,,,
2,1st H-,1st G-,1st F-,1st E-,,,,,,,
3,1st I-,1st J-,1st K-,1st L-,,,,,,,
,,,,,,,,,,,
,pt_R,pt_S,pt_T,pt_U,,,,,,,
1,2nd L-,W45,W42,W39,,,,,,,
2,W47,W44,W41,W38,,,,,,,
3,W46,W43,W40,W37,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,EL TORO HS 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,EL TORO HS 2,49,pt_O2-,,pt_O3-,,,,10B-049
7/24/2026,7:50 AM,Group,EL TORO HS 2,51,pt_U1,,pt_U2,,,,10B-051
7/24/2026,8:40 AM,Group,EL TORO HS 2,54,pt_M2-,,pt_M3-,,,,10B-054
7/24/2026,9:30 AM,Group,EL TORO HS 2,57,pt_S1,,pt_S2,,,,10B-057
7/24/2026,10:20 AM,Group,EL TORO HS 2,60,pt_O1-,,pt_O3-,,,,10B-060
7/24/2026,11:10 AM,Group,EL TORO HS 2,63,pt_U1,,pt_U3,,,,10B-063
7/24/2026,12:00 PM,Group,EL TORO HS 2,66,pt_M1-,,pt_M3-,,,,10B-066
7/24/2026,12:50 PM,Group,EL TORO HS 2,69,pt_S1,,pt_S3,,,,10B-069
7/24/2026,1:40 PM,Group,EL TORO HS 2,72,pt_O1-,,pt_O2-,,,,10B-072
7/24/2026,2:30 PM,Group,EL TORO HS 2,75,pt_U2,,pt_U3,,,,10B-075
7/24/2026,3:20 PM,Group,EL TORO HS 2,78,pt_M1-,,pt_M2-,,,,10B-078
7/24/2026,4:10 PM,Group,EL TORO HS 2,81,pt_S2,,pt_S3,,,,10B-081
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,EL TORO HS 2,85,3rd pt_O-,,1st pt_U-,,89,105,10B-085
7/24/2026,7:30 PM,Play-in,EL TORO HS 2,87,3rd pt_M-,,1st pt_S-,,98,102,10B-087
,,,,,,,,,,,
,,,EL TORO HS 3,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,EL TORO HS 3,50,pt_P2-,,pt_P3-,,,,10B-050
7/24/2026,7:50 AM,Group,EL TORO HS 3,52,pt_T1,,pt_T2,,,,10B-052
7/24/2026,8:40 AM,Group,EL TORO HS 3,55,pt_N2-,,pt_N3-,,,,10B-055
7/24/2026,9:30 AM,Group,EL TORO HS 3,58,pt_R1-,,pt_R2,,,,10B-058
7/24/2026,10:20 AM,Group,EL TORO HS 3,61,pt_P1-,,pt_P3-,,,,10B-061
7/24/2026,11:10 AM,Group,EL TORO HS 3,64,pt_T1,,pt_T3,,,,10B-064
7/24/2026,12:00 PM,Group,EL TORO HS 3,67,pt_N1-,,pt_N3-,,,,10B-067
7/24/2026,12:50 PM,Group,EL TORO HS 3,70,pt_R1-,,pt_R3,,,,10B-070
7/24/2026,1:40 PM,Group,EL TORO HS 3,73,pt_P1-,,pt_P2-,,,,10B-073
7/24/2026,2:30 PM,Group,EL TORO HS 3,76,pt_T2,,pt_T3,,,,10B-076
7/24/2026,3:20 PM,Group,EL TORO HS 3,79,pt_N1-,,pt_N2-,,,,10B-079
7/24/2026,4:10 PM,Group,EL TORO HS 3,82,pt_R2,,pt_R3,,,,10B-082
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,EL TORO HS 3,86,3rd pt_P-,,1st pt_T-,,95,99,10B-086
7/24/2026,7:30 PM,Play-in,EL TORO HS 3,88,3rd pt_N-,,1st pt_R-,,92,96,10B-088
,,,,,,,,,,,
,,,,,,,,,,,
NEW bz for 35 teams,au_M,au_N,au_O,,,,,,,,
,L40,L37,L43,,,,,,,,
,L41,L38,L44,,,,,,,,
,L42,L39,L45,,,,,,,,
,,L46,L47,,,,,,,,
,,,,,,,,,,pt_,
,,,,,,,,,,au_,
,,,EL TORO HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,8:40 AM,Group,EL TORO HS 1,53,au_M2,,au_M3,,RR,RR,10B-053
7/24/2026,9:30 AM,W/L,EL TORO HS 1,56,au_N1,,au_N4,,71,74,10B-056
7/24/2026,10:20 AM,W/L,EL TORO HS 1,59,au_N2,,au_N3,,71,74,10B-059
7/24/2026,11:10 AM,W/L,EL TORO HS 1,62,au_O2,,au_O3,,77,80,10B-062
7/24/2026,12:00 PM,W/L,EL TORO HS 1,65,au_O1,,au_O4,,77,80,10B-065
7/24/2026,12:50 PM,Group,EL TORO HS 1,68,au_M1,,au_M3,,RR,RR,10B-068
7/24/2026,1:40 PM,W/L,EL TORO HS 1,71,W56,,W59,,100,84,10B-071
7/24/2026,2:30 PM,W/L,EL TORO HS 1,74,L56,,L59,,94,91,10B-074
7/24/2026,3:20 PM,W/L,EL TORO HS 1,77,W62,,W65,,100,84,10B-077
7/24/2026,4:10 PM,W/L,EL TORO HS 1,80,L62,,L65,,94,97,10B-080
7/24/2026,5:00 PM,Group,EL TORO HS 1,83,au_M1,,au_M2,,RR,RR,10B-083
7/24/2026,5:50 PM,W/L,EL TORO HS 1,84,L71,,L77,,106,103,10B-084
,,,,,,,,,,,
Day 3,,,,,,,,,,,
7/25/2026,,,,,,,,,,,
,,,EL TORO HS 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,EL TORO HS 2,89,2nd pt_P-,,W85,,107,113,10B-089
7/25/2026,8:50 AM,5-8 v 9-12,EL TORO HS 2,92,2nd pt_M-,,W88,,107,113,10B-092
7/25/2026,9:40 AM,5-8 v 9-12,EL TORO HS 2,95,2nd pt_O-,,W86,,110,116,10B-095
7/25/2026,10:30 AM,5-8 v 9-12,EL TORO HS 2,98,2nd pt_N-,,W87,,110,116,10B-098
7/25/2026,11:20 AM,1-2 v 3-4,EL TORO HS 2,101,1st pt_N-,,1st pt_O-,,132,119,10B-101
7/25/2026,12:10 PM,1-2 v 3-4,EL TORO HS 2,104,1st pt_M-,,1st pt_P-,,131,122,10B-104
7/25/2026,1:00 PM,5-6 v 7-8,EL TORO HS 2,107,W89,,W92,,119,140,10B-107
7/25/2026,1:50 PM,5-6 v 7-8,EL TORO HS 2,110,W95,,W98,,122,140,10B-110
7/25/2026,2:40 PM,9-12 semi,EL TORO HS 2,113,L92,,L89,,138,137,10B-113
7/25/2026,3:30 PM,9-12 semi,EL TORO HS 2,116,L98,,L95,,138,137,10B-116
7/25/2026,4:20 PM,Play-in,EL TORO HS 2,119,L101,,W107,,131,141,10B-119
7/25/2026,5:10 PM,Play-in,EL TORO HS 2,122,L104,,W110,,132,141,10B-122
,,,,,,,,,,,
,,,EL TORO HS 3,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,EL TORO HS 3,90,3rd pt_T-,,3rd pt_S-,,,,10B-090
7/25/2026,8:50 AM,21-24 RR,EL TORO HS 3,93,3rd pt_U-,,3rd pt_R-,,,,10B-093
7/25/2026,9:40 AM,13-20 qtr,EL TORO HS 3,96,L88,,2nd pt_U-,,114,117,10B-096
7/25/2026,10:30 AM,13-20 qtr,EL TORO HS 3,99,L86,,2nd pt_S-,,114,117,10B-099
7/25/2026,11:20 AM,13-20 qtr,EL TORO HS 3,102,L87,,2nd pt_T-,,120,123,10B-102
7/25/2026,12:10 PM,13-20 qtr,EL TORO HS 3,105,L85,,2nd pt_R-,,120,123,10B-105
7/25/2026,1:00 PM,21-24 RR,EL TORO HS 3,108,3rd pt_U-,,3rd pt_S-,,,,10B-108
7/25/2026,1:50 PM,21-24 RR,EL TORO HS 3,111,3rd pt_T-,,3rd pt_R-,,,,10B-111
7/25/2026,2:40 PM,13-16 semi,EL TORO HS 3,114,W96,,W99,,135,134,10B-114
7/25/2026,3:30 PM,17-20 semi,EL TORO HS 3,117,L99,,L96,,129,128,10B-117
7/25/2026,4:20 PM,13-16 semi,EL TORO HS 3,120,W102,,W105,,135,134,10B-120
7/25/2026,5:10 PM,17-20 semi,EL TORO HS 3,123,L105,,L102,,129,128,10B-123
,,,,,,,,,,,
,,,EL TORO HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,RR9-11,EL TORO HS 1,91,2nd au_M-,,L74,,103,RR9-11,10B-091
7/25/2026,8:50 AM,RR9-11,EL TORO HS 1,94,W74,,W80,,109,RR9-11,10B-094
7/25/2026,9:40 AM,RR9-11,EL TORO HS 1,97,L80,,3rd au_M-,,109,RR9-11,10B-097
7/25/2026,10:30 AM,1-2 v 3-4,EL TORO HS 1,100,W71,,W77,,127,115,10B-100
7/25/2026,11:20 AM,5-6 v 7-8,EL TORO HS 1,103,L84,,W91,,115,140,10B-103
7/25/2026,12:10 PM,1-2 v 3-4,EL TORO HS 1,106,1st au_M-,,W84,,124,118,10B-106
7/25/2026,1:00 PM,5-6 v 7-8,EL TORO HS 1,109,W94,,W97,,118,140,10B-109
7/25/2026,1:50 PM,9-11 RR,EL TORO HS 1,112,L91,,L94,,RR,RR,10B-112
7/25/2026,2:40 PM,qtr final,EL TORO HS 1,115,L100,,W103,,124,139,10B-115
7/25/2026,3:30 PM,qtr final,EL TORO HS 1,118,L106,,W109,,127,139,10B-118
,,,,,,,,,,,
Day 4,,,,,,,,,,,
7/26/2026,,,,,,,,,,,
,,,EL TORO HS 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,8:00 AM,semi,EL TORO HS 2,124,W106,,W115,,133,130,10B-124
7/26/2026,9:00 AM,semi,EL TORO HS 2,127,W100,,W118,,133,130,10B-127
7/26/2026,10:00 AM,7th,EL TORO HS 2,140,L107,,L110,,pt_7th,pt_8th,10B-140
7/26/2026,11:00 AM,5th,EL TORO HS 2,141,L119,,L122,,pt_5th,pt_6th,10B-141
7/26/2026,12:00 PM,3rd,EL TORO HS 2,130,L124,,L127,,au_3rd,au_4th,10B-130
7/26/2026,1:00 PM,1st,EL TORO HS 2,133,W124,,W127,,au_1st,au_2nd,10B-133
,,,,,,,,,,,
,,,EL TORO HS 3,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,8:00 AM,9th,EL TORO HS 3,138,W113,,W116,,pt_9th,pt_10th,10B-138
7/26/2026,9:00 AM,11th,EL TORO HS 3,137,L113,,L116,,pt_11th,pt_12th,10B-137
7/26/2026,10:00 AM,13th,EL TORO HS 3,135,W114,,W120,,pt_13th,pt_14th,10B-135
7/26/2026,11:00 AM,15th,EL TORO HS 3,134,L114,,L120,,pt_15th,pt_16th,10B-134
7/26/2026,12:00 PM,17th,EL TORO HS 3,129,W117,,W123,,pt_17th,pt_18th,10B-129
7/26/2026,1:00 PM,19th,EL TORO HS 3,128,L117,,L123,,pt_19th,pt_20th,10B-128
,,,,,,,,,,,
,,,EL TORO HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,8:00 AM,21-24 RR,EL TORO HS 1,125,3rd pt_T-,,3rd pt_U-,,,,10B-125
7/26/2026,9:00 AM,21-24 RR,EL TORO HS 1,126,3rd pt_R-,,3rd pt_S-,,,,10B-126
7/26/2026,10:00 AM,9-11 RR,EL TORO HS 1,136,L97,,L91,,RR ,RR,10B-136
7/26/2026,11:00 AM,5th,EL TORO HS 1,139,L115,,L118,,au_5th,au_6th,10B-139
7/26/2026,12:00 PM,7th,EL TORO HS 1,140A,L103,,L109,,au_7th,au_8th,10B-140A
7/26/2026,1:00 PM,9-11 RR,EL TORO HS 1,142,L97,,L94,,RR ,RR,10B-142
,,,,,,,,,,,
,,,WOOLLETT LEFT,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,semi,WOOLLETT LEFT,131,W104,,W119,,146,145,10B-131
,,,,,,,,,,,
7/26/2026,12:00 PM,3rd,WOOLLETT LEFT,145,L131,,L132,,pt_3rd,pt_4th,10B-145
,,,,,,,,,,,
,,,WOOLLETT RIGHT,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,semi,WOOLLETT RIGHT,132,W101,,W122,,146,145,10B-132
,,,,,,,,,,,
7/26/2026,12:00 PM,1st,WOOLLETT RIGHT,146,W131,,W132,,pt_1st,pt_2nd,10B-146
,,,,,,,,,,,
pt_Place,,au_Place,,,,,,,,,
1st,W146,1st,W144,,,,,,,,
2nd,L146,2nd,L144,,,,,,,,
3rd,W145,3rd,W143,,,,,,,,
4th,L145,4th,L143,,,,,,,,
5th,W141,5th,W139,,,,,,,,
6th,L141,6th,L139,,,,,,,,
7th,W140,7th,W142,,,,,,,,
8th,L140,8th,L142,,,,,,,,
9th,W138,9th,,,,,,,,,
10th,L138,10th,,,,,,,,,
11th,W137,11th,,,,,,,,,
12th,L137,,,,,,,,,,
13th,W135,,,,,,,,,,
14th,L135,,,,,,,,,,
15th,W134,,,,,,,,,,
16th,L134,,,,,,,,,,
17th,W129,,,,,,,,,,
18th,L129,,,,,,,,,,
19th,W128,,,,,,,,,,
20th,L128,,,,,,,,,,
21st,,,,,,,,,,,
22nd,,,,,,,,,,,
23rd,,,,,,,,,,,
24th,,,,,,,,,,,
