Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,GOLS LIVE STREAM,,,,,,,
7/23/2026,5:50 PM,2-3 cross,BECKMAN HS 1,51,L28,,W31,,ag_T1,bz_M3,14BX-051
7/23/2026,6:40 PM,2-3 cross,BECKMAN HS 1,55,L43,,W39,,ag_U2,bz_N2,14BX-055
7/23/2026,7:30 PM,2-3 cross,BECKMAN HS 1,59,L35,,W47,,ag_T2,bz_M2,14BX-059
,,,,,,,,,,,
,,,ESPERANZA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,ESPERANZA HS,2,4-VANGUARD SILVER,,45-TITANS GOLD,,26,30,14BX-002
7/23/2026,7:50 AM,Group,ESPERANZA HS,6,21-TEMPLE CITY,,28-SAN JOSE FOUNDATION BLACK,,26,30,14BX-006
7/23/2026,8:40 AM,Group,ESPERANZA HS,10,5-ECA,,44-T HILLS,,34,38,14BX-010
7/23/2026,9:30 AM,Group,ESPERANZA HS,14,20-SD SHORES GOLD,,29-SD DONS BLACK,,34,38,14BX-014
7/23/2026,10:20 AM,Group,ESPERANZA HS,18,6-ALAMEDA,,43-RAIN CITY,,42,46,14BX-018
7/23/2026,11:10 AM,Group,ESPERANZA HS,22,19-SAN JOSE EXPRESS BLUE,,30-ROSE BOWL RED,,42,46,14BX-022
7/23/2026,12:00 PM,Group,ESPERANZA HS,26,W2,,W6,,ag_P1,49,14BX-026
7/23/2026,12:50 PM,Group,ESPERANZA HS,30,L2,,L6,,50,bz_R3,14BX-030
7/23/2026,1:40 PM,Group,ESPERANZA HS,34,W10,,W14,,ag_P2,58,14BX-034
7/23/2026,2:30 PM,Group,ESPERANZA HS,38,L10,,L14,,54,bz_R2,14BX-038
7/23/2026,3:20 PM,Group,ESPERANZA HS,42,W18,,W22,,ag_O2,54,14BX-042
,,,,,,,,,,,
,,,YORBA LINDA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,4:10 PM,Group,YORBA LINDA HS,46,L18,,L22,,58,bz_S2,14BX-046
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,YORBA LINDA HS,50,L25,,W30,,ag_S3,bz_P1,14BX-050
7/23/2026,6:40 PM,2-3 cross,YORBA LINDA HS,54,L42,,W38,,ag_S2,bz_P2,14BX-054
7/23/2026,7:30 PM,2-3 cross,YORBA LINDA HS,58,L34,,W46,,ag_R2,bz_O2,14BX-058
,,,,,,,,,,,
,,,OCEAN VIEW HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,OCEAN VIEW HS 1,1,3-TSUNAMI,,46-HONOLULU,,25,29,14BX-001
7/23/2026,7:50 AM,Group,OCEAN VIEW HS 1,5,22-TROJAN CARDINAL,,27-VEGAS RENEGADES,,25,29,14BX-005
7/23/2026,8:40 AM,Group,OCEAN VIEW HS 1,9,1-OCWPC BLUE,,48-CAPITAL,,33,37,14BX-009
7/23/2026,9:30 AM,Group,OCEAN VIEW HS 1,13,24-FOOTHILL RED,,25-WCAC UNITED,,33,37,14BX-013
7/23/2026,10:20 AM,Group,OCEAN VIEW HS 1,17,2-STANFORD BLACK,,47-BAINBRIDGE,,41,45,14BX-017
7/23/2026,11:10 AM,Group,OCEAN VIEW HS 1,21,23-HIELAND,,26-DIABLO ALLIANCE B,,41,45,14BX-021
7/23/2026,12:00 PM,Group,OCEAN VIEW HS 1,25,W1,,W5,,ag_O1,50,14BX-025
7/23/2026,12:50 PM,Group,OCEAN VIEW HS 1,29,L1,,L5,,49,bz_S3,14BX-029
7/23/2026,1:40 PM,Group,OCEAN VIEW HS 1,33,W9,,W13,,ag_M1,57,14BX-033
7/23/2026,2:30 PM,Group,OCEAN VIEW HS 1,37,L9,,L13,,53,bz_U3,14BX-037
7/23/2026,3:20 PM,Group,OCEAN VIEW HS 1,41,W17,,W21,,ag_N1,53,14BX-041
,,,,,,,,,,,
,,,NEWPORT HARBOR HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,4:10 PM,Group,NEWPORT HARBOR HS,45,L17,,L21,,57,bz_T3,14BX-045
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,NEWPORT HARBOR HS,49,L26,,W29,,ag_R3,bz_O1,14BX-049
7/23/2026,6:40 PM,2-3 cross,NEWPORT HARBOR HS,53,L41,,W37,,ag_T3,bz_M1,14BX-053
7/23/2026,7:30 PM,2-3 cross,NEWPORT HARBOR HS,57,L33,,W45,,ag_U3,bz_N1,14BX-057
,,,,,,,,,,,
Day 2,,,,,,,,,,,
7/24/2026,,,,,,,,,,,
,Platinum,,,,,,,,,,
,ag_M,ag_N,ag_O,ag_P,,,,,,,
1,W33,W41,W25,W26,,,,,,,
2,W43,W35,W42,W34,,,,,,,
3,W27,W28,W36,W44,,,,,,,
,,,,,,,,,,,
,ag_R,ag_S,ag_T,ag_U,,,,,,,
1,W56,W60,W51,W52,,,,,,,
2,W58,W54,W59,W55,,,,,,,
3,W49,W50,W53,W57,,,,,,,
,,,,,,,,,,,
,Gold,,,,,,,,,,
,bz_M,bz_N,bz_O,bz_P,,,,,,,
1,L53,L57,L49,L50,,,,,,,
2,L59,L55,L58,L54,,,,,,,
3,L51,L52,L56,L60,,,,,,,
,,,,,,,,,,,
,bz_R,bz_S,bz_T,bz_U,,,,,,,
1,L48,L40,L32,L31,,,,,,,
2,L38,L46,L39,L47,,,,,,,
3,L30,L29,L45,L37,,,,,,,
,,,,,,,,,,,
,,,OCEAN VIEW HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,OCEAN VIEW HS 1,61,ag_M2,,ag_M3,,,,14BX-061
7/24/2026,7:50 AM,Group,OCEAN VIEW HS 1,65,ag_N2,,ag_N3,,,,14BX-065
7/24/2026,8:40 AM,Group,OCEAN VIEW HS 1,69,ag_S1,,ag_S2,,,,14BX-069
7/24/2026,9:30 AM,Group,OCEAN VIEW HS 1,73,ag_R1,,ag_R2,,,,14BX-073
7/24/2026,10:20 AM,Group,OCEAN VIEW HS 1,77,ag_M1,,ag_M3,,,,14BX-077
7/24/2026,11:10 AM,Group,OCEAN VIEW HS 1,81,ag_N1,,ag_N3,,,,14BX-081
7/24/2026,12:00 PM,Group,OCEAN VIEW HS 1,85,ag_S1,,ag_S3,,,,14BX-085
7/24/2026,12:50 PM,Group,OCEAN VIEW HS 1,89,ag_R1,,ag_R3,,,,14BX-089
7/24/2026,1:40 PM,Group,OCEAN VIEW HS 1,93,ag_M1,,ag_M2,,,,14BX-093
7/24/2026,2:30 PM,Group,OCEAN VIEW HS 1,97,ag_N1,,ag_N2,,,,14BX-097
7/24/2026,3:20 PM,Group,OCEAN VIEW HS 1,101,ag_S2,,ag_S3,,,,14BX-101
,,,,,,,,,,,
,,,NEWPORT HARBOR HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,4:10 PM,Group,NEWPORT HARBOR HS,105,ag_R2,,ag_R3,,,,14BX-105
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,NEWPORT HARBOR HS,109,3rd ag_M-,,1st ag_S-,,129,134,14BX-109
7/24/2026,7:30 PM,Play-in,NEWPORT HARBOR HS,113,3rd ag_N-,,1st ag_R-,,121,126,14BX-113
,,,,,,,,,,,
,,,TUSTIN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,TUSTIN HS 1,62,ag_O2,,ag_O3,,,,14BX-062
7/24/2026,7:50 AM,Group,TUSTIN HS 1,66,ag_P2,,ag_P3,,,,14BX-066
7/24/2026,8:40 AM,Group,TUSTIN HS 1,70,ag_U1,,ag_U2,,,,14BX-070
7/24/2026,9:30 AM,Group,TUSTIN HS 1,74,ag_T1,,ag_T2,,,,14BX-074
7/24/2026,10:20 AM,Group,TUSTIN HS 1,78,ag_O1,,ag_O3,,,,14BX-078
7/24/2026,11:10 AM,Group,TUSTIN HS 1,82,ag_P1,,ag_P3,,,,14BX-082
7/24/2026,12:00 PM,Group,TUSTIN HS 1,86,ag_U1,,ag_U3,,,,14BX-086
7/24/2026,12:50 PM,Group,TUSTIN HS 1,90,ag_T1,,ag_T3,,,,14BX-090
7/24/2026,1:40 PM,Group,TUSTIN HS 1,94,ag_O1,,ag_O2,,,,14BX-094
7/24/2026,2:30 PM,Group,TUSTIN HS 1,98,ag_P1,,ag_P2,,,,14BX-098
7/24/2026,3:20 PM,Group,TUSTIN HS 1,102,ag_U2,,ag_U3,,,,14BX-102
7/24/2026,4:10 PM,Group,TUSTIN HS 1,106,ag_T2,,ag_T3,,,,14BX-106
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,TUSTIN HS 1,110,3rd ag_O-,,1st ag_U-,,117,138,14BX-110
7/24/2026,7:30 PM,Play-in,TUSTIN HS 1,114,3rd ag_P-,,1st ag_T-,,125,130,14BX-114
,,,,,,,,,,,
,,,BREA OLINDA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,BREA OLINDA HS,63,bz_S1,,bz_S2,,,,14BX-063
7/24/2026,7:50 AM,Group,BREA OLINDA HS,67,bz_R1,,bz_R2,,,,14BX-067
7/24/2026,8:40 AM,Group,BREA OLINDA HS,71,bz_M2,,bz_M3,,,,14BX-071
7/24/2026,9:30 AM,Group,BREA OLINDA HS,75,bz_N2,,bz_N3,,,,14BX-075
7/24/2026,10:20 AM,Group,BREA OLINDA HS,79,bz_S1,,bz_S3,,,,14BX-079
7/24/2026,11:10 AM,Group,BREA OLINDA HS,83,bz_R1,,bz_R3,,,,14BX-083
7/24/2026,12:00 PM,Group,BREA OLINDA HS,87,bz_M1,,bz_M3,,,,14BX-087
7/24/2026,12:50 PM,Group,BREA OLINDA HS,91,bz_N1,,bz_N3,,,,14BX-091
7/24/2026,1:40 PM,Group,BREA OLINDA HS,95,bz_S2,,bz_S3,,,,14BX-095
7/24/2026,2:30 PM,Group,BREA OLINDA HS,99,bz_R2,,bz_R3,,,,14BX-099
7/24/2026,3:20 PM,Group,BREA OLINDA HS,103,bz_M1,,bz_M2,,,,14BX-103
7/24/2026,4:10 PM,Group,BREA OLINDA HS,107,bz_N1,,bz_N2,,,,14BX-107
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,BREA OLINDA HS,111,3rd bz_M-,,1st bz_S-,,131,136,14BX-111
7/24/2026,7:30 PM,Play-in,BREA OLINDA HS,115,3rd bz_N-,,1st bz_R-,,123,128,14BX-115
,,,,,,,,,,,
,,,ESPERANZA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,ESPERANZA HS,64,bz_U1,,bz_U2,,,,14BX-064
7/24/2026,7:50 AM,Group,ESPERANZA HS,68,bz_T1,,bz_T2,,,,14BX-068
7/24/2026,8:40 AM,Group,ESPERANZA HS,72,bz_O2,,bz_O3,,,,14BX-072
7/24/2026,9:30 AM,Group,ESPERANZA HS,76,bz_P2,,bz_P3,,,,14BX-076
7/24/2026,10:20 AM,Group,ESPERANZA HS,80,bz_U1,,bz_U3,,,,14BX-080
7/24/2026,11:10 AM,Group,ESPERANZA HS,84,bz_T1,,bz_T3,,,,14BX-084
7/24/2026,12:00 PM,Group,ESPERANZA HS,88,bz_O1,,bz_O3,,,,14BX-088
7/24/2026,12:50 PM,Group,ESPERANZA HS,92,bz_P1,,bz_P3,,,,14BX-092
7/24/2026,1:40 PM,Group,ESPERANZA HS,96,bz_U2,,bz_U3,,,,14BX-096
7/24/2026,2:30 PM,Group,ESPERANZA HS,100,bz_T2,,bz_T3,,,,14BX-100
,,,,,,,,,,,
,,,SADDLEBACK COLLEGE 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,3:20 PM,Group,SADDLEBACK COLLEGE 2,104,bz_O1,,bz_O2,,,,14BX-104
7/24/2026,4:10 PM,Group,SADDLEBACK COLLEGE 2,108,bz_P1,,bz_P2,,,,14BX-108
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,SADDLEBACK COLLEGE 2,112,3rd bz_O-,,1st bz_U-,,119,140,14BX-112
7/24/2026,7:30 PM,Play-in,SADDLEBACK COLLEGE 2,116,3rd bz_P-,,1st bz_T-,,127,132,14BX-116
,,,,,,,,,,,
Day 3,,,,,,,,,,,
7/25/2026,,,,,,,,,,,
,,,NORTHWOOD HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,NORTHWOOD HS,117,2nd ag_P-,,W110,,141,149,14BX-117
7/25/2026,9:00 AM,5-8 v 9-12,NORTHWOOD HS,121,2nd ag_M-,,W113,,141,149,14BX-121
7/25/2026,10:00 AM,5-8 v 9-12,NORTHWOOD HS,125,2nd ag_O-,,W114,,145,153,14BX-125
7/25/2026,11:00 AM,5-8 v 9-12,NORTHWOOD HS,129,2nd ag_N-,,W109,,145,153,14BX-129
7/25/2026,12:00 PM,1-2 v 3-4,NORTHWOOD HS,133,1st ag_N-,,1st ag_O-,,174,157,14BX-133
7/25/2026,1:00 PM,1-2 v 3-4,NORTHWOOD HS,137,1st ag_M-,,1st ag_P-,,173,161,14BX-137
7/25/2026,2:00 PM,5-6 v 7-8,NORTHWOOD HS,141,W117,,W121,,157,185,14BX-141
7/25/2026,3:00 PM,5-6 v 7-8,NORTHWOOD HS,145,W125,,W129,,161,185,14BX-145
7/25/2026,4:00 PM,9-12 semi,NORTHWOOD HS,149,L121,,L117,,182,181,14BX-149
7/25/2026,5:00 PM,9-12 semi,NORTHWOOD HS,153,L129,,L125,,182,181,14BX-153
7/25/2026,6:00 PM,play to semi,NORTHWOOD HS,157,L133,,W141,,173,186,14BX-157
7/25/2026,7:00 PM,play to semi,NORTHWOOD HS,161,L137,,W145,,174,186,14BX-161
,,,,,,,,,,,
,,,OCEAN VIEW HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,OCEAN VIEW HS 1,118,3rd ag_U-,,3rd ag_R-,,,,14BX-118
7/25/2026,9:00 AM,21-24 RR,OCEAN VIEW HS 1,122,3rd ag_T-,,3rd ag_S-,,,,14BX-122
7/25/2026,10:00 AM,13-20 qtr,OCEAN VIEW HS 1,126,L113,,2nd ag_U-,,150,154,14BX-126
7/25/2026,11:00 AM,13-20 qtr,OCEAN VIEW HS 1,130,L114,,2nd ag_S-,,150,154,14BX-130
7/25/2026,12:00 PM,13-20 qtr,OCEAN VIEW HS 1,134,L109,,2nd ag_T-,,158,162,14BX-134
7/25/2026,1:00 PM,13-20 qtr,OCEAN VIEW HS 1,138,L110,,2nd ag_R-,,158,162,14BX-138
7/25/2026,2:00 PM,21-24 RR,OCEAN VIEW HS 1,142,3rd ag_U-,,3rd ag_S-,,,,14BX-142
7/25/2026,3:00 PM,21-24 RR,OCEAN VIEW HS 1,146,3rd ag_T-,,3rd ag_R-,,,,14BX-146
7/25/2026,4:00 PM,13-16 semi,OCEAN VIEW HS 1,150,W126,,W130,,178,177,14BX-150
7/25/2026,5:00 PM,17-20 semi,OCEAN VIEW HS 1,154,L130,,L126,,170,169,14BX-154
7/25/2026,6:00 PM,13-16 semi,OCEAN VIEW HS 1,158,W134,,W138,,178,177,14BX-158
7/25/2026,7:00 PM,17-20 semi,OCEAN VIEW HS 1,162,L138,,L134,,170,169,14BX-162
,,,,,,,,,,,
,,,BREA OLINDA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,BREA OLINDA HS,119,2nd bz_P-,,W112,,143,151,14BX-119
7/25/2026,9:00 AM,5-8 v 9-12,BREA OLINDA HS,123,2nd bz_M-,,W115,,143,151,14BX-123
7/25/2026,10:00 AM,5-8 v 9-12,BREA OLINDA HS,127,2nd bz_O-,,W116,,147,155,14BX-127
7/25/2026,11:00 AM,5-8 v 9-12,BREA OLINDA HS,131,2nd bz_N-,,W111,,147,155,14BX-131
7/25/2026,12:00 PM,1-2 v 3-4,BREA OLINDA HS,135,1st bz_N-,,1st bz_O-,,172,159,14BX-135
7/25/2026,1:00 PM,1-2 v 3-4,BREA OLINDA HS,139,1st bz_M-,,1st bz_P-,,171,163,14BX-139
7/25/2026,2:00 PM,5-6 v 7-8,BREA OLINDA HS,143,W119,,W123,,159,188,14BX-143
7/25/2026,3:00 PM,5-6 v 7-8,BREA OLINDA HS,147,W127,,W131,,163,188,14BX-147
7/25/2026,4:00 PM,9-12 semi,BREA OLINDA HS,151,L123,,L119,,183,184,14BX-151
7/25/2026,5:00 PM,9-12 semi,BREA OLINDA HS,155,L131,,L127,,183,184,14BX-155
7/25/2026,6:00 PM,play to semi,BREA OLINDA HS,159,L135,,W143,,171,187,14BX-159
7/25/2026,7:00 PM,play to semi,BREA OLINDA HS,163,L139,,W147,,172,187,14BX-163
,,,,,,,,,,,
,,,ESPERANZA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,ESPERANZA HS,120,3rd bz_U-,,3rd bz_R-,,,,14BX-120
7/25/2026,9:00 AM,21-24 RR,ESPERANZA HS,124,3rd bz_T-,,3rd bz_S-,,,,14BX-124
7/25/2026,10:00 AM,13-20 qtr,ESPERANZA HS,128,L115,,2nd bz_U-,,152,156,14BX-128
7/25/2026,11:00 AM,13-20 qtr,ESPERANZA HS,132,L116,,2nd bz_S-,,152,156,14BX-132
7/25/2026,12:00 PM,13-20 qtr,ESPERANZA HS,136,L111,,2nd bz_T-,,160,164,14BX-136
7/25/2026,1:00 PM,13-20 qtr,ESPERANZA HS,140,L112,,2nd bz_R-,,160,164,14BX-140
,,,,,,,,,,,
,,,GARDEN GROVE HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,2:00 PM,17-20 semi,GARDEN GROVE HS,156,L132,,L128,,175,176,14BX-156
7/25/2026,3:00 PM,17-20 semi,GARDEN GROVE HS,164,L140,,L136,,175,176,14BX-164
7/25/2026,4:00 PM,21-24 RR,GARDEN GROVE HS,144,3rd bz_U-,,3rd bz_S-,,,,14BX-144
7/25/2026,5:00 PM,21-24 RR,GARDEN GROVE HS,148,3rd bz_T-,,3rd bz_R-,,,,14BX-148
7/25/2026,6:00 PM,13-16 semi,GARDEN GROVE HS,152,W128,,W132,,179,180,14BX-152
7/25/2026,7:00 PM,13-16 semi,GARDEN GROVE HS,160,W136,,W140,,179,180,14BX-160
,,,,,,,,,,,
Day 4,,,,,,,,,,,
7/26/2026,,,,,,,,,,ag_,bz_
,,,OCEAN VIEW HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,5th,OCEAN VIEW HS 1,186,L157,,L161,,ag_5th,ag_6th,14BX-186
7/26/2026,8:00 AM,9th,OCEAN VIEW HS 1,182,W149,,W153,,ag_9th,ag_10th,14BX-182
7/26/2026,9:00 AM,7th,OCEAN VIEW HS 1,185,L141,,L145,,ag_7th,ag_8th,14BX-185
7/26/2026,10:00 AM,11th,OCEAN VIEW HS 1,181,L149,,L153,,ag_11th,ag_12th,14BX-181
7/26/2026,11:00 AM,13th,OCEAN VIEW HS 1,178,W150,,W158,,ag_13th,ag_14th,14BX-178
7/26/2026,12:00 PM,15th,OCEAN VIEW HS 1,177,L150,,L158,,ag_15th,ag_16th,14BX-177
7/26/2026,1:00 PM,17th,OCEAN VIEW HS 1,170,W154,,W162,,ag_17th,ag_18th,14BX-170
,,,,,,,,,,,
,,,BREA OLINDA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,19th,BREA OLINDA HS,176,L156,,L164,,bz_19th,bz_20th,14BX-176
7/26/2026,8:00 AM,5th,BREA OLINDA HS,187,L159,,L163,,bz_5th,bz_6th,14BX-187
7/26/2026,9:00 AM,21-24 RR,BREA OLINDA HS,165,3rd ag_T-,,3rd ag_U-,,,,14BX-165
7/26/2026,10:00 AM,21-24 RR,BREA OLINDA HS,166,3rd ag_R-,,3rd ag_S-,,,,14BX-166
7/26/2026,11:00 AM,19th,BREA OLINDA HS,169,L154,,L162,,ag_19th,ag_20th,14BX-169
7/26/2026,12:00 PM,21-24 RR,BREA OLINDA HS,167,3rd bz_T-,,3rd bz_U-,,,,14BX-167
7/26/2026,1:00 PM,21-24 RR,BREA OLINDA HS,168,3rd bz_R-,,3rd bz_S-,,,,14BX-168
,,,,,,,,,,,
,,,ESPERANZA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,7th,ESPERANZA HS,188,L143,,L147,,bz_7th,bz_8th,14BX-188
7/26/2026,8:00 AM,9th,ESPERANZA HS,183,W151,,W155,,bz_9th,bz_10th,14BX-183
7/26/2026,9:00 AM,11th,ESPERANZA HS,184,L151,,L155,,bz_11th,bz_12th,14BX-184
7/26/2026,10:00 AM,13th,ESPERANZA HS,179,W152,,W160,,bz_13th,bz_14th,14BX-179
7/26/2026,11:00 AM,15th,ESPERANZA HS,180,L152,,L160,,bz_15th,bz_16th,14BX-180
7/26/2026,12:00 PM,17th,ESPERANZA HS,175,W156,,W164,,bz_17th,bz_18th,14BX-175
,,,,,,,,,,,
,,,ANAHEIM HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/26/2026,7:00 AM,semi,ANAHEIM HS,171,W139,,W159,,190,189,14BX-171
7/26/2026,8:00 AM,semi,ANAHEIM HS,172,W135,,W163,,190,189,14BX-172
7/26/2026,9:00 AM,semi,ANAHEIM HS,173,W137,,W157,,192,191,14BX-173
7/26/2026,10:00 AM,semi,ANAHEIM HS,174,W133,,W161,,192,191,14BX-174
7/26/2026,11:00 AM,3rd,ANAHEIM HS,189,L171,,L172,,bz_3rd,bz_4th,14BX-189
7/26/2026,12:00 PM,1st,ANAHEIM HS,190,W171,,W172,,bz_1st,bz_2nd,14BX-190
