"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","GARDEN GROVE HS","31","W11","","W15","","ag_M2","51","14GX-031","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","GARDEN GROVE HS","35","G1(7)-SEASIDE","","G2(18)-GOLD COAST","","bracket ","","14GX-035","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","GARDEN GROVE HS","39","I1(9)-SANTA BARBARA WPC B","","I2(16)-SD SHORES WHITE","","bracket ","","14GX-039","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","GARDEN GROVE HS","43","L11","","L15","","59","","14GX-043","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","GARDEN GROVE HS","51","L31","","3rd_G-","","ag_U2","","14GX-051","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","GARDEN GROVE HS","55","2nd_J-","","3rd_I-","","ag_T1","","14GX-055","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","GARDEN GROVE HS","59","2nd_G-","","W43","","ag_T2","","14GX-059","","","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","BECKMAN HS 1","4","K1(11)-680 BLUE","","K3(35)-HONOLULU","","bracket ","","14GX-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","BECKMAN HS 1","8","J1(10)-PAC PREMIER","","J3(34)-SAN JOSE EXPRESS GOLD","","bracket ","","14GX-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","BECKMAN HS 1","12","12-PATRIOT RED","","37-WCAC UNITED","","32","44","14GX-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","BECKMAN HS 1","16","13-SHARKS","","36-FOOTHILL BLACK","","32","44","14GX-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","BECKMAN HS 1","20","K2(14)-ASPHALT GREEN","","K3(35)-HONOLULU","","bracket ","","14GX-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","BECKMAN HS 1","24","J2(15)-NORCAL","","J3(34)-SAN JOSE EXPRESS GOLD","","bracket ","","14GX-024","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","BECKMAN HS 1","32","W12","","W16","","ag_P3","52","14GX-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","BECKMAN HS 1","36","K1(11)-680 BLUE","","K2(14)-ASPHALT GREEN","","bracket ","","14GX-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","BECKMAN HS 1","40","J1(10)-PAC PREMIER","","J2(15)-NORCAL","","bracket ","","14GX-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","BECKMAN HS 1","44","L12","","L16","","60","","14GX-044","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","BECKMAN HS 1","52","L32","","3rd_K-","","ag_R1","","14GX-052","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","BECKMAN HS 1","56","2nd_I-","","3rd_J-","","ag_U1","","14GX-056","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","BECKMAN HS 1","60","2nd_K-","","W44","","ag_S1","","14GX-060","","","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","VILLA PARK HS","2","D1(4)-SET","","D3(28)-STANFORD C","","bracket","","14GX-002","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","VILLA PARK HS","6","E1(5)-LOS ALAMITOS","","E3(29)-MID VALLEY","","bracket ","","14GX-006","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","VILLA PARK HS","10","6-SAN JOSE EXPRESS BLUE","","39-CHULA VISTA PREMIER","","26","34","14GX-010","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","VILLA PARK HS","14","19-FOOTHILL RED","","30-CLOVIS B","","26","34","14GX-014","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","VILLA PARK HS","18","D2(21)-ECA","","D3(28)-STANFORD C","","bracket","","14GX-018","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","VILLA PARK HS","22","E2(20)-BULLDOG","","E3(29)-MID VALLEY","","bracket ","","14GX-022","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","VILLA PARK HS","26","W10","","W14","","ag_O2","54","14GX-026","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","VILLA PARK HS","30","D1(4)-SET","","D2(21)-ECA","","bracket ","","14GX-030","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","VILLA PARK HS","34","L10","","L14","","58","","14GX-034","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","VILLA PARK HS","38","E1(5)-LOS ALAMITOS","","E2(20)-BULLDOG","","bracket ","","14GX-038","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","VILLA PARK HS","50","2nd_C-","","3rd_D-","","ag_S3","","14GX-050","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","VILLA PARK HS","54","L26","","3rd_E-","","ag_S2","","14GX-054","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","VILLA PARK HS","58","2nd_E-","","W34","","ag_R2","","14GX-058","","","","","","","","","","","","","",""
"","","","ORANGE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","ORANGE HS","1","C1(3)-PALOS VERDES","","C3(27)-NORTH IRVINE","","bracket ","","14GX-001","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","ORANGE HS","5","B1(2)-ROSE BOWL","","B3(26)-PLACER","","bracket ","","14GX-005","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","ORANGE HS","9","A1(1)-SOCAL","","A3(25)-BACK BAY","","bracket ","","14GX-009","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","ORANGE HS","13","C2(22)-PRAETORIAN","","C3(27)-NORTH IRVINE","","bracket ","","14GX-013","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","ORANGE HS","17","B2(23)-SOUTH COAST WHITE","","B3(26)-PLACER","","bracket ","","14GX-017","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","ORANGE HS","21","A2(24)-ALAMEDA","","A3(25)-BACK BAY","","bracket ","","14GX-021","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","ORANGE HS","25","C1(3)-PALOS VERDES","","C2(22)-PRAETORIAN","","bracket ","","14GX-025","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","ORANGE HS","33","B1(2)-ROSE BOWL","","B2(23)-SOUTH COAST WHITE","","bracket ","","14GX-033","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","ORANGE HS","37","A1(1)-SOCAL","","A2(24)-ALAMEDA","","bracket ","","14GX-037","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","ORANGE HS","49","2nd_D-","","3rd_C","","ag_R3","","14GX-049","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","ORANGE HS","53","2nd_B-","","3rd_A-","","ag_T3","","14GX-053","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","ORANGE HS","57","2nd_A-","","3rd_B-","","ag_U3","","14GX-057","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_N","ag_O","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_B-","1st_C-","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_G-","W26","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_J-","1st_K-","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_S","ag_T","","","","","","","","","","","","","","","","","","","","","",""
"","","W60","W55","","","","","","","","","","","","","","","","","","","","","",""
"","","W54","W59","","","","","","","","","","","","","","","","","","","","","",""
"","","W50","W53","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_N","bz_O","","","","","","","","","","","","","","","","","","","","","",""
"","","L57","L53","","","","","","","","","","","","","","","","","","","","","",""
"","","L51","L59","","","","","","","","","","","","","","","","","","","","","",""
"","","L52","L55","","","","","","","","","","","","","","","","","","","","","",""
"","","L34","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","ag_","","","","","","","","","","","","","",""
"","","","","","","","","","","","bz_","","","","","","","","","","","","","",""
"","","","ALISO NIGUEL HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","ALISO NIGUEL HS","61","ag_M2","","ag_M3-","","","","14GX-061","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","ALISO NIGUEL HS","65","bz_M1","","bz_M4","","89","97","14GX-065","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","ALISO NIGUEL HS","69","ag_S1","","ag_S2","","","","14GX-069","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","ALISO NIGUEL HS","73","bz_M2","","bz_M3","","89","97","14GX-073","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","ALISO NIGUEL HS","77","ag_M1-","","ag_M3-","","","","14GX-077","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","ALISO NIGUEL HS","85","ag_S1","","ag_S3","","","","14GX-085","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","ALISO NIGUEL HS","89","W65","","W73","","123","128","14GX-089","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","ALISO NIGUEL HS","93","ag_M1-","","ag_M2","","","","14GX-093","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","ALISO NIGUEL HS","97","L65","","L73","","127","","14GX-097","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","ALISO NIGUEL HS","101","ag_S2","","ag_S3","","","","14GX-101","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","ALISO NIGUEL HS","109","3rd_ag_M-","","1st_ag_S-","","130","134","14GX-109","","ag_play-in","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","VILLA PARK HS","62","ag_N2-","","ag_N3-","","","","14GX-062","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","VILLA PARK HS","66","bz_N1","","bz_N4","","90","98","14GX-066","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","VILLA PARK HS","70","ag_R1","","ag_R2","","","","14GX-070","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","VILLA PARK HS","74","bz_N2","","bz_N3","","90","98","14GX-074","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","VILLA PARK HS","78","ag_N1-","","ag_N3-","","","","14GX-078","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","VILLA PARK HS","86","ag_R1","","ag_R3","","","","14GX-086","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","VILLA PARK HS","90","W66","","W74","","124","127","14GX-090","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","VILLA PARK HS","94","ag_N1-","","ag_N2-","","","","14GX-094","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","VILLA PARK HS","98","L66","","L74","","128","","14GX-098","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","VILLA PARK HS","102","ag_R2","","ag_R3","","","","14GX-102","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","VILLA PARK HS","110","3rd_ag_N-","","1st_ag_R-","","129","133","14GX-110","","ag_play-in","","","","","","","","","","","",""
"","","","ORANGE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","ORANGE HS","63","ag_O2","","ag_O3-","","","","14GX-063","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","ORANGE HS","67","bz_O1","","bz_O3","","","","14GX-067","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","ORANGE HS","71","ag_U1","","ag_U2","","","","14GX-071","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","ORANGE HS","79","ag_O1","","ag_O3-","","","","14GX-079","","ag_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","ORANGE HS","75","bz_O2","","bz_O3","","","","14GX-075","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","ORANGE HS","87","ag_U1","","ag_U3","","","","14GX-087","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","ORANGE HS","95","ag_O1","","ag_O2","","","","14GX-095","","ag_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","ORANGE HS","99","bz_O1","","bz_O2","","","","14GX-099","","bz_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","ORANGE HS","103","ag_U2","","ag_U3","","","","14GX-103","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:00 PM","play-in","ORANGE HS","111","3rd_ag_O-","","1st_ag_U-","","125","138","14GX-111","","ag_play-in","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","BECKMAN HS 1","64","ag_P2-","","ag_P3","","","","14GX-064","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","BECKMAN HS 1","68","bz_P1","","bz_P4","","92","100","14GX-068","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","BECKMAN HS 1","72","ag_T1","","ag_T2","","","","14GX-072","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","BECKMAN HS 1","76","bz_P2","","bz_P3","","92","100","14GX-076","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","BECKMAN HS 1","80","ag_P1-","","ag_P3","","","","14GX-080","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","BECKMAN HS 1","88","ag_T1","","ag_T3","","","","14GX-088","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","BECKMAN HS 1","92","W68","","W76","","123","132","14GX-092","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","BECKMAN HS 1","96","ag_P1-","","ag_P2-","","","","14GX-096","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","BECKMAN HS 1","100","L68","","L76","","131","","14GX-100","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","BECKMAN HS 1","104","ag_T2","","ag_T3","","","","14GX-104","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","BECKMAN HS 1","112","3rd_ag_P-","","1st_ag_T-","","126","137","14GX-112","","ag_play-in","","","","","","","","","","","",""
"","","bzX (13-15) double RR","","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_X","","","","","","","","","","","","","","","","","","","","","","",""
"","","L97","","","","","","","","","","","","","","","","","","","","","","",""
"","","L98","","","","","","","","","","","","","","","","","","","","","","",""
"","","L100","no more L99","","","","","","","","","","","","","","","","","","","","","",""
"Mon, July 20","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","BUENA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","1-2 v 3-4","BUENA PARK HS","122","1st_ag_M-","","1st_ag_P-","","173","162","14GX-122","","ag_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","9:00 AM","13-15 RR","BUENA PARK HS","119","bz_X1","","bz_X2","","","","14GX-119","","bz_13-15 RR","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","BUENA PARK HS","127","L90","","W97","","147","151","14GX-127","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","BUENA PARK HS","128","W98","","L89","","148","152","14GX-128","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","21-24 RR","BUENA PARK HS","117","3rd_ag_T-","","3rd_ag_S-","","","","14GX-117","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","BUENA PARK HS","123","W89","","W92","","172","163","14GX-123","","bz_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","2:00 PM","1-2 v 3-4","BUENA PARK HS","124","W90","","1st bz_O-","","171","164","14GX-124","","bz_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 vs 7-8","BUENA PARK HS","147","W127","","W131","","163","188","14GX-147","","bz_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","BUENA PARK HS","151","L131","","L127","","183","184","14GX-151","","bz_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","play to semi","BUENA PARK HS","164","L124","","W148","","172","187","14GX-164","","bz_play to semi","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","1-2 v 3-4","VILLA PARK HS","121","1st_ag_N-","","1st_ag_O-","","174","161","14GX-121","","ag_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","VILLA PARK HS","131","3rd bz_O-","","W100","","147","151","14GX-131","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","VILLA PARK HS","132","2nd bz_O-","","L92","","148","152","14GX-132","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","21-24 RR","VILLA PARK HS","118","3rd_ag_U-","","3rd_ag_R-","","","","14GX-118","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","12:00 PM","play to semi","VILLA PARK HS","163","L123","","W147","","171","187","14GX-163","","bz_play to semi","","","","","","","","","","","",""
"20-Jul","1:00 PM","13-15 RR","VILLA PARK HS","155","bz_X1","","bz_X3","","","","14GX-155","","bz_13-15 RR","","","","","","","","","","","",""
"20-Jul","2:00 PM","5-6 vs 7-8","VILLA PARK HS","148","W128","","W132","","164","188","14GX-148","","bz_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","3:00 PM","9-12 semi","VILLA PARK HS","152","L132","","L128","","183","184","14GX-152","","bz_9-12 semi","","","","","","","","","","","",""
"20-Jul","4:00 PM","13-15 RR","VILLA PARK HS","156","bz_X2","","bz_X3","","","","14GX-156","","bz_13-15 RR","","","","","","","","","","","",""
"20-Jul","5:00 PM","17-20 semi","VILLA PARK HS","157","L137","","L133","","170","169","14GX-157","","ag_17-20 semi","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","BECKMAN HS 1","125","2nd_ag_P-","","W111","","145","149","14GX-125","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","BECKMAN HS 1","129","2nd_ag_M-","","W110","","145","149","14GX-129","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 quarter","BECKMAN HS 1","133","L110","","2nd_ag_U-","","153","157","14GX-133","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 quarter","BECKMAN HS 1","137","L112","","2nd_ag_S-","","153","157","14GX-137","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","12:00 PM","21-24 RR","BECKMAN HS 1","141","3rd_ag_T-","","3rd_ag_R-","","","","14GX-141","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","1:00 PM","5-6 vs 7-8","BECKMAN HS 1","145","W125","","W129","","161","185","14GX-145","","ag_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","2:00 PM","9-12 semi","BECKMAN HS 1","149","L129","","L125","","182","181","14GX-149","","ag_9-12 semi","","","","","","","","","","","",""
"20-Jul","3:00 PM","13-16 semi","BECKMAN HS 1","153","W133","","W137","","178","177","14GX-153","","ag_13-16 semi","","","","","","","","","","","",""
"20-Jul","4:00 PM","play to semi","BECKMAN HS 1","161","L121","","W145","","173","186","14GX-161","","ag_play to semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","play to semi","BECKMAN HS 1","162","L122","","W146","","174","186","14GX-162","","ag_play to semi","","","","","","","","","","","",""
"","","","GARDEN GROVE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","GARDEN GROVE HS","126","2nd_ag_O-","","W112","","146","150","14GX-126","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","GARDEN GROVE HS","130","2nd_ag_N-","","W109","","146","150","14GX-130","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 quarter","GARDEN GROVE HS","134","L109","","2nd_ag_T-","","154","158","14GX-134","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 quarter","GARDEN GROVE HS","138","L111","","2nd_ag_R-","","154","158","14GX-138","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","12:00 PM","21-24 RR","GARDEN GROVE HS","142","3rd_ag_U-","","3rd_ag_S-","","","","14GX-142","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","1:00 PM","5-6 vs 7-8","GARDEN GROVE HS","146","W126","","W130","","162","185","14GX-146","","ag_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","2:00 PM","9-12 semi","GARDEN GROVE HS","150","L130","","L126","","182","181","14GX-150","","ag_9-12 semi","","","","","","","","","","","",""
"20-Jul","3:00 PM","13-16 semi","GARDEN GROVE HS","154","W134","","W138","","178","177","14GX-154","","ag_13-16 semi","","","","","","","","","","","",""
"20-Jul","4:00 PM","17-20 semi","GARDEN GROVE HS","158","L138","","L134","","170","169","14GX-158","","ag_17-20 semi","","","","","","","","","","","",""
"Tue, July 21","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SAN JUAN HILLS HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","21-24 RR","SAN JUAN HILLS HS","165","3rd_ag_T-","","3rd_ag_U-","","","","14GX-165","","ag_21-24 RR","","","","","","","","","","","",""
"21-Jul","8:00 AM","11th","SAN JUAN HILLS HS","181","L149","","L150","","ag_11th","","14GX-181","","ag_11th","","","","","","","","","","","",""
"21-Jul","9:00 AM","15th","SAN JUAN HILLS HS","177","L153","","L154","","ag_15th","","14GX-177","","ag_15th","","","","","","","","","","","",""
"21-Jul","10:00 AM","13th","SAN JUAN HILLS HS","178","W153","","W154","","ag_13th","","14GX-178","","ag_13th","","","","","","","","","","","",""
"21-Jul","11:00 AM","17th","SAN JUAN HILLS HS","170","W157","","W158","","ag_17th","","14GX-170","","ag_17th","","","","","","","","","","","",""
"21-Jul","12:00 PM","19th","SAN JUAN HILLS HS","169","L157","","L158","","ag_19th","","14GX-169","","ag_19th","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","","GMID","","","","","","","","","","","","","",""
"21-Jul","7:00 AM","21-24 RR","VILLA PARK HS","166","3rd_ag_R-","","3rd_ag_S-","","","","14GX-166","","ag_21-24 RR","","","","","","","","","","","",""
"21-Jul","8:00 AM","13-15 RR","VILLA PARK HS","167","bz_X1","","bz_X2","","","","14GX-167","","bz_13-15 RR","","","","","","","","","","","",""
"21-Jul","9:00 AM","9th","VILLA PARK HS","183","W151","","W152","","bz_9th","","14GX-183","","bz_9th","","","","","","","","","","","",""
"21-Jul","10:00 AM","11th","VILLA PARK HS","184","L151","","L152","","bz_11th","","14GX-184","","bz_11th","","","","","","","","","","","",""
