slug,club,region,locationLabel,rankedTeams,website,websiteStatus,websiteVerifiedAt,websiteSource,reviewNote
ciu,Channel Islands United,Central Coast,,9,,needs_verification,,,Channel Islands United appears to operate as an alliance; standalone official website not yet confirmed.
chargers,Chargers,Orange County,"Cypress, CA",1,,missing,,,
chawp,Chawp,Inland Empire,,11,https://chawp.com/,verified_official,2026-07-27,Official CHAWP Aquatics website,
chicago-park,Chicago Park,Out of State,"Chicago, IL",6,https://cpdclubwaterpolo.com/,verified_official,2026-07-27,Official Chicago Park District Water Polo Club website,
cincinnati-marlins,Cincinnati Marlins,Out of State,"Cincinnati, OH",1,,missing,,,
clovis,Clovis Water Polo Club,Central Valley,"Clovis, CA",12,https://www.cloviswpc.com/,present_unverified,,Existing WPI registry value,
club-daygo,Club Daygo,San Diego,,1,,missing,,,
cmac,Cmac,Orange County,,2,,missing,,,
colorado,Colorado,Out of State,"Denver, CO",3,,missing,,,
commerce,Commerce Water Polo,Los Angeles,,8,https://www.gomotionapp.com/team/comm/page/home,present_unverified,,Existing WPI registry value,
ct-premier,CT Premier,Out of State,,5,,missing,,,
cv-premier,CV Premier,San Diego,,3,,missing,,,
cvu,CVU,Central Valley,,3,,missing,,,
dart,Dart,Sacramento,"Fairfield, CA",1,,missing,,,
davis,Davis Water Polo Club,Sacramento,,8,https://www.daviswaterpolo.org/,present_unverified,,Existing WPI registry value,
del-mar,Del Mar,San Diego,,1,,missing,,,
devils-gate,Devils Gate,Los Angeles,,1,,missing,,,
diablo-alliance,Diablo Alliance,East Bay,,10,https://www.diablowaterpolo.com/,present_unverified,,Existing WPI registry value,
elite,Elite,Los Angeles,,1,,missing,,,
elmhurst,Elmhurst,Out of State,"Elmhurst, IL",5,,missing,,,
farallon,Farallon,Peninsula / San Francisco,,1,,missing,,,
foothill,Foothill,Orange County,,8,,needs_verification,,,Possible duplicate/related identity with Foothill Club Water Polo; do not assign a website until the club family is reviewed.
foothill-club,Foothill Club Water Polo,Orange County,,2,https://foothillclubwaterpolo.org/,present_unverified,,Existing WPI registry value,
gold-coast,Gold Coast,Central Coast,,1,,missing,,,
great-lakes-aquatics,Great Lakes Aquatics,Out of State,"Grand Rapids, MI",2,,missing,,,
greenwich,Greenwich,Out of State,,11,https://greenwichaquaticswaterpolo.com/,verified_official,2026-07-27,Official Greenwich Aquatics Water Polo website,
hawaiian-islands,Hawaiian Islands,Out of State,"Honolulu, HI",1,,missing,,,
hieland,Hieland,Orange County,,2,,missing,,,
hilo-grammaz,Hilo Grammaz,Out of State,"Hilo, HI",1,,missing,,,
hilo-hammahz,Hilo Hammahz,Out of State,"Hilo, HI",1,,missing,,,
honolulu-water-polo,Honolulu Water Polo,Out of State,,6,https://www.hnlwaterpolo.org/,verified_official,2026-07-27,Official Honolulu Water Polo website,
imperial,Imperial,Inland Empire,,2,,missing,,,
innis-arden,Innis Arden,Out of State,,2,,missing,,,
kearns,Kearns,Out of State,"Kearns, UT",5,,missing,,,
kern-premier,Kern Premier,Central Valley,Central California,4,,missing,,,
kingsburg,Kingsburg,Central Valley,,2,,missing,,,
la-jolla-united,La Jolla United,San Diego,,15,https://lajollaunited.com/,present_unverified,,Existing WPI registry value,
la-premier,LA Premier,Los Angeles,,5,,missing,,,
laguna-beach,Laguna Beach,Orange County,,3,,missing,,,
lamorinda-brentwood,Lamorinda Brentwood,East Bay,"Brentwood, CA",1,,missing,,,
lamorinda,Lamorinda Water Polo,East Bay,,15,https://www.lamorindawaterpolo.org/,present_unverified,,Existing WPI registry value,
legacy,Legacy,Central Coast,,3,,missing,,,
lokahi,Lokahi,Out of State,"Honolulu, HI",2,,missing,,,
long-beach-shore,Long Beach Shore,Los Angeles,,7,https://www.gomotionapp.com/team/shoreaquatics/page/home,verified_official,2026-07-27,Official Long Beach Shore Aquatics website,
longhorn,Longhorn,Out of State,"Austin, TX",5,,missing,,,
los-alamitos,Los Alamitos,Orange County,,3,,missing,,,
lowpo,LOWPO,Out of State,,5,,missing,,,
loyola-wpc,Loyola WPC,Los Angeles,,2,,missing,,,
lv-legends,LV Legends,Los Angeles,,2,,missing,,,
lyons-aquatics,Lyons Aquatics,Out of State,"Western Springs, IL",6,https://www.gomotionapp.com/team/illa/page/home,verified_official,2026-07-27,Official LYONS Aquatics website,
mavericks,Mavericks,Peninsula / San Francisco,,3,,missing,,,
meridian,Meridian,East Bay,,1,,missing,,,
mesa,Mesa,Out of State,"Mesa, AZ",2,,missing,,,
miami-riptides,Miami Riptides,Out of State,"Miami, FL",1,,missing,,,
mid-pen,Mid Pen,Peninsula / San Francisco,,1,,missing,,,
mid-valley,Mid Valley,Los Angeles,,5,,missing,,,
mission,Mission WPC,Orange County,,8,https://missionwpc.com/home,present_unverified,,Existing WPI registry value,
moose,Moose,Out of State,"Liberty Township, OH",2,,missing,,,
narrows,Narrows,Out of State,"Tacoma, WA",1,,missing,,,
navy,Navy,Out of State,"Annapolis, MD",1,,missing,,,
nc-select,Nc Select,Out of State,"Greensboro, NC",1,,missing,,,
new-trier,New Trier,Out of State,"Winnetka, IL",1,,missing,,,
newberg,Newberg,Out of State,"Newberg, OR",1,,missing,,,
newport-beach,Newport Beach Water Polo,Orange County,,13,https://www.newportbeachwaterpolo.com/,present_unverified,,Existing WPI registry value,
nipc,NIPC,Out of State,"Mundelein, IL",5,,missing,,,
norcal,NorCal Aquatics,Peninsula / San Francisco,,10,https://www.norcal-aquatics.com/,present_unverified,,Existing WPI registry value,
norco,Norco,Inland Empire,,4,,missing,,,
north-idaho,North Idaho,Out of State,"Coeur d'Alene, ID",2,,missing,,,
north-irvine,North Irvine WPC,Orange County,,8,https://www.gomotionapp.com/team/niwpc/page/home,present_unverified,,Existing WPI registry value,
northwest,Northwest,Out of State,,3,,missing,,,
nsd-stars,Nsd Stars,San Diego,,1,,missing,,,
nwc,Nwc,Out of State,"Palatine, IL",1,,missing,,,
oahu,Oahu,Out of State,"Honolulu, HI",2,,missing,,,
ohana,Ohana,Orange County,"Los Alamitos, CA",1,,missing,,,
olympus,Olympus,Out of State,"Salt Lake City, UT",1,,missing,,,
ocwpc,Orange County Water Polo Club,Orange County,,5,https://ocwpc.com/,present_unverified,,Existing WPI registry value,
orwp,ORWP,Los Angeles,,6,,missing,,,
pac-premier,PAC Premier,Orange County,,1,,missing,,,
pacific-valley-premier,Pacific Valley Premier,Peninsula / San Francisco,"San Jose, CA",2,,missing,,,
park-city,Park City,Out of State,"Park City, UT",1,,missing,,,
pasadena-ac,Pasadena AC,Los Angeles,,1,,missing,,,
patriot,Patriot Aquatics,Orange County,,9,https://patriotaquatics.org/,present_unverified,,Existing WPI registry value,
pegasus,Pegasus,Peninsula / San Francisco,,4,,missing,,,
placer,Placer,Sacramento,"Rocklin, CA",1,,missing,,,
praetorian,Praetorian,Central Valley,,7,https://www.praetorianwaterpolo.com/,verified_official,2026-07-27,Official Praetorian Water Polo Club website,
pride,Pride Water Polo,Inland Empire,,2,https://www.pridewaterpolo.com/page/home,present_unverified,,Existing WPI registry value,
princeton,Princeton,Out of State,"Princeton, NJ",1,,missing,,,
puget-sound,Puget Sound,Out of State,"Tacoma, WA",3,,missing,,,
punahou,Punahou,Out of State,"Honolulu, HI",6,,missing,,,
pv-wpc,PV WPC,Los Angeles,,5,,missing,,,
rain-city,Rain City,Out of State,"Seattle, WA",5,,missing,,,
rancho-tsunami,Rancho Tsunami Water Polo Club,Inland Empire,,6,https://www.ranchotsunami.com/,present_unverified,,Existing WPI registry value,
regency,Regency,Orange County,,2,,missing,,,
rise,Rise,Out of State,"Broomfield, CO",1,,missing,,,
rogue-619,Rogue 619,San Diego,,1,,missing,,,
rose-bowl,Rose Bowl Water Polo Club,Los Angeles,,9,https://rosebowlaquatics.org/water-polo,present_unverified,,Existing WPI registry value,
route-66,Route 66,Inland Empire,,2,,missing,,,
sacramento,Sacramento,Sacramento,"Sacramento, CA",4,,missing,,,
san-clemente,San Clemente,Orange County,,10,https://sanclementewaterpolo.teamsnapsites.com/,verified_official,2026-07-27,Official San Clemente Water Polo Club website,
sd-dons,San Diego Dons,San Diego,,9,https://sddonspolo.com/,present_unverified,,Existing WPI registry value,
san-diego-shores,San Diego Shores,San Diego,,15,https://sdshores.org/,verified_official,2026-07-27,Official San Diego Shores club website,
san-francisco,San Francisco,Peninsula / San Francisco,,2,,missing,,,
san-jose-almaden,San Jose Almaden,Peninsula / San Francisco,"San Jose, CA",1,,missing,,,
san-jose-express,San Jose Express,Peninsula / San Francisco,,10,https://www.sanjoseexpress.org/,verified_official,2026-07-27,Official San Jose Express Aquatics website,
sand-canyon,Sand Canyon,Orange County,,4,,missing,,,
santa-barbara,Santa Barbara Water Polo Club,Central Coast,,13,https://sbwaterpolo.com/,present_unverified,,Existing WPI registry value,
santa-cruz,Santa Cruz,Central Coast,,7,https://santacruzwaterpoloclub.teamsnap.site/,verified_official,2026-07-27,Official Santa Cruz Water Polo Club website,
sd-eca,SD ECA,San Diego,,4,,missing,,,
seaside,Seaside,Central Coast,,4,,missing,,,
set,SET Water Polo Club,Orange County,,3,https://www.setwaterpolo.com/,present_unverified,,Existing WPI registry value,
sfv,SFV,Los Angeles,,2,,missing,,,
shaq,SHAQ,Peninsula / San Francisco,,11,https://sleepyhollowaquatics.com/,verified_official,2026-07-27,Official Sleepy Hollow Aquatics / SHAQ website,
sharks,Sharks,Peninsula / San Francisco,,4,,missing,,,
sj-foundation,SJ Foundation,Peninsula / San Francisco,,4,,missing,,,
skip,Skip,Central Valley,,1,,missing,,,
slap,SLAP,Out of State,"St. Louis, MO",2,,missing,,,
smac,Smac,Los Angeles,,1,,missing,,,
socal,SOCAL Water Polo,Orange County,,6,https://www.socalwaterpolo.org/,present_unverified,,Existing WPI registry value,
south-coast,South Coast Aquatics,Orange County,,10,https://www.southcoastaquatics.com/,present_unverified,,Existing WPI registry value,
south-valley,South Valley,Central Valley,"Visalia, CA",1,,missing,,,
southside,Southside,Out of State,"Rosharon, TX",3,,missing,,,
stanford,Stanford Water Polo Club,Peninsula / San Francisco,,16,https://www.stanfordwaterpoloclub.com/,present_unverified,,Existing WPI registry value,
supreme,Supreme,Los Angeles,,1,,missing,,,
surf-city,Surf City,Orange County,"Huntington Beach, CA",1,,missing,,,
swift,Swift,Out of State,"Palatine, IL",1,,missing,,,
t-hills,T Hills,Out of State,"Beaverton, OR",1,,missing,,,
team-vegas,Team Vegas,Out of State,"Las Vegas, NV",1,,missing,,,
temple-city,Temple City,Los Angeles,,5,,missing,,,
third-coast,Third Coast,Out of State,"Hudsonville, MI",4,,missing,,,
thunder,Thunder,Out of State,,8,,needs_verification,,,Generic Thunder identity requires club-family verification before assigning the Texas Thunder website.
titans,Titans,Los Angeles,,1,,missing,,,
topaz-tsunami,Topaz Tsunami,Out of State,"Las Vegas, NV",5,,missing,,,
tri-valley-tritons,Tri-Valley Tritons,East Bay,"Pleasanton, CA",4,,missing,,,
trilogy,Trilogy,San Diego,,1,,missing,,,
trojan,Trojan,Los Angeles,,7,https://www.gomotionapp.com/team/catwp/page/home,verified_official,2026-07-27,Official Trojan Water Polo website,
tsm,TSM,Los Angeles,,1,,missing,,,
turul,Turul,Central Valley,"Ripon, CA",2,,missing,,,
vanguard,Vanguard Aquatics,Orange County,,7,https://vanguardaquatics.com/,present_unverified,,Existing WPI registry value,
vegas-patriot,Vegas Patriot,Out of State,"Las Vegas, NV",1,,missing,,,
vegas-renegades,Vegas Renegades,Out of State,,1,,missing,,,
viking,Viking,Los Angeles,,4,,missing,,,
viper-pigeon,Viper Pigeon,Out of State,"Houston, TX",5,,missing,,,
visalia-united,Visalia United,Central Valley,"Visalia, CA",3,,missing,,,
wcac-united,Wcac United,Out of State,,8,https://www.gomotionapp.com/team/mawaac/page/home,verified_official,2026-07-27,Official Wissahickon Community Aquatic Club website,
west-valley,West Valley,Peninsula / San Francisco,"San Jose, CA",3,,missing,,,
whittier,Whittier,Los Angeles,,2,,missing,,,
wildkit,Wildkit,Out of State,"Evanston, IL",1,,missing,,,
wolverine,Wolverine,Out of State,"Ann Arbor, MI",2,,missing,,,
yeti,Yeti,Los Angeles,,1,,missing,,,
yolo,Yolo,East Bay,,1,,missing,,,
ypro,YPro,Out of State,"Brooklyn, NY",1,,missing,,,
