club,slug,region,locationLabel,rankedTeams,websiteStatus,reviewNote
Chargers,chargers,Orange County,"Cypress, CA",1,missing,
Cmac,cmac,Orange County,,2,missing,
Foothill,foothill,Orange County,,8,needs_verification,Possible duplicate/related identity with Foothill Club Water Polo; do not assign a website until the club family is reviewed.
Hieland,hieland,Orange County,,2,missing,
Laguna Beach,laguna-beach,Orange County,,3,missing,
Los Alamitos,los-alamitos,Orange County,,3,missing,
Ohana,ohana,Orange County,"Los Alamitos, CA",1,missing,
PAC Premier,pac-premier,Orange County,,1,missing,
Regency,regency,Orange County,,2,missing,
Sand Canyon,sand-canyon,Orange County,,4,missing,
Surf City,surf-city,Orange County,"Huntington Beach, CA",1,missing,
808,808,Out of State,"Honolulu, HI",1,missing,
Albuquerque,albuquerque,Out of State,"Albuquerque, NM",1,missing,
Aquatex,aquatex,Out of State,"Round Rock, TX",1,missing,
Bainbridge,bainbridge,Out of State,"Bainbridge Island, WA",2,missing,
Barcelona Lions,barcelona-lions,Out of State,"Barcelona, Spain",3,missing,
Brooklyn Hustle,brooklyn-hustle,Out of State,"Brooklyn, NY",6,needs_verification,"SportsEngine identifies nycap.nyc, but the exact Brooklyn Hustle landing page requires manual verification."
CT Premier,ct-premier,Out of State,,5,missing,
Capital,capital,Out of State,"Washington, DC",3,missing,
Cincinnati Marlins,cincinnati-marlins,Out of State,"Cincinnati, OH",1,missing,
Colorado,colorado,Out of State,"Denver, CO",3,missing,
Elmhurst,elmhurst,Out of State,"Elmhurst, IL",5,missing,
Great Lakes Aquatics,great-lakes-aquatics,Out of State,"Grand Rapids, MI",2,missing,
Hawaiian Islands,hawaiian-islands,Out of State,"Honolulu, HI",1,missing,
Hilo Grammaz,hilo-grammaz,Out of State,"Hilo, HI",1,missing,
Hilo Hammahz,hilo-hammahz,Out of State,"Hilo, HI",1,missing,
Innis Arden,innis-arden,Out of State,,2,missing,
Kearns,kearns,Out of State,"Kearns, UT",5,missing,
LOWPO,lowpo,Out of State,,5,missing,
Lokahi,lokahi,Out of State,"Honolulu, HI",2,missing,
Longhorn,longhorn,Out of State,"Austin, TX",5,missing,
Mesa,mesa,Out of State,"Mesa, AZ",2,missing,
Miami Riptides,miami-riptides,Out of State,"Miami, FL",1,missing,
Moose,moose,Out of State,"Liberty Township, OH",2,missing,
NIPC,nipc,Out of State,"Mundelein, IL",5,missing,
Narrows,narrows,Out of State,"Tacoma, WA",1,missing,
Navy,navy,Out of State,"Annapolis, MD",1,missing,
Nc Select,nc-select,Out of State,"Greensboro, NC",1,missing,
New Trier,new-trier,Out of State,"Winnetka, IL",1,missing,
Newberg,newberg,Out of State,"Newberg, OR",1,missing,
North Idaho,north-idaho,Out of State,"Coeur d'Alene, ID",2,missing,
Northwest,northwest,Out of State,,3,missing,
Nwc,nwc,Out of State,"Palatine, IL",1,missing,
Oahu,oahu,Out of State,"Honolulu, HI",2,missing,
Olympus,olympus,Out of State,"Salt Lake City, UT",1,missing,
Park City,park-city,Out of State,"Park City, UT",1,missing,
Princeton,princeton,Out of State,"Princeton, NJ",1,missing,
Puget Sound,puget-sound,Out of State,"Tacoma, WA",3,missing,
Punahou,punahou,Out of State,"Honolulu, HI",6,missing,
Rain City,rain-city,Out of State,"Seattle, WA",5,missing,
Rise,rise,Out of State,"Broomfield, CO",1,missing,
SLAP,slap,Out of State,"St. Louis, MO",2,missing,
Southside,southside,Out of State,"Rosharon, TX",3,missing,
Swift,swift,Out of State,"Palatine, IL",1,missing,
T Hills,t-hills,Out of State,"Beaverton, OR",1,missing,
Team Vegas,team-vegas,Out of State,"Las Vegas, NV",1,missing,
Third Coast,third-coast,Out of State,"Hudsonville, MI",4,missing,
Thunder,thunder,Out of State,,8,needs_verification,Generic Thunder identity requires club-family verification before assigning the Texas Thunder website.
Topaz Tsunami,topaz-tsunami,Out of State,"Las Vegas, NV",5,missing,
Vegas Patriot,vegas-patriot,Out of State,"Las Vegas, NV",1,missing,
Vegas Renegades,vegas-renegades,Out of State,,1,missing,
Viper Pigeon,viper-pigeon,Out of State,"Houston, TX",5,missing,
Wildkit,wildkit,Out of State,"Evanston, IL",1,missing,
Wolverine,wolverine,Out of State,"Ann Arbor, MI",2,missing,
YPro,ypro,Out of State,"Brooklyn, NY",1,missing,
Atherton,atherton,Peninsula / San Francisco,"Atherton, CA",1,missing,
Burlingame,burlingame,Peninsula / San Francisco,"Burlingame, CA",2,missing,
Farallon,farallon,Peninsula / San Francisco,,1,missing,
Mavericks,mavericks,Peninsula / San Francisco,,3,missing,
Mid Pen,mid-pen,Peninsula / San Francisco,,1,missing,
Pacific Valley Premier,pacific-valley-premier,Peninsula / San Francisco,"San Jose, CA",2,missing,
Pegasus,pegasus,Peninsula / San Francisco,,4,missing,
SJ Foundation,sj-foundation,Peninsula / San Francisco,,4,missing,
San Francisco,san-francisco,Peninsula / San Francisco,,2,missing,
San Jose Almaden,san-jose-almaden,Peninsula / San Francisco,"San Jose, CA",1,missing,
Sharks,sharks,Peninsula / San Francisco,,4,missing,
West Valley,west-valley,Peninsula / San Francisco,"San Jose, CA",3,missing,
Cal Rep,cal-rep,Sacramento,,4,missing,
Dart,dart,Sacramento,"Fairfield, CA",1,missing,
Placer,placer,Sacramento,"Rocklin, CA",1,missing,
Sacramento,sacramento,Sacramento,"Sacramento, CA",4,missing,
CV Premier,cv-premier,San Diego,,3,missing,
Carlsbad,carlsbad,San Diego,,5,missing,
Club Daygo,club-daygo,San Diego,,1,missing,
Del Mar,del-mar,San Diego,,1,missing,
Nsd Stars,nsd-stars,San Diego,,1,missing,
Rogue 619,rogue-619,San Diego,,1,missing,
SD ECA,sd-eca,San Diego,,4,missing,
Trilogy,trilogy,San Diego,,1,missing,
