slug,club,region,locationLabel,rankedTeams,website,websiteStatus,websiteUpdatedAt,websiteSource,reviewNote
navy,Navy,Out of State,"Annapolis, MD",1,https://navyacwaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
nc-select,Nc Select,Out of State,"Greensboro, NC",1,https://carolinawaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
new-trier,New Trier,Out of State,"Winnetka, IL",1,https://www.newtrieraquatics.org/mission/water-polo-programming,user_supplied,2026-07-28,User-provided club website audit,
newberg,Newberg,Out of State,"Newberg, OR",1,https://www.newbergwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
newport-beach,Newport Beach Water Polo,Orange County,,13,https://www.newportbeachwaterpolo.com/,present_unverified,,Existing WPI registry value,
nipc,NIPC,Out of State,"Mundelein, IL",5,https://www.patriotaquaticclub.captynsites.com/nipc-programs,user_supplied,2026-07-28,User-provided club website audit,
norcal,NorCal Aquatics,Peninsula / San Francisco,,10,https://www.norcal-aquatics.com/,present_unverified,,Existing WPI registry value,
norco,Norco,Inland Empire,,4,https://norcowaterpolo.waterpolocentral.net/,user_supplied,2026-07-28,User-provided club website audit,
north-idaho,North Idaho,Out of State,"Coeur d'Alene, ID",2,https://www.northidahowaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
north-irvine,North Irvine WPC,Orange County,,8,https://www.gomotionapp.com/team/niwpc/page/home,present_unverified,,Existing WPI registry value,
northwest,Northwest,Out of State,,3,https://www.northwestwaterpoloclub.com/,user_supplied,2026-07-28,User-provided club website audit,
nsd-stars,Nsd Stars,San Diego,,1,https://starswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
nwc,Nwc,Out of State,"Palatine, IL",1,https://nwcpolo.weebly.com/,user_supplied,2026-07-28,User-provided club website audit,
oahu,Oahu,Out of State,"Honolulu, HI",2,https://www.oahuwaterpoloclub.org/,user_supplied,2026-07-28,User-provided club website audit,
ohana,Ohana,Orange County,"Los Alamitos, CA",1,https://www.ohanawpa.org/,user_supplied,2026-07-28,User-provided club website audit,
olympus,Olympus,Out of State,"Salt Lake City, UT",1,https://www.olympusaquaticswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
ocwpc,Orange County Water Polo Club,Orange County,,5,https://ocwpc.com/,present_unverified,,Existing WPI registry value,
orwp,ORWP,Los Angeles,,6,https://www.orwp.us/,user_supplied,2026-07-28,User-provided club website audit,
pac-premier,PAC Premier,Orange County,,1,https://pacvalleypremierwpc.com/,user_supplied,2026-07-28,User-provided club website audit,
pacific-valley-premier,Pacific Valley Premier,Peninsula / San Francisco,"San Jose, CA",2,https://pacvalleypremierwpc.com/,user_supplied,2026-07-28,User-provided club website audit,
park-city,Park City,Out of State,"Park City, UT",1,https://www.parkcitywaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
pasadena-ac,Pasadena AC,Los Angeles,,1,https://www.pasadenaaquaticsclub.org/,user_supplied,2026-07-28,User-provided club website audit,
patriot,Patriot Aquatics,Orange County,,9,https://patriotaquatics.org/,present_unverified,,Existing WPI registry value,
pegasus,Pegasus,Peninsula / San Francisco,,4,https://www.pegasuswaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
placer,Placer,Sacramento,"Rocklin, CA",1,https://www.placerwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
praetorian,Praetorian,Central Valley,,7,https://www.praetorianwaterpolo.com/,verified_official,,Official Praetorian Water Polo Club website,
pride,Pride Water Polo,Inland Empire,,2,https://www.pridewaterpolo.com/page/home,present_unverified,,Existing WPI registry value,
princeton,Princeton,Out of State,"Princeton, NJ",1,https://goprincetontigers.com/sports/mens-water-polo,user_supplied,2026-07-28,User-provided club website audit,
puget-sound,Puget Sound,Out of State,"Tacoma, WA",3,https://www.pugetsoundpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
punahou,Punahou,Out of State,"Honolulu, HI",6,https://www.punahou.edu/athletics/sports-programs/water-polo,user_supplied,2026-07-28,User-provided club website audit,
pv-wpc,PV WPC,Los Angeles,,5,https://www.ovaquaticsclub.com/,user_supplied,2026-07-28,User-provided club website audit,
rain-city,Rain City,Out of State,"Seattle, WA",5,https://www.raincitypolo.com/,user_supplied,2026-07-28,User-provided club website audit,
rancho-tsunami,Rancho Tsunami Water Polo Club,Inland Empire,,6,https://www.ranchotsunami.com/,present_unverified,,Existing WPI registry value,
regency,Regency,Orange County,,2,https://www.regencywaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
rise,Rise,Out of State,"Broomfield, CO",1,https://www.risewaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
rogue-619,Rogue 619,San Diego,,1,https://sites.google.com/view/rogue619waterpolo/home,user_supplied,2026-07-28,User-provided club website audit,
rose-bowl,Rose Bowl Water Polo Club,Los Angeles,,9,https://rosebowlaquatics.org/water-polo,present_unverified,,Existing WPI registry value,
route-66,Route 66,Inland Empire,,2,https://route66aquatics.com/waterpolo/,user_supplied,2026-07-28,User-provided club website audit,
sacramento,Sacramento,Sacramento,"Sacramento, CA",4,http://www.sacpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
san-clemente,San Clemente,Orange County,,10,https://sanclementewaterpolo.teamsnapsites.com/,verified_official,,Official San Clemente Water Polo Club website,
sd-dons,San Diego Dons,San Diego,,9,https://sddonspolo.com/,present_unverified,,Existing WPI registry value,
san-diego-shores,San Diego Shores,San Diego,,15,https://sdshores.org/,verified_official,,Official San Diego Shores club website,
san-francisco,San Francisco,Peninsula / San Francisco,,2,https://www.sfwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
san-jose-almaden,San Jose Almaden,Peninsula / San Francisco,"San Jose, CA",1,https://sjawaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
san-jose-express,San Jose Express,Peninsula / San Francisco,,10,https://www.sanjoseexpress.org/,verified_official,,Official San Jose Express Aquatics website,
sand-canyon,Sand Canyon,Orange County,,4,https://www.sandcanyonwpc.org/page/home,user_supplied,2026-07-28,User-provided club website audit,
santa-barbara,Santa Barbara Water Polo Club,Central Coast,,13,https://sbwaterpolo.com/,present_unverified,,Existing WPI registry value,
santa-cruz,Santa Cruz,Central Coast,,7,https://santacruzwaterpoloclub.teamsnap.site/,verified_official,,Official Santa Cruz Water Polo Club website,
sd-eca,SD ECA,San Diego,,4,https://sites.google.com/view/sdeastcountyaquatics/home,user_supplied,2026-07-28,User-provided club website audit,
seaside,Seaside,Central Coast,,4,https://www.seasidepolo.club/,user_supplied,2026-07-28,User-provided club website audit,
set,SET Water Polo Club,Orange County,,3,https://www.setwaterpolo.com/,present_unverified,,Existing WPI registry value,
sfv,SFV,Los Angeles,,2,https://www.sfvwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
shaq,SHAQ,Peninsula / San Francisco,,11,https://sleepyhollowaquatics.com/,verified_official,,Official Sleepy Hollow Aquatics / SHAQ website,
sharks,Sharks,Peninsula / San Francisco,,4,https://tpcmsharks.teamsnapsites.com/,user_supplied,2026-07-28,User-provided club website audit,
sj-foundation,SJ Foundation,Peninsula / San Francisco,,4,https://www.sanjosewpf.com/,user_supplied,2026-07-28,User-provided club website audit,
skip,Skip,Central Valley,,1,https://www.gomotionapp.com/team/ccmsst/page/skip-water-polo,user_supplied,2026-07-28,User-provided club website audit,
slap,SLAP,Out of State,"St. Louis, MO",2,https://www.stlouisareapolo.com/,user_supplied,2026-07-28,User-provided club website audit,
smac,Smac,Los Angeles,,1,https://www.sanmateoaquaticsclub.com/,user_supplied,2026-07-28,User-provided club website audit,
socal,SOCAL Water Polo,Orange County,,6,https://www.socalwaterpolo.org/,present_unverified,,Existing WPI registry value,
south-coast,South Coast Aquatics,Orange County,,10,https://www.southcoastaquatics.com/,present_unverified,,Existing WPI registry value,
south-valley,South Valley,Central Valley,"Visalia, CA",1,https://www.sovawaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
southside,Southside,Out of State,"Rosharon, TX",3,https://www.southsidewpc.com/,user_supplied,2026-07-28,User-provided club website audit,
stanford,Stanford Water Polo Club,Peninsula / San Francisco,,16,https://www.stanfordwaterpoloclub.com/,present_unverified,,Existing WPI registry value,
supreme,Supreme,Los Angeles,,1,https://www.supremewaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
surf-city,Surf City,Orange County,"Huntington Beach, CA",1,https://www.surfcitywpc.com/,user_supplied,2026-07-28,User-provided club website audit,
swift,Swift,Out of State,"Palatine, IL",1,https://www.gomotionapp.com/team/ilswift/page/-polo-/missionvision,user_supplied,2026-07-28,User-provided club website audit,
t-hills,T Hills,Out of State,"Beaverton, OR",1,https://tualatinhillswaterpoloclub.teamsnap.site/,user_supplied,2026-07-28,User-provided club website audit,
team-vegas,Team Vegas,Out of State,"Las Vegas, NV",1,https://www.teamvegaswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
temple-city,Temple City,Los Angeles,,5,https://www.tcaquatics.com/,user_supplied,2026-07-28,User-provided club website audit,
third-coast,Third Coast,Out of State,"Hudsonville, MI",4,https://www.thirdcoastaquatics.com/,user_supplied,2026-07-28,User-provided club website audit,
thunder,Thunder,Out of State,,8,https://www.thunderpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
titans,Titans,Los Angeles,,1,https://titanswaterpoloclub.com/,user_supplied,2026-07-28,User-provided club website audit,
topaz-tsunami,Topaz Tsunami,Out of State,"Las Vegas, NV",5,https://topazwaterpoloclub.sportngin.com/,user_supplied,2026-07-28,User-provided club website audit,
tri-valley-tritons,Tri-Valley Tritons,East Bay,"Pleasanton, CA",4,https://www.tritonaquatics.org/,user_supplied,2026-07-28,User-provided club website audit,
trilogy,Trilogy,San Diego,,1,https://trilogywaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
trojan,Trojan,Los Angeles,,7,https://www.gomotionapp.com/team/catwp/page/home,verified_official,,Official Trojan Water Polo website,
tsm,TSM,Los Angeles,,1,https://tsmaquatics.org/,user_supplied,2026-07-28,User-provided club website audit,
turul,Turul,Central Valley,"Ripon, CA",2,https://riponaquatics.com/programs/,user_supplied,2026-07-28,User-provided club website audit,
vanguard,Vanguard Aquatics,Orange County,,7,https://vanguardaquatics.com/,present_unverified,,Existing WPI registry value,
vegas-patriot,Vegas Patriot,Out of State,"Las Vegas, NV",1,,missing,2026-07-28,User-provided club website audit,No website URL was supplied.
vegas-renegades,Vegas Renegades,Out of State,,1,https://www.renegadeswaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
viking,Viking,Los Angeles,,4,https://www.gomotionapp.com/team/cava/page/water-polo-groups,user_supplied,2026-07-28,User-provided club website audit,
viper-pigeon,Viper Pigeon,Out of State,"Houston, TX",5,https://www.vpwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
visalia-united,Visalia United,Central Valley,"Visalia, CA",3,https://visaliaunitedwpc.com/,user_supplied,2026-07-28,User-provided club website audit,
wcac-united,Wcac United,Out of State,,8,https://www.gomotionapp.com/team/mawaac/page/home,verified_official,,Official Wissahickon Community Aquatic Club website,
west-valley,West Valley,Peninsula / San Francisco,"San Jose, CA",3,https://www.westvalleywaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
whittier,Whittier,Los Angeles,,2,https://www.whittierwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
wildkit,Wildkit,Out of State,"Evanston, IL",1,https://wildkitpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
wolverine,Wolverine,Out of State,"Ann Arbor, MI",2,https://wolverinewaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
yeti,Yeti,Los Angeles,,1,https://yetiwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
yolo,Yolo,East Bay,,1,https://yolopolo.org/,user_supplied,2026-07-28,User-provided club website audit,
ypro,YPro,Out of State,"Brooklyn, NY",1,https://www.yprowaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
