"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","","","Teams","","","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","GOLDEN WEST COLLEGE 1","29","L1-PACIFIC VALLEY PREMIER","1","L5-LAMORINDA BRENTWOOD","12","49","","16GX-029","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","GOLDEN WEST COLLEGE 1","41","W17-SAN CLEMENTE","17","W21-ALAMEDA","2","W-ag_N1","53","16GX-041","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","GOLDEN WEST COLLEGE 1","45","L17-BURLINGAME","6","L21-TURUL","15","57","","16GX-045","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","GOLDEN WEST COLLEGE 1","37","A1(1)-REGENCY","14","A2(24)-ROSE BOWL BLACK","2","bracket","","16GX-037","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","GOLDEN WEST COLLEGE 1","49","2nd_D-SOUTH VALLEY","4","W29-LAMORINDA BRENTWOOD","10","ag_R3","","16GX-049","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","GOLDEN WEST COLLEGE 1","53","L41-ALAMEDA","16","3rd_A-ROSE BOWL BLACK","4","ag_T3","","16GX-053","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","GOLDEN WEST COLLEGE 1","57","2nd_A-LEGACY ORANGE","18","W45-TURUL","2","ag_U3","","16GX-057","","","","","","","","","","","","","",""
"","","","MARINA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","MARINA HS","4","10-WCAC UNITED A","13","39-TRI VALLEY TRITONS","2","28","32","16GX-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","MARINA HS","8","15-LAMORINDA B","18","34-LOYOLA VENICE","2","28","32","16GX-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","MARINA HS","12","11-SOCAL BLACK","9","38-LB SHORE","5","36","40","16GX-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","MARINA HS","16","14-LA JOLLA UNITED","17","35-SACRAMENTO ORANGE","3","36","40","16GX-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","MARINA HS","20","12-OAHU","10","37-SAN JOSE EXPRESS GOLD","0","44","48","16GX-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","MARINA HS","24","13-STANFORD B","13","36-SHAQ WHITE","1","44","48","16GX-024","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","MARINA HS","28","W4-WCAC UNITED A","4","W8-LAMORINDA B","16","ag_N3","51","16GX-028","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","MARINA HS","32","L4-TRI VALLEY TRITONS","10.4","L8-LOYOLA VENICE","10.5","52","","16GX-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","MARINA HS","36","W12-SOCAL BLACK","12","W16-LA JOLLA UNITED","4","ag_O3","","16GX-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","MARINA HS","40","L12-LB SHORE","19","L16-SACRAMENTO ORANGE","4","56","","16GX-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","MARINA HS","44","W20-OAHU","1","W24-STANFORD B","18","ag_P3","56","16GX-044","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","MARINA HS","48","L20-SAN JOSE EXPRESS GOLD","0","L24-SHAQ WHITE","8","60","","16GX-048","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","MARINA HS","52","2nd_G-CAL REPUBLIC","12","W32-LOYOLA VENICE","2","ag_T2","","16GX-052","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","MARINA HS","56","L44-OAHU","4","W40-LB SHORE","12","ag_R1","","16GX-056","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","MARINA HS","60","L36-LA JOLLA UNITED","9","W48-SHAQ WHITE","7","ag_S1","","16GX-060","","","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","bracket","PORTOLA HS 1","3","G1(7)-CAL REPUBLIC","8","G3(31)-CHAWP BLUE","5","bracket","","16GX-003","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","PORTOLA HS 1","11","8-COMMERCE","10","41-MID VALLEY WHITE","1","35","39","16GX-011","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","PORTOLA HS 1","15","17-AMERICAN RIVER","7","32-CC UNITED","10","35","39","16GX-015","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","PORTOLA HS 1","19","9-ASPHALT GREEN","18","40-TRI VALLEY","2","43","47","16GX-019","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","bracket","PORTOLA HS 1","27","G2(18)-SACRAMENTO BLACK","11","G3(31)-CHAWP BLUE","6","bracket","","16GX-027","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","PORTOLA HS 1","23","16-FOOTHILL","7","33-SURF CITY","5","43","47","16GX-023","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","PORTOLA HS 1","35","W11-COMMERCE","10","W15-CC UNITED","6","ag_M2","59","16GX-035","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","PORTOLA HS 1","39","L11-MID VALLEY WHITE","3","L15-AMERICAN RIVER","15","55","","16GX-039","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","bracket","PORTOLA HS 1","31","G1(7)-CAL REPUBLIC","5","G2(18)-SACRAMENTO BLACK","6","bracket","","16GX-031","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","PORTOLA HS 1","43","W19-ASPHALT GREEN","11","W23-FOOTHILL","6","ag_M3","55","16GX-043","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","PORTOLA HS 1","47","L19-TRI VALLEY","4","L23-SURF CITY","11","59","","16GX-047","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","PORTOLA HS 1","51","L28-WCAC UNITED A","6","3rd_G-CHAWP BLUE","7","ag_T1","","16GX-051","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","PORTOLA HS 1","55","L43-FOOTHILL","11","W39-AMERICAN RIVER","7","ag_U1","","16GX-055","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","PORTOLA HS 1","59","L35-CC UNITED","4","W47-SURF CITY","11","ag_U2","","16GX-059","","","","","","","","","","","","","",""
"","","","CAPISTRANO VALLEY HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","bracket","CAPISTRANO VALLEY HS 1","2","D1 (4)-CORONA DEL MAR","16","D3(28)-WCAC UNITED B","2","bracket","","16GX-002","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","CAPISTRANO VALLEY HS 1","10","5-ROSE BOWL RED A","12","43-SAN FRANCISCO WARRIORS","1","34","38","16GX-010","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","CAPISTRANO VALLEY HS 1","14","20-MIDVALLEY BLUE","15","29-SOUTH COAST WHITE","8","34","38","16GX-014","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","CAPISTRANO VALLEY HS 1","18","6-TRILOGY","16","42-NORCAL TEAL","2","42","46","16GX-018","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","bracket","CAPISTRANO VALLEY HS 1","6","D2(21)-SOUTH VALLEY","7.4","D3(28)-WCAC UNITED B","7.2","bracket","","16GX-006","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","CAPISTRANO VALLEY HS 1","22","19-BIG VALLEY","7","30-SHARKS","12","42","46","16GX-022","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","CAPISTRANO VALLEY HS 1","34","W10-ROSE BOWL RED A","11","W14-MIDVALLEY BLUE","9","ag_P2","58","16GX-034","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","CAPISTRANO VALLEY HS 1","38","L10-SAN FRANCISCO WARRIORS","7","L14-SOUTH COAST WHITE","16","54","","16GX-038","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","bracket","CAPISTRANO VALLEY HS 1","26","D1 (4)-CORONA DEL MAR","17","D2(21)-SOUTH VALLEY","2","bracket","","16GX-026","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","CAPISTRANO VALLEY HS 1","42","W18-TRILOGY","10","W22-SHARKS","5","ag_O2","54","16GX-042","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","CAPISTRANO VALLEY HS 1","46","L18-NORCAL TEAL","6","L22-BIG VALLEY","11","58","","16GX-046","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","CAPISTRANO VALLEY HS 1","50","L25-680 BLUE","11","3rd_D-WCAC UNITED B","5","ag_S3","","16GX-050","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","CAPISTRANO VALLEY HS 1","54","L42-SHARKS","10","W38-SOUTH COAST WHITE","12","ag_S2","","16GX-054","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","CAPISTRANO VALLEY HS 1","58","L34-MIDVALLEY BLUE","21","W46-BIG VALLEY","5","ag_R2","","16GX-058","","","","","","","","","","","","","",""
"","","6 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_N","ag_O","","","","","","","","","","","","","","","","","","","","","",""
"","","W41-SAN CLEMENTE","W25-SET","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_G-SACRAMENTO BLACK","W42-TRILOGY","","","","","","","","","","","","","","","","","","","","","",""
"","","W28-LAMORINDA B","W36-SOCAL BLACK","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_S","ag_T","","","","","","","","","","","","","","","","","","","","","",""
"","","W60-LA JOLLA UNITED","W51-CHAWP BLUE","","","","","","","","","","","","","","","","","","","","","",""
"","","W54-SOUTH COAST WHITE","W52-CAL REPUBLIC","","","","","","","","","","","","","","","","","","","","","",""
"","","W50-680 BLUE","W53-ALAMEDA","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_N","bz_O","","","","","","","","","","","","","","","","","","","","","",""
"","","L57-TURUL","L49-SOUTH VALLEY","","","","","","","","","","","","","","","","","","","","","",""
"","","L51-WCAC UNITED A","L58-BIG VALLEY","","","","","","","","","","","","","","","","","","","","","",""
"","","L52-LOYOLA VENICE","L56-OAHU","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_S","bz_T","","","","","","","","","","","","","","","","","","","","","",""
"","","L40-SACRAMENTO ORANGE","L32-TRI VALLEY TRITONS","","","","","","","","","","","","","","","","","","","","","",""
"","","L39-MID VALLEY WHITE","L47-TRI VALLEY","","","","","","","","","","","","","","","","","","","","","",""
"","","L29-PACIFIC VALLEY PREMIER","L45-BURLINGAME","","","","","","","","ag_","","","","","","","","","","","","","",""
"","","","","","","","","","","","bz_","","","","","","","","","","","","","",""
"","","","MARINA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","MARINA HS","64","ag_P2-ROSE BOWL RED A","6.2","ag_P3-STANFORD B","6.3","RR","","16GX-064","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","MARINA HS","68","bz_T1-TRI VALLEY TRITONS","8","bz_T2-TRI VALLEY","12","RR","","16GX-068","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","MARINA HS","72","ag_T1-CHAWP BLUE","3","ag_T2-CAL REPUBLIC","6","RR","","16GX-072","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","MARINA HS","76","bz_P2-SHARKS","6","bz_P3-SHAQ WHITE","7","RR","","16GX-076","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","MARINA HS","80","ag_P1-CORONA DEL MAR","6","ag_P3-STANFORD B","9","RR","","16GX-080","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","MARINA HS","84","bz_T1-TRI VALLEY TRITONS","10","bz_T3-BURLINGAME","7","RR","","16GX-084","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","MARINA HS","88","ag_T1-CHAWP BLUE","7","ag_T3-ALAMEDA","8","RR","","16GX-088","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","MARINA HS","92","bz_P1-WCAC UNITED B","6","bz_P3-SHAQ WHITE","8","RR","","16GX-092","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","MARINA HS","96","ag_P1-CORONA DEL MAR","12.3","ag_P2-ROSE BOWL RED A","12.2","RR","","16GX-096","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","MARINA HS","100","bz_T2-TRI VALLEY","8","bz_T3-BURLINGAME","3","RR","","16GX-100","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","MARINA HS","104","ag_T2-CAL REPUBLIC","12","ag_T3-ALAMEDA","3","RR","","16GX-104","","ag_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","MARINA HS","108","bz_P1-WCAC UNITED B","5","bz_P2-SHARKS","9","RR","","16GX-108","","bz_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","MARINA HS","112","3rd_ag_P-ROSE BOWL RED A","10","1st_ag_T-CAL REPUBLIC","1","126","137","16GX-112","","ag_play-in","","","","","","","","","","","",""
"19-Jul","6:40 PM","play-in","MARINA HS","116","3rd_bz_P-WCAC UNITED B","5","1st_bz_T-TRI VALLEY","3","128","","16GX-116","","bz_play-in","","","","","","","","","","","",""
"","","","CAPISTRANO VALLEY HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","CAPISTRANO VALLEY HS 1","63","ag_O2-TRILOGY","4","ag_O3-SOCAL BLACK","5","RR","","16GX-063","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","CAPISTRANO VALLEY HS 1","71","ag_U1-FOOTHILL","10","ag_U2-SURF CITY","6","RR","","16GX-071","","ag_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","CAPISTRANO VALLEY HS 1","75","bz_O2-BIG VALLEY","8","bz_O3-OAHU","7","RR","","16GX-075","","bz_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","CAPISTRANO VALLEY HS 1","79","ag_O1-SET","11","ag_O3-SOCAL BLACK","9","RR","","16GX-079","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","CAPISTRANO VALLEY HS 1","87","ag_U1-FOOTHILL","5","ag_U3-LEGACY ORANGE","9","RR","","16GX-087","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","CAPISTRANO VALLEY HS 1","91","bz_O1-SOUTH VALLEY","6","bz_O3-OAHU","10","RR","","16GX-091","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","CAPISTRANO VALLEY HS 1","95","ag_O1-SET","17","ag_O2-TRILOGY","6","RR","","16GX-095","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","CAPISTRANO VALLEY HS 1","103","ag_U2-SURF CITY","6","ag_U3-LEGACY ORANGE","11","RR","","16GX-103","","ag_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","CAPISTRANO VALLEY HS 1","107","bz_O1-SOUTH VALLEY","7","bz_O2-BIG VALLEY","6","RR","","16GX-107","","bz_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","play-in","CAPISTRANO VALLEY HS 1","111","3rd_ag_O-TRILOGY","5","1st_ag_U-LEGACY ORANGE","13","125","138","16GX-111","","ag_play-in","","","","","","","","","","","",""
"19-Jul","5:00 PM","play-in","CAPISTRANO VALLEY HS 1","115","2nd_bz_R-SAN FRANCISCO WARRIORS	","13","3rd_bz_S-SACRAMENTO ORANGE	","8","bz_W2","","16GX-115","","bz_play-in","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","PORTOLA HS 1","62","ag_N2-SACRAMENTO BLACK","4","ag_N3-LAMORINDA B","15","RR","","16GX-062","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","PORTOLA HS 1","66","bz_R1-SAN JOSE EXPRESS GOLD","3","bz_R2-NORCAL TEAL","2","RR","","16GX-066","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","PORTOLA HS 1","70","ag_R1-LB SHORE","5","ag_R2-MIDVALLEY BLUE","9","RR","","16GX-070","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","PORTOLA HS 1","74","bz_N2-WCAC UNITED A","10","bz_N3-LOYOLA VENICE","3","RR","","16GX-074","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","PORTOLA HS 1","78","ag_N1-SAN CLEMENTE","14","ag_N3-LAMORINDA B","5","RR","","16GX-078","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","PORTOLA HS 1","82","bz_R1-SAN JOSE EXPRESS GOLD","3","bz_R3-SAN FRANCISCO WARRIORS","2","RR","","16GX-082","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","PORTOLA HS 1","86","ag_R1-LB SHORE","12","ag_R3-LAMORINDA BRENTWOOD","3","RR","","16GX-086","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","PORTOLA HS 1","90","bz_N1-TURUL","13.1","bz_N3-LOYOLA VENICE","13.3","RR","","16GX-090","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","PORTOLA HS 1","94","ag_N1-SAN CLEMENTE","17","ag_N2-SACRAMENTO BLACK","5","RR","","16GX-094","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","PORTOLA HS 1","98","bz_R2-NORCAL TEAL","7","bz_R3-SAN FRANCISCO WARRIORS","8","RR","","16GX-098","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","PORTOLA HS 1","102","ag_R2-MIDVALLEY BLUE","17","ag_R3-LAMORINDA BRENTWOOD","7","RR","","16GX-102","","ag_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","PORTOLA HS 1","106","bz_N1-TURUL","3","bz_N2-WCAC UNITED A","16","RR","","16GX-106","","bz_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","PORTOLA HS 1","110","3rd_ag_N-SACRAMENTO BLACK","11","1st_ag_R-MIDVALLEY BLUE","13","129","133","16GX-110","","ag_play-in","","","","","","","","","","","",""
"19-Jul","6:40 PM","play-in","PORTOLA HS 1","114","3rd_bz_N-TURUL","5","1st_bz_R-SAN JOSE EXPRESS GOLD","8","131","","16GX-114","","bz_play-in","","","","","","","","","","","",""
"19-Jul","7:30 PM","play-in","PORTOLA HS 1","83","2nd_bz_T-TRI VALLEY TRITONS","7","3rd_bz_R-NORCAL TEAL","4","bz_W3","","16GX-083","","bz_play-in","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","GOLDEN WEST COLLEGE 1","61","ag_M2-COMMERCE","3","ag_M3-ASPHALT GREEN","12","RR","","16GX-061","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","GOLDEN WEST COLLEGE 1","65","bz_S1-SACRAMENTO ORANGE","5","bz_S2-MID VALLEY WHITE","7","RR","","16GX-065","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","GOLDEN WEST COLLEGE 1","69","ag_S1-LA JOLLA UNITED","5","ag_S2-SOUTH COAST WHITE","6","RR","","16GX-069","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","GOLDEN WEST COLLEGE 1","73","bz_M2-AMERICAN RIVER","8","bz_M3-CC UNITED","7","RR","","16GX-073","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","GOLDEN WEST COLLEGE 1","77","ag_M1(1st_A)-REGENCY","8","ag_M3-ASPHALT GREEN","4","RR","","16GX-077","","ag_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","GOLDEN WEST COLLEGE 1","81","bz_S1-SACRAMENTO ORANGE","8","bz_S3-PACIFIC VALLEY PREMIER","11","RR","","16GX-081","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","GOLDEN WEST COLLEGE 1","85","ag_S1-LA JOLLA UNITED","4","ag_S3-680 BLUE","10","RR","","16GX-085","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","GOLDEN WEST COLLEGE 1","89","bz_M1-ROSE BOWL BLACK","5","bz_M3-CC UNITED","9","RR","","16GX-089","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","GOLDEN WEST COLLEGE 1","93","ag_M1(1st_A)-REGENCY","19","ag_M2-COMMERCE","9","RR","","16GX-093","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","GOLDEN WEST COLLEGE 1","97","bz_S2-MID VALLEY WHITE","0","bz_S3-PACIFIC VALLEY PREMIER","2","RR","","16GX-097","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","GOLDEN WEST COLLEGE 1","101","ag_S2-SOUTH COAST WHITE","9","ag_S3-680 BLUE","5","RR","","16GX-101","","ag_Group","","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","GOLDEN WEST COLLEGE 1","105","bz_M1-ROSE BOWL BLACK","3","bz_M2-AMERICAN RIVER","12","RR","","16GX-105","","bz_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","GOLDEN WEST COLLEGE 1","109","3rd_ag_M-COMMERCE","11","1st_ag_S-SOUTH COAST WHITE","13","130","134","16GX-109","","ag_play-in","","","","","","","","","","","",""
"19-Jul","6:40 PM","play-in","GOLDEN WEST COLLEGE 1","113","3rd_bz_M-ROSE BOWL BLACK","2","1st_bz_S-PACIFIC VALLEY PREMIER","1","132","","16GX-113","","bz_play-in","","","","","","","","","","","",""
"19-Jul","7:30 PM","play-in","GOLDEN WEST COLLEGE 1","67","2nd_bz_S-MID VALLEY WHITE","9","3rd_bz_T-BURLINGAME","7","bz_V3","","16GX-067","","bz_play-in","","","","","","","","","","","",""
"","","7 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Mon, July 20","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","PORTOLA HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","21-24 RR","PORTOLA HS 1","117","3rd_ag_T-CHAWP BLUE","6","3rd_ag_S-LA JOLLA UNITED","12","ag_21-24 RR","","16GX-117","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","9:00 AM","1-2 v 3-4","PORTOLA HS 1","121","1st_ag_N-SAN CLEMENTE","18","1st_ag_O-SET","8","174","161","16GX-121","","ag_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","PORTOLA HS 1","125","2nd_ag_P-CORONA DEL MAR","4","W111-LEGACY ORANGE","8","145","149","16GX-125","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","PORTOLA HS 1","129","2nd_ag_M-ASPHALT GREEN","6","W110-MIDVALLEY BLUE","13","145","149","16GX-129","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","13-20 qtr","PORTOLA HS 1","133","L110-SACRAMENTO BLACK","5","2nd_ag_U-FOOTHILL","13","153","157","16GX-133","","ag_13-20 qtr","","","","","","","","","","","",""
"20-Jul","1:00 PM","13-20 qtr","PORTOLA HS 1","137","L112-CAL REPUBLIC","11","2nd_ag_S-680 BLUE","7","153","157","16GX-137","","ag_13-20 qtr","","","","","","","","","","","",""
