"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","GARDEN GROVE HS","31","W11-VIKING","13","W15-NEWPORT BEACH WHITE","7","ag_M2","51","14GX-031","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","GARDEN GROVE HS","35","G1(7)-SEASIDE","4","G2(18)-GOLD COAST","17","bracket ","","14GX-035","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","GARDEN GROVE HS","39","I1(9)-SANTA BARBARA WPC B","14","I2(16)-SD SHORES WHITE","3","bracket ","","14GX-039","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","GARDEN GROVE HS","43","L11-CHAWP BLUE","15","L15-TROJAN","7","59","","14GX-043","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","GARDEN GROVE HS","51","L31-NEWPORT BEACH WHITE","17","3rd_G-TURUL","2","ag_U2","","14GX-051","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","GARDEN GROVE HS","55","2nd_J-NORCAL","8","3rd_I-SD SHORES WHITE","4","ag_T1","","14GX-055","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","GARDEN GROVE HS","59","2nd_G-SEASIDE","16","W43-CHAWP BLUE","3","ag_T2","","14GX-059","","","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","BECKMAN HS 1","4","K1(11)-680 BLUE","9","K3(35)-HONOLULU","5","bracket ","","14GX-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","BECKMAN HS 1","8","J1(10)-PAC PREMIER","17","J3(34)-SAN JOSE EXPRESS GOLD","5","bracket ","","14GX-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","BECKMAN HS 1","12","12-PATRIOT RED","11","37-WCAC UNITED","6","32","44","14GX-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","BECKMAN HS 1","16","13-SHARKS","7","36-FOOTHILL BLACK","3","32","44","14GX-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","BECKMAN HS 1","20","K2(14)-ASPHALT GREEN","8.4","K3(35)-HONOLULU","8.3","bracket ","","14GX-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","BECKMAN HS 1","24","J2(15)-NORCAL","12","J3(34)-SAN JOSE EXPRESS GOLD","4","bracket ","","14GX-024","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","BECKMAN HS 1","32","W12-PATRIOT RED","4","W16-SHARKS","13","ag_P3","52","14GX-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","BECKMAN HS 1","36","K1(11)-680 BLUE","12","K2(14)-ASPHALT GREEN","2","bracket ","","14GX-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","BECKMAN HS 1","40","J1(10)-PAC PREMIER","12","J2(15)-NORCAL","4","bracket ","","14GX-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","BECKMAN HS 1","44","L12-WCAC UNITED","6","L16-FOOTHILL BLACK","9","60","","14GX-044","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","BECKMAN HS 1","52","L32-PATRIOT RED","7.4","3rd_K-HONOLULU","7.5","ag_R1","","14GX-052","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","BECKMAN HS 1","56","2nd_I-CT PREMIER","7","3rd_J-SAN JOSE EXPRESS GOLD","5","ag_U1","","14GX-056","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","BECKMAN HS 1","60","2nd_K-ASPHALT GREEN","8","W44-FOOTHILL BLACK","6","ag_S1","","14GX-060","","","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","VILLA PARK HS","2","D1(4)-SET","7","D3(28)-STANFORD C","6","bracket","","14GX-002","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","VILLA PARK HS","6","E1(5)-LOS ALAMITOS","6","E3(29)-MID VALLEY","5","bracket ","","14GX-006","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","VILLA PARK HS","10","6-SAN JOSE EXPRESS BLUE","16","39-CHULA VISTA PREMIER","3","26","34","14GX-010","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","VILLA PARK HS","14","19-FOOTHILL RED","18","30-CLOVIS B","0","26","34","14GX-014","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","VILLA PARK HS","18","D2(21)-ECA","4","D3(28)-STANFORD C","1","bracket","","14GX-018","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","VILLA PARK HS","22","E2(20)-BULLDOG","4","E3(29)-MID VALLEY","13","bracket ","","14GX-022","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","VILLA PARK HS","26","W10-SAN JOSE EXPRESS BLUE","11","W14-FOOTHILL RED","8","ag_O2","54","14GX-026","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","VILLA PARK HS","30","D1(4)-SET","8","D2(21)-ECA","5","bracket ","","14GX-030","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","VILLA PARK HS","34","L10-CHULA VISTA PREMIER","11","L14-CLOVIS B","2","58","","14GX-034","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","VILLA PARK HS","38","E1(5)-LOS ALAMITOS","15","E2(20)-BULLDOG","5","bracket ","","14GX-038","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","VILLA PARK HS","50","2nd_C-NORTH IRVINE","7","3rd_D-STANFORD C","4","ag_S3","","14GX-050","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","VILLA PARK HS","54","L26-FOOTHILL RED","15","3rd_E-BULLDOG","4","ag_S2","","14GX-054","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","VILLA PARK HS","58","2nd_E-MID VALLEY","14","W34-CHULA VISTA PREMIER","8","ag_R2","","14GX-058","","","","","","","","","","","","","",""
"","","","ORANGE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","ORANGE HS","1","C1(3)-PALOS VERDES","12","C3(27)-NORTH IRVINE","4","bracket ","","14GX-001","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","ORANGE HS","5","B1(2)-ROSE BOWL","10","B3(26)-PLACER","3","bracket ","","14GX-005","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","ORANGE HS","9","A1(1)-SOCAL","4","A3(25)-BACK BAY","3","bracket ","","14GX-009","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","ORANGE HS","13","C2(22)-PRAETORIAN","7","C3(27)-NORTH IRVINE","15","bracket ","","14GX-013","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","ORANGE HS","17","B2(23)-SOUTH COAST WHITE","3","B3(26)-PLACER","10","bracket ","","14GX-017","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","ORANGE HS","21","A2(24)-ALAMEDA","6","A3(25)-BACK BAY","10","bracket ","","14GX-021","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","ORANGE HS","25","C1(3)-PALOS VERDES","13","C2(22)-PRAETORIAN","3","bracket ","","14GX-025","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","ORANGE HS","33","B1(2)-ROSE BOWL","20","B2(23)-SOUTH COAST WHITE","9","bracket ","","14GX-033","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","ORANGE HS","37","A1(1)-SOCAL","13","A2(24)-ALAMEDA","5","bracket ","","14GX-037","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","ORANGE HS","49","2nd_D-ECA","12","3rd_C-PRAETORIAN","7","ag_R3","","14GX-049","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","ORANGE HS","53","2nd_B-PLACER","8","3rd_A-ALAMEDA","4","ag_T3","","14GX-053","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","ORANGE HS","57","2nd_A-BACK BAY","16","3rd_B-SOUTH COAST WHITE","0","ag_U3","","14GX-057","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_N","ag_O","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_B-ROSE BOWL","1st_C-PALOS VERDES","","","","ag_M1(1stA)-SOCAL","","","","","","","","","","","","","","","","","",""
"","","1st_G-GOLD COAST","W26-SAN JOSE EXPRESS BLUE","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_J-PAC PREMIER","1st_K-680 BLUE","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_S","ag_T","","","","","","","","","","","","","","","","","","","","","",""
"","","W60-ASPHALT GREEN","W55-NORCAL","","","","","","","","","","","","","","","","","","","","","",""
"","","W54-FOOTHILL RED","W59-SEASIDE","","","","","","","","","","","","","","","","","","","","","",""
"","","W50-NORTH IRVINE","W53-PLACER","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_N","bz_O","","","","","","","","","","","","","","","","","","","","","",""
"","","L57-SOUTH COAST WHITE","L53-ALAMEDA","","","","","","","","","","","","","","","","","","","","","",""
"","","L51-TURUL","L59-CHAWP BLUE","","","","","","","","","","","","","","","","","","","","","",""
"","","L52-PATRIOT RED","L55-SD SHORES WHITE","","","","","","","","","","","","","","","","","","","","","",""
"","","L34-CLOVIS B","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","ag_","","","","","","","","","","","","","",""
"","","","","","","","","","","","bz_","","","","","","","","","","","","","",""
"","","","ALISO NIGUEL HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","ALISO NIGUEL HS","61","ag_M2-VIKING","8","ag_M3-SANTA BARBARA WPC B","11","","","14GX-061","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","ALISO NIGUEL HS","65","bz_M1-PRAETORIAN","15","bz_M4-SAN JOSE EXPRESS GOLD","9","89","97","14GX-065","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","ALISO NIGUEL HS","69","ag_S1-ASPHALT GREEN","4","ag_S2-FOOTHILL RED","16","","","14GX-069","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","ALISO NIGUEL HS","73","bz_M2-CHULA VISTA PREMIER","8","bz_M3-WCAC UNITED","5","89","97","14GX-073","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","ALISO NIGUEL HS","77","ag_M1-SOCAL","2","ag_M3-SANTA BARBARA WPC B","12","","","14GX-077","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","ALISO NIGUEL HS","85","ag_S1-ASPHALT GREEN","4","ag_S3-NORTH IRVINE","12","","","14GX-085","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","ALISO NIGUEL HS","89","W65-PRAETORIAN","4","W73-CHULA VISTA PREMIER","11","123","128","14GX-089","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","ALISO NIGUEL HS","93","ag_M1-SOCAL","2","ag_M2-VIKING","11","","","14GX-093","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","ALISO NIGUEL HS","97","L65-SAN JOSE EXPRESS GOLD","3","L73-WCAC UNITED","12","127","","14GX-097","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","ALISO NIGUEL HS","101","ag_S2-FOOTHILL RED","9","ag_S3-NORTH IRVINE","2","","","14GX-101","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","ALISO NIGUEL HS","109","3rd_ag_M-SOCAL","2","1st_ag_S-FOOTHILL RED","3","130","134","14GX-109","","ag_play-in","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","VILLA PARK HS","62","ag_N2-GOLD COAST","12","ag_N3-PAC PREMIER","13","","","14GX-062","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","VILLA PARK HS","66","bz_N1-SOUTH COAST WHITE","12","bz_N4-CLOVIS B","3","90","98","14GX-066","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","VILLA PARK HS","70","ag_R1-HONOLULU","5","ag_R2-MID VALLEY","6","","","14GX-070","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","VILLA PARK HS","74","bz_N2-TURUL","14","bz_N3-PATRIOT RED","8","90","98","14GX-074","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","VILLA PARK HS","78","ag_N1-ROSE BOWL","12","ag_N3-PAC PREMIER","8","","","14GX-078","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","VILLA PARK HS","86","ag_R1-HONOLULU","5","ag_R3-ECA","10","","","14GX-086","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","VILLA PARK HS","90","W66-SOUTH COAST WHITE","8","W74-TURUL","5","124","127","14GX-090","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","VILLA PARK HS","94","ag_N1-ROSE BOWL","10.4","ag_N2-GOLD COAST","10.5","","","14GX-094","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","VILLA PARK HS","98","L66-CLOVIS B","2","L74-PATRIOT RED","14","128","","14GX-098","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","VILLA PARK HS","102","ag_R2-MID VALLEY","8.3","ag_R3-ECA","8.1","","","14GX-102","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","VILLA PARK HS","110","3rd_ag_N-GOLD COAST","11","1st_ag_R-MID VALLEY","8","129","133","14GX-110","","ag_play-in","","","","","","","","","","","",""
"","","","ORANGE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","ORANGE HS","63","ag_O2-SAN JOSE EXPRESS BLUE","9","ag_O3-680 BLUE","2","","","14GX-063","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","ORANGE HS","67","bz_O1-ALAMEDA","5","bz_O3-SD SHORES WHITE","18","","","14GX-067","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","ORANGE HS","71","ag_U1-CT PREMIER","6","ag_U2-NEWPORT BEACH WHITE","7","","","14GX-071","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","ORANGE HS","79","ag_O1-PALOS VERDES","11","ag_O3-680 BLUE","3","","","14GX-079","","ag_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","ORANGE HS","75","bz_O2-CHAWP BLUE","1","bz_O3-SD SHORES WHITE","10","","","14GX-075","","bz_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","ORANGE HS","87","ag_U1-CT PREMIER","4","ag_U3-BACK BAY","9","","","14GX-087","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","ORANGE HS","95","ag_O1-PALOS VERDES","10","ag_O2-SAN JOSE EXPRESS BLUE","4","","","14GX-095","","ag_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","ORANGE HS","99","bz_O1-ALAMEDA","7","bz_O2-CHAWP BLUE","10","","","14GX-099","","bz_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","ORANGE HS","103","ag_U2-NEWPORT BEACH WHITE","13","ag_U3-BACK BAY","11","","","14GX-103","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:00 PM","play-in","ORANGE HS","111","3rd_ag_O-680 BLUE","4","1st_ag_U-NEWPORT BEACH WHITE","6","125","138","14GX-111","","ag_play-in","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","BECKMAN HS 1","64","ag_P2-LOS ALAMITOS","5","ag_P3-SHARKS","4","","","14GX-064","","ag_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","BECKMAN HS 1","68","bz_P1-STANFORD C","10","bz_P4-TROJAN","1","92","100","14GX-068","","bz_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","BECKMAN HS 1","72","ag_T1-NORCAL","8.1","ag_T2-SEASIDE","8.2","","","14GX-072","","ag_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","BECKMAN HS 1","76","bz_P2-BULLDOG","6","bz_P3-FOOTHILL BLACK","4","92","100","14GX-076","","bz_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","BECKMAN HS 1","80","ag_P1-SET","8","ag_P3-SHARKS","4","","","14GX-080","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","BECKMAN HS 1","88","ag_T1-NORCAL","7","ag_T3-PLACER","1","","","14GX-088","","ag_Group","","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","BECKMAN HS 1","92","W68-STANFORD C","5","W76-BULLDOG","3","123","132","14GX-092","","bz_Group","","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","BECKMAN HS 1","96","ag_P1-SET","9","ag_P2-LOS ALAMITOS","6","","","14GX-096","","ag_Group","","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","BECKMAN HS 1","100","L68-TROJAN","1","L76-FOOTHILL BLACK","15","131","","14GX-100","","bz_Group","","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","BECKMAN HS 1","104","ag_T2-SEASIDE","5.4","ag_T3-PLACER","5.2","","","14GX-104","","ag_Group","","","","","","","","","","","",""
"19-Jul","5:50 PM","play-in","BECKMAN HS 1","112","3rd_ag_P-SHARKS","3","1st_ag_T-SEASIDE","2","126","137","14GX-112","","ag_play-in","","","","","","","","","","","",""
"","","bzX (13-15) double RR","","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_X","","","","","","","","","","","","","","","","","","","","","","",""
"","","L97-SAN JOSE EXPRESS GOLD","","","","","","","","","","","","","","","","","","","","","","",""
"","","L98-CLOVIS B","","","","","","","","","","","","","","","","","","","","","","",""
"","","L100-TROJAN","no more L99","","","","","","","","","","","","","","","","","","","","","",""
"Mon, July 20","","","","","M N O P",""," R S T U","","","","","","","","","","","","","","","","","",""
"","","","BUENA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","1-2 v 3-4","BUENA PARK HS","122","1st_ag_M-SANTA BARBARA WPC B","8","1st_ag_P-SET","6","173","162","14GX-122","","ag_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","9:00 AM","13-15 RR","BUENA PARK HS","119","bz_X1-SAN JOSE EXPRESS GOLD","12","bz_X2-CLOVIS B","1","","","14GX-119","","bz_13-15 RR","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","BUENA PARK HS","127","L90-TURUL","6","W97-WCAC UNITED","9","147","151","14GX-127","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","BUENA PARK HS","128","W98-PATRIOT RED","7","L89-PRAETORIAN","8","148","152","14GX-128","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","12:00 PM","21-24 RR","BUENA PARK HS","117","3rd_ag_T-PLACER","9","3rd_ag_S-ASPHALT GREEN","3","","","14GX-117","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","BUENA PARK HS","123","W89-CHULA VISTA PREMIER","5.6","W92-STANFORD C","5.7","172","163","14GX-123","","bz_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","2:00 PM","1-2 v 3-4","BUENA PARK HS","124","W90-SOUTH COAST WHITE","4","1st bz_O-SD SHORES WHITE	","14","171","164","14GX-124","","bz_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 vs 7-8","BUENA PARK HS","147","W127-WCAC UNITED","10.3","W131-FOOTHILL BLACK","10.4","163","188","14GX-147","","bz_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","BUENA PARK HS","151","L131-ALAMEDA","4","L127-TURUL","6","183","184","14GX-151","","bz_9-12 semi","","","","","","","","","","","",""
"20-Jul","5:00 PM","play to semi","BUENA PARK HS","164","L124-SOUTH COAST WHITE","5","W148-BULLDOG","10","172","187","14GX-164","","bz_play to semi","","","","","","","","","","","",""
"20-Jul","6:00 PM","play to semi","BUENA PARK HS","163","L123-CHULA VISTA PREMIER","10.1","W147-FOOTHILL BLACK","10.3","171","187","14GX-163","","bz_play to semi","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","1-2 v 3-4","VILLA PARK HS","121","1st_ag_N-ROSE BOWL","9","1st_ag_O-PALOS VERDES","8","174","161","14GX-121","","ag_1-2 v 3-4","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","VILLA PARK HS","131","3rd bz_O-ALAMEDA","9","W100-FOOTHILL BLACK","18","147","151","14GX-131","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","VILLA PARK HS","132","2nd bz_O-CHAWP BLUE","6","L92-BULLDOG","9","148","152","14GX-132","","bz_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","11:00 AM","21-24 RR","VILLA PARK HS","118","3rd_ag_U-CT PREMIER","11","3rd_ag_R-HONOLULU","6","","","14GX-118","","ag_21-24 RR","","","","","","","","","","","",""
"20-Jul","1:00 PM","13-15 RR","VILLA PARK HS","155","bz_X1-SAN JOSE EXPRESS GOLD","15","bz_X3-TROJAN","3","","","14GX-155","","bz_13-15 RR","","","","","","","","","","","",""
"20-Jul","2:00 PM","5-6 vs 7-8","VILLA PARK HS","148","W128-PRAETORIAN","10","W132-BULLDOG","11","164","188","14GX-148","","bz_5-6 vs 7-8","","","","","","","","","","","",""
"20-Jul","3:00 PM","9-12 semi","VILLA PARK HS","152","L132-CHAWP BLUE","15","L128-PATRIOT RED","10","183","184","14GX-152","","bz_9-12 semi","","","","","","","","","","","",""
"20-Jul","4:00 PM","13-15 RR","VILLA PARK HS","156","bz_X2-CLOVIS B","8.3","bz_X3-TROJAN","8.0","","","14GX-156","","bz_13-15 RR","","","","","","","","","","","",""
"20-Jul","5:00 PM","17-20 semi","VILLA PARK HS","157","L137-NORTH IRVINE","6.4","L133-BACK BAY","6.5","170","169","14GX-157","","ag_17-20 semi","","","","","","","","","","","",""
"","","","BECKMAN HS 1","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","BECKMAN HS 1","125","2nd_ag_P-LOS ALAMITOS","6","W111-NEWPORT BEACH WHITE","3","145","149","14GX-125","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","BECKMAN HS 1","129","2nd_ag_M-VIKING","12","W110-GOLD COAST","8","145","149","14GX-129","","ag_5-8 v 9-12","","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 quarter","BECKMAN HS 1","133","L110-MID VALLEY","9","2nd_ag_U-BACK BAY","7","153","157","14GX-133","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 quarter","BECKMAN HS 1","137","L112-SEASIDE","9","2nd_ag_S-NORTH IRVINE","8","153","157","14GX-137","","ag_13-20 quarter","","","","","","","","","","","",""
"20-Jul","12:00 PM","5-6 vs 7-8","BECKMAN HS 1","145","W125-LOS ALAMITOS","9","W129-VIKING","10","161","185","14GX-145","","ag_5-6 vs 7-8","X","","","","","","","","","","",""
"20-Jul","1:00 PM","9-12 semi","BECKMAN HS 1","149","L129-GOLD COAST","9","L125-NEWPORT BEACH WHITE","4","182","181","14GX-149","","ag_9-12 semi","X","","","","","","","","","","",""
