"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","SONORA HS","15","H1(8)-COMMERCE","8","H3(32)-CHULA VISTA PREMIER","9","","","18GX-015","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","SONORA HS","3","I1(9)-WCAC UNITED","13","I4(40)-ATWATER","2","27","31","18GX-003","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","SONORA HS","7","I2(16)-BROOKLYN HUSTLE","12","I3(33)-BURLINGAME","0","27","31","18GX-007","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","SONORA HS","19","G2(18)-A TOWN","12","G3(31)-DART","4","","","18GX-019","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","SONORA HS","23","H2(17)-WEST VALLEY","7","H3(32)-CHULA VISTA PREMIER","6","","","18GX-023","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","SONORA HS","27","W3-WCAC UNITED","10","W7-BROOKLYN HUSTLE","5","","52","18GX-027","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","SONORA HS","31","L3-ATWATER","5","L7-BURLINGAME","14","51","","18GX-031","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","SONORA HS","35","G1(7)-SANTA BARBARA WPC C","11","G2(18)-A TOWN","4","","","18GX-035","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","SONORA HS","39","H1(8)-COMMERCE","10","H2(17)-WEST VALLEY","11","","","18GX-039","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","SONORA HS","51","L28-2ndJ-SOCAL GOLD","16","W31-3rdI-BURLINGAME","4","","","18GX-051","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","SONORA HS","55","2ndH-CHULA VISTA PREMIER","11","3rdG-DART","3","","","18GX-055","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","SONORA HS","59","2ndG-A TOWN","7","3rdH-COMMERCE","5","","","18GX-059","","","","","","","","","","","","","",""
"","","","FULLERTON HS","","J K L","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","FULLERTON HS","4","J1(10)-SOCAL GOLD","20","J4(39)-WILDKIT","1","28","32","18GX-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","FULLERTON HS","8","J2(15)-SAN JOSE ALMADEN","10","J3(34)-MAVERICKS","3","28","32","18GX-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","FULLERTON HS","12","K1(11)-AMERICAN RIVER","8","K4(38)-LONGHORN","2","36","40","18GX-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","FULLERTON HS","16","K2(14)-LA VERNE LEGENDS","5","K3(35)-NWC","6","36","40","18GX-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","FULLERTON HS","20","L1(12)-MID VALLEY WHITE","14","L4(37)-HILO HAMMAHZ","4","44","48","18GX-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","FULLERTON HS","24","L2(13)-PRAETORIAN","4","L3(36)-KEARNS","6","44","48","18GX-024","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","FULLERTON HS","28","W4-SOCAL GOLD","3","W8-SAN JOSE ALMADEN","4","","51","18GX-028","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","FULLERTON HS","32","L4-WILDKIT","2","L8-MAVERICKS","10","52","","18GX-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","FULLERTON HS","36","W12-AMERICAN RIVER","12","W16-NWC","2","","60","18GX-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","FULLERTON HS","40","L12-LONGHORN","7","L16-LA VERNE LEGENDS","8","56","","18GX-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","FULLERTON HS","44","W20-MID VALLEY WHITE","9","W24-KEARNS","5","","56","18GX-044","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","FULLERTON HS","48","L20-HILO HAMMAHZ","7","L24-PRAETORIAN","13","60","","18GX-048","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","FULLERTON HS","52","L27-2ndI-BROOKLYN HUSTLE","4","W32-3rdJ-MAVERICKS","8","","","18GX-052","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","FULLERTON HS","56","L44-2ndL-KEARNS","9","W40-3rdK-LA VERNE LEGENDS","7","","","18GX-056","","","","","","","","","","","","","",""
"18-Jul","8:20 PM","2-3 cross","FULLERTON HS","60","L36-2ndK-NWC","6","W48-3rdL-PRAETORIAN","8","","","18GX-060","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_N","ag_O","","","","","","","","","","","","","","","","","","","","","",""
"","","1stB-TSUNAMI","W25-1stC-LB VIKING BLUE","","","","","","","","","","","","","","","","","","","","","",""
"","","1stG-SANTA BARBARA WPC C","W42-1stF-ALAMEDA","","","","","","","","","","","","","","","","","","","","","",""
"","","W28-1stJSAN JOSE ALMADEN","W36-1stK-AMERICAN RIVER","","","","","","","","","","","","","","","","","","","","","",""
"","","ag_S","ag_T","","","","","","","","","","","","","","","","","","","","","",""
"","","W60-3rdL-PRAETORIAN","W51-2ndJ-SOCAL GOLD","","","","","","","","","","","","","","","","","","","","","",""
"","","W54-3rdE-TRI VALLEY","W59-A TOWN","","","","","","","","","","","","","","","","","","","","","",""
"","","W50-2ndC-CHICAGO PARK","W53-NC SELECT","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_N","bz_O","","","","","","","","","","","","","","","","","","","","","",""
"","","L57-SAN JOSE EXPRESS","L49-3rdC-TRI VALLEY TRITONS","","","","","","","","","","","","","","","","","","","","","",""
"","","L55-DART","L58-3rdF-SFV","","","","","","","","","","","","","","","","","","","","","",""
"","","L52-2ndI-BROOKLYN HUSTLE","L56-3rdK-LA VERNE LEGENDS","","","","","","","","","","","","","","","","","","","","","",""
"","","bz_S","bz_T","","","","","","","","","","","","","","","","","","","","","",""
"","","L40-4thK-LONGHORN","L32-4thJ-WILDKIT","","","","","","","","","","","","","","","","","","","","","",""
"","","L29-4thC-CENTRAL COAST","L38-4thE-SOUTHSIDE","","","","","","","","","","","","","","","","","","","","","",""
"","","","BUENA PARK HS","","M N S R","","","","","","ag","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","BUENA PARK HS","61","ag_M1-SAN CLEMENTE","13","ag_M3-WCAC UNITED","5","","","18GX-061","","","ag Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","BUENA PARK HS","65","ag_N2-SANTA BARBARA WPC C","7","ag_N3-SAN JOSE ALMADEN","3","","","18GX-065","","","ag Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","BUENA PARK HS","69","ag_S1-3rdL-PRAETORIAN","6","ag_S2-3rdE-TRI VALLEY","11","","","18GX-069","","","ag Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","BUENA PARK HS","73","ag_R1-2ndL-KEARNS","3","ag_R2-2ndE-SACRAMENTO","13","","","18GX-073","","","ag Group","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","BUENA PARK HS","77","ag_M2-WEST VALLEY","10","ag_M3-WCAC UNITED","11","","","18GX-077","","","ag Group","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","BUENA PARK HS","81","ag_N1-TSUNAMI","14","ag_N3-SAN JOSE ALMADEN","2","","","18GX-081","","","ag Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","BUENA PARK HS","85","ag_S1-3rdL-PRAETORIAN","7","ag_S3-2ndC-CHICAGO PARK","5","","","18GX-085","","","ag Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","BUENA PARK HS","89","ag_R1-2ndL-KEARNS","7","ag_R3-2ndD-A TEAM CALLED QUEST","6","","","18GX-089","","","ag Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","BUENA PARK HS","93","ag_M1-SAN CLEMENTE","19","ag_M2-WEST VALLEY","1","","","18GX-093","","","ag Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","BUENA PARK HS","97","ag_N1-TSUNAMI","11","ag_N2-SANTA BARBARA WPC C","9","","","18GX-097","","","ag Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","BUENA PARK HS","101","ag_S2-3rdE-TRI VALLEY","4","ag_S3-2ndC-CHICAGO PARK","5","","","18GX-101","","","ag Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","BUENA PARK HS","105","ag_R2-2ndE-SACRAMENTO","13","ag_R3-2ndD-A TEAM CALLED QUEST","3","","","18GX-105","","","ag Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","BUENA PARK HS","109","3rd ag_M-WEST VALLEY","8","1st ag_S-TRI VALLEY","4","129","134","18GX-109","","","ag Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","BUENA PARK HS","113","3rd ag_N-SAN JOSE ALMADEN","6","1st ag_R-SACRAMENTO","8","121","126","18GX-113","","","ag Play-in","","","","","","","","","","",""
"","","","EDISON HS","","O P U T","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","EDISON HS","62","ag_O2-ALAMEDA","10","ag_O3-AMERICAN RIVER","8","","","18GX-062","","","ag Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","EDISON HS","66","ag_P2-LA JOLLA UNITED","9","ag_P3-MID VALLEY WHITE","4","","","18GX-066","","","ag Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","EDISON HS","70","ag_U1-3rdJ-MAVERICKS","5","ag_U2-CHULA VISTA PREMIER","4","","","18GX-070","","","ag Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","EDISON HS","74","ag_T1-2ndJ-SOCAL GOLD","10","ag_T2-A TOWN","5","","","18GX-074","","","ag Group","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","EDISON HS","78","ag_O1-LB VIKING BLUE","16","ag_O3-AMERICAN RIVER","4","","","18GX-078","","","ag Group","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","EDISON HS","82","ag_P1-PATRIOT NAVY","13","ag_P3-MID VALLEY WHITE","8","","","18GX-082","","","ag Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","EDISON HS","86","ag_U1-3rdJ-MAVERICKS","4","ag_U3-CHAWP BLUE","7","","","18GX-086","","","ag Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","EDISON HS","90","ag_T1-2ndJ-SOCAL GOLD","7","ag_T3-NC SELECT","5","","","18GX-090","","","ag Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","EDISON HS","94","ag_O1-LB VIKING BLUE","10","ag_O2-ALAMEDA","7","","","18GX-094","","","ag Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","EDISON HS","98","ag_P1-PATRIOT NAVY","16","ag_P2-LA JOLLA UNITED","8","","","18GX-098","","","ag Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","EDISON HS","102","ag_U2-CHULA VISTA PREMIER","3","ag_U3-CHAWP BLUE","9","","","18GX-102","","","ag Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","EDISON HS","106","ag_T2-A TOWN","8","ag_T3-NC SELECT","13","","","18GX-106","","","ag Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","EDISON HS","110","3rd ag_O-AMERICAN RIVER","8","1st ag_U-CHAWP BLUE","7","117","138","18GX-110","","","ag Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","EDISON HS","114","3rd ag_P-MID VALLEY WHITE","4","1st ag_T-SOCAL GOLD","9","125","130","18GX-114","","","ag Play-in","","","","","","","","","","",""
"","","","SONORA HS","","S R M N","","","","","","bz","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","SONORA HS","63","bz_S1-LONGHORN","9","bz_S2-CENTRAL COAST","5","95","99","18GX-063","","","bz Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","SONORA HS","67","bz_R1-HILO HAMMAHZ","13","bz_R2-SAND CANYON","4","99","95","18GX-067","","","bz Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","SONORA HS","71","bz_M2-COMMERCE","13","bz_M3-3rdI-BURLINGAME","3","","","18GX-071","","","bz Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","SONORA HS","75","bz_N2-DART","4","bz_N3-2ndI-BROOKLYN HUSTLE","8","","","18GX-075","","","bz Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","SONORA HS","87","bz_M1-NORTH IRVINE","13","bz_M3-3rdI-BURLINGAME","5","","","18GX-087","","","bz Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","SONORA HS","91","bz_N1-SAN JOSE EXPRESS","7","bz_N3-2ndI-BROOKLYN HUSTLE","6","","","18GX-091","","","bz Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","SONORA HS","95","W63-LONGHORN","12","L67-SAND CANYON","6","111","140","18GX-095","","","bz Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","SONORA HS","99","W67-HILO HAMMAHZ","12","L63-CENTRAL COAST","3","115","132","18GX-099","","","bz Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","SONORA HS","103","bz_M1-NORTH IRVINE","7","bz_M2-COMMERCE","3","","","18GX-103","","","bz Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","SONORA HS","107","bz_N1-SAN JOSE EXPRESS","8","bz_N2-DART","4","","","18GX-107","","","bz Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","SONORA HS","111","3rd au_M-BURLINGAME","6","W95-LONGHORN","9","131","136","18GX-111","","","bz Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","SONORA HS","115","3rd au_N-DART","4","W99-HILO HAMMAHZ","7","123","128","18GX-115","","","bz Play-in","","","","","","","","","","",""
"","","","LA SERNA HS","","U T O P ","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","LA SERNA HS","64","bz_U1-ATWATER","13","bz_U2-HILO GRAMMAZ","1","96","100","18GX-064","","","bz Group","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","LA SERNA HS","68","bz_T1-WILDKIT","4","bz_T2-SOUTHSIDE","8","100","96","18GX-068","","","bz Group","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","LA SERNA HS","72","bz_O2-3rdF-SFV","5","bz_O3-3rdK-LA VERNE LEGENDS","3","","","18GX-072","","","bz Group","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","LA SERNA HS","76","bz_P2-2ndF-KERN PREMIER","7","bz_P3-2ndK-NWC","5","","","18GX-076","","","bz Group","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","LA SERNA HS","88","bz_O1-3rdC-TRI VALLEY TRITONS","4","bz_O3-3rdK-LA VERNE LEGENDS","1","","","18GX-088","","","bz Group","","","","","","","","","","",""
"19-Jul","12:50 PM","Group","LA SERNA HS","92","bz_P1-3rdD-MOOSE","5","bz_P3-2ndK-NWC","7","","","18GX-092","","","bz Group","","","","","","","","","","",""
"19-Jul","1:40 PM","Group","LA SERNA HS","96","W64-ATWATER","4","L68-WILDKIT","10","112","136","18GX-096","","","bz Group","","","","","","","","","","",""
"19-Jul","2:30 PM","Group","LA SERNA HS","100","W68-SOUTHSIDE","17","L64-HILO GRAMMAZ","1","116","128","18GX-100","","","bz Group","","","","","","","","","","",""
"19-Jul","3:20 PM","Group","LA SERNA HS","104","bz_O1-3rdC-TRI VALLEY TRITONS","7","bz_O2-3rdF-SFV","9","","","18GX-104","","","bz Group","","","","","","","","","","",""
"19-Jul","4:10 PM","Group","LA SERNA HS","108","bz_P1-3rdD-MOOSE","1","bz_P2-2ndF-KERN PREMIER","11","","","18GX-108","","","bz Group","","","","","","","","","","",""
"19-Jul","6:40 PM","Play-in","LA SERNA HS","112","3rd bz_O-LA VERNE LEGENDS","9","W96-WILDKIT","2","119","140","18GX-112","","","bz Play-in","","","","","","","","","","",""
"19-Jul","7:30 PM","Play-in","LA SERNA HS","116","3rd bz_P-MOOSE","6","W100-SOUTHSIDE","13","127","132","18GX-116","","","bz Play-in","","","","","","","","","","",""
"Mon, July 20","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SERVITE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","5-8 v 9-12","SERVITE HS","117","2nd ag_P-LA JOLLA UNITED","11","W110-AMERICAN RIVER","8","141","149","18GX-117","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","9:00 AM","5-8 v 9-12","SERVITE HS","121","2nd ag_M-WCAC UNITED","7","W113-SACRAMENTO","14","141","149","18GX-121","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","10:00 AM","5-8 v 9-12","SERVITE HS","125","2nd ag_O-ALAMEDA","7","W114-SOCAL GOLD","10","145","153","18GX-125","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","11:00 AM","5-8 v 9-12","SERVITE HS","129","2nd ag_N-SANTA BARBARA WPC C","12","W109-WEST VALLEY","5","145","153","18GX-129","","","ag 5-8 v 9-12","","","","","","","","","","",""
"20-Jul","12:00 PM","1-2 v 3-4","SERVITE HS","133","1st ag_N-TSUNAMI","9","1st ag_O-LB VIKING BLUE","10","174","157","18GX-133","","","ag 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","1:00 PM","1-2 v 3-4","SERVITE HS","137","1st ag_M-SAN CLEMENTE","15","1st ag_P-PATRIOT NAVY","8","173","161","18GX-137","","","ag 1-2 v 3-4","","","","","","","","","","",""
"20-Jul","2:00 PM","5-6 v 7-8","SERVITE HS","141","W117-LA JOLLA UNITED","9","W121-SACRAMENTO","10","157","185","18GX-141","","","ag 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","3:00 PM","5-6 v 7-8","SERVITE HS","145","W125-SOCAL GOLD","5","W129-SANTA BARBARA WPC C","7","161","185","18GX-145","","","ag 5-6 v 7-8","","","","","","","","","","",""
"20-Jul","4:00 PM","9-12 semi","SERVITE HS","149","L121-WCAC UNITED","9","L117-AMERICAN RIVER","8","182","181","18GX-149","","","ag 9-12 semi","","","","","","","","","","",""
"20-Jul","5:00 PM","9-12 semi","SERVITE HS","153","L129-WEST VALLEY","10","L125-ALAMEDA","12","182","181","18GX-153","","","ag 9-12 semi","","","","","","","","","","",""
"20-Jul","6:00 PM","play to semi","SERVITE HS","157","L133-TSUNAMI","15","W141-SACRAMENTO","8","173","186","18GX-157","","","ag play to semi","","","","","","","","","","",""
"20-Jul","7:00 PM","play to semi","SERVITE HS","161","L137-PATRIOT NAVY","8","W145-SANTA BARBARA WPC C","7","174","186","18GX-161","","","ag play to semi","","","","","","","","","","",""
"","","","FULLERTON HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"20-Jul","8:00 AM","21-24 RR","FULLERTON HS","118","3rd ag_U-CHULA VISTA PREMIER","14","3rd ag_R-A TEAM CALLED QUEST","5","","","18GX-118","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","9:00 AM","21-24 RR","FULLERTON HS","122","3rd ag_T-A TOWN","7","3rd ag_S-CHICAGO PARK","5","","","18GX-122","","","ag 21-24 RR","","","","","","","","","","",""
"20-Jul","10:00 AM","13-20 qtr","FULLERTON HS","126","L113-SAN JOSE ALMADEN","10","2nd ag_U-MAVERICKS","4","150","154","18GX-126","","","ag 13-20 qtr","","","","","","","","","","",""
"20-Jul","11:00 AM","13-20 qtr","FULLERTON HS","130","L114-MID VALLEY WHITE","14","2nd ag_S-PRAETORIAN","6","150","154","18GX-130","","","ag 13-20 qtr","","","","","","","","","","",""
